language,word_clean,cd_score
English (Australian),plane,522
English (Australian),mad,456
English (Australian),animal,805
English (Australian),ant,190
English (Australian),apple,972
English (Australian),arm,690
English (Australian),asleep,654
English (Australian),backyard,172
English (Australian),bad,972
English (Australian),ball,1288
English (Australian),balloon,687
English (Australian),banana,645
English (Australian),bathroom,587
English (Australian),bath,844
English (Australian),beans,593
English (Australian),bear,1339
English (Australian),bed,1509
English (Australian),bedroom,595
English (Australian),bee,576
English (Australian),bellybutton,109
English (Australian),bib,357
English (Australian),bicycle,470
English (Australian),big,3089
English (Australian),bird,911
English (Australian),bite,751
English (Australian),black,1070
English (Australian),blanket,542
English (Australian),block,550
English (Australian),blow,663
English (Australian),blue,1655
English (Australian),boat,882
English (Australian),book,1982
English (Australian),boot,237
English (Australian),bottle,879
English (Australian),bowl,822
English (Australian),box,1644
English (Australian),bread,950
English (Australian),break,911
English (Australian),bring,1540
English (Australian),broken,874
English (Australian),broom,245
English (Australian),brush,710
English (Australian),bubbles,567
English (Australian),bucket,495
English (Australian),bug,435
English (Australian),bump,431
English (Australian),bunny,794
English (Australian),bus,1037
English (Australian),bottom,1064
English (Australian),butter,633
English (Australian),butterfly,479
English (Australian),button,659
English (Australian),buy,1274
English (Australian),cake,1078
English (Australian),camera,545
English (Australian),can,4079
English (Australian),car,1894
English (Australian),careful,957
English (Australian),carrot,443
English (Australian),carry,705
English (Australian),cat,1420
English (Australian),catch,830
English (Australian),cereal,523
English (Australian),chair,1312
English (Australian),cheek,173
English (Australian),cheese,977
English (Australian),chicken,924
English (Australian),chin,300
English (Australian),chocolate,945
English (Australian),clap,279
English (Australian),clean,1108
English (Australian),clean,1108
English (Australian),climb,559
English (Australian),clock,637
English (Australian),shut,598
English (Australian),close,898
English (Australian),cloud,259
English (Australian),coat,624
English (Australian),coffee,773
English (Australian),cold,1034
English (Australian),comb,340
English (Australian),computer,350
English (Australian),biscuit,503
English (Australian),couch,362
English (Australian),cover,568
English (Australian),cow,786
English (Australian),crayon,457
English (Australian),cot,272
English (Australian),crib,301
English (Australian),crocodile,474
English (Australian),cry,614
English (Australian),cup,1103
English (Australian),mug,160
English (Australian),cute,437
English (Australian),dance,523
English (Australian),dark,667
English (Australian),deer,289
English (Australian),dirty,875
English (Australian),dish,293
English (Australian),dog,1376
English (Australian),doll,818
English (Australian),donkey,349
English (Australian),door,1367
English (Australian),draw,1148
English (Australian),drawer,364
English (Australian),dress,839
English (Australian),drink,1212
English (Australian),drink,1212
English (Australian),drive,809
English (Australian),drop,659
English (Australian),dry,715
English (Australian),dry,715
English (Australian),duck,825
English (Australian),dump,355
English (Australian),ear,606
English (Australian),easy,531
English (Australian),eat,2223
English (Australian),egg,909
English (Australian),elephant,912
English (Australian),empty,620
English (Australian),eye,685
English (Australian),face,1255
English (Australian),fall,1145
English (Australian),fast,802
English (Australian),feed,747
English (Australian),find,2179
English (Australian),fine,653
English (Australian),finger,801
English (Australian),finish,979
English (Australian),fish,1225
English (Australian),fish,1225
English (Australian),flower,611
English (Australian),food,1496
English (Australian),foot,941
English (Australian),fork,424
English (Australian),frog,639
English (Australian),full,951
English (Australian),garage,563
English (Australian),garden,854
English (Australian),gentle,376
English (Australian),get,3821
English (Australian),giraffe,511
English (Australian),give,2287
English (Australian),glass,666
English (Australian),go,3890
English (Australian),good,2875
English (Australian),goose,317
English (Australian),grapes,484
English (Australian),grass,706
English (Australian),green,1580
English (Australian),hair,1365
English (Australian),hammer,428
English (Australian),hand,1475
English (Australian),happy,1111
English (Australian),hard,1261
English (Australian),hat,1272
English (Australian),have,4223
English (Australian),head,1711
English (Australian),hear,1392
English (Australian),heavy,525
English (Australian),help,1714
English (Australian),hide,655
English (Australian),high,815
English (Australian),hit,929
English (Australian),hold,1319
English (Australian),horse,1084
English (Australian),hot,1057
English (Australian),hug,425
English (Australian),hungry,753
English (Australian),hurry,428
English (Australian),hurt,1016
English (Australian),jacket,408
English (Australian),jam,410
English (Australian),jar,390
English (Australian),jeans,199
English (Australian),juice,1157
English (Australian),jump,805
English (Australian),kangaroo,376
English (Australian),keys,552
English (Australian),kick,423
English (Australian),kiss,807
English (Australian),kitchen,981
English (Australian),knee,586
English (Australian),knife,415
English (Australian),ladder,456
English (Australian),lamb,366
English (Australian),lamp,271
English (Australian),leg,757
English (Australian),lick,323
English (Australian),light,845
English (Australian),lion,685
English (Australian),little,3760
English (Australian),tiny,913
English (Australian),lolly,216
English (Australian),look,3632
English (Australian),loud,548
English (Australian),love,1550
English (Australian),make,2997
English (Australian),meat,544
English (Australian),medicine,490
English (Australian),milk,1193
English (Australian),money,1003
English (Australian),monkey,764
English (Australian),moon,563
English (Australian),motorbike,164
