language,word_clean,cd_score
French (French),un,3109
French (French),plein,609
French (French),encore,1294
French (French),avion,176
French (French),tous,872
French (French),parti,242
French (French),aussi,1690
French (French),et,3450
French (French),animal,145
French (French),fourmi,44
French (French),pomme,228
French (French),bras,324
French (French),fauteuil,138
French (French),endormi,66
French (French),à,2983
French (French),sac,329
French (French),balle,171
French (French),ballon,316
French (French),banane,167
French (French),panier,112
French (French),baignoire,147
French (French),perles,151
French (French),ours,264
French (French),beau,491
French (French),joli,290
French (French),lit,509
French (French),chambre,393
French (French),abeille,30
French (French),derrière,352
French (French),nombril,60
French (French),bavoir,38
French (French),vélo,208
French (French),grand,682
French (French),grand,682
French (French),oiseau,130
French (French),mordre,45
French (French),noir,223
French (French),couverture,85
French (French),souffler,80
French (French),bleu,342
French (French),bateau,385
French (French),livre,533
French (French),bottes,151
French (French),biberon,250
French (French),bouteille,160
French (French),bol,176
French (French),boîte,373
French (French),pain,338
French (French),casser,283
French (French),apporter,100
French (French),cassé,317
French (French),balai,78
French (French),marron,94
French (French),brosse,80
French (French),bulles,140
French (French),seau,72
French (French),construire,106
French (French),lapin,331
French (French),bus,65
French (French),fesses,227
French (French),beurre,157
French (French),papillon,96
French (French),boutons,155
French (French),acheter,202
French (French),gâteau,283
French (French),bonbons,134
French (French),voiture,655
French (French),carotte,124
French (French),porter,141
French (French),chat,382
French (French),attraper,168
French (French),céréales,72
French (French),chaise,300
French (French),craie,43
French (French),joue,402
French (French),fromage,249
French (French),poule,237
French (French),poulet,113
French (French),menton,69
French (French),chips,56
French (French),chocolat,404
French (French),nettoyer,145
French (French),propre,190
French (French),clémentine,48
French (French),grimper,64
French (French),fermer,181
French (French),nuage,33
French (French),manteau,163
French (French),café,220
French (French),froid,303
French (French),peigne,53
French (French),compote,145
French (French),canapé,171
French (French),vache,215
French (French),berceau,19
French (French),crocodile,207
French (French),pleurer,117
French (French),tasse,138
French (French),couper,247
French (French),mignon,115
French (French),danser,127
French (French),biche,58
French (French),couche,217
French (French),sale,227
French (French),plat,163
French (French),fait,2333
French (French),chien,391
French (French),poupée,228
French (French),âne,46
French (French),porte,397
French (French),dessiner,246
French (French),tiroir,116
French (French),robe,182
French (French),boire,313
French (French),conduire,97
French (French),sécher,111
French (French),sec,74
French (French),canard,216
French (French),jeter,169
French (French),oreille,110
French (French),manger,875
French (French),éléphant,155
French (French),vide,88
French (French),yeux,333
French (French),figure,122
French (French),figure,122
French (French),tomber,386
French (French),loin,253
French (French),vite,505
French (French),trouver,325
French (French),doigt,258
French (French),finir,221
French (French),premier,268
French (French),fleur,200
French (French),nourriture,58
French (French),pied,359
French (French),fourchette,203
French (French),grenouille,178
French (French),plein,609
French (French),garage,190
French (French),jardin,251
French (French),girafe,113
French (French),donner,532
French (French),verre,235
French (French),lunettes,173
French (French),gants,76
French (French),colle,180
French (French),aller,1024
French (French),chèvre,83
French (French),bien,1973
French (French),bon,1176
French (French),raisin,48
French (French),vert,297
French (French),cheveux,363
French (French),marteau,55
French (French),main,458
French (French),content,258
French (French),dur,264
French (French),chapeau,244
French (French),avoir,716
French (French),il,3531
French (French),il,3531
French (French),tête,543
French (French),entendre,76
French (French),lourd,116
French (French),hélicoptère,96
French (French),aider,97
French (French),ici,835
French (French),cacher,122
French (French),haut,310
French (French),lui,1808
French (French),ses,733
French (French),taper,80
French (French),tenir,236
French (French),cheval,293
French (French),chaud,334
French (French),comment,1161
French (French),faim,291
French (French),je,2970
French (French),glace,129
French (French),si,1800
French (French),dans,2376
French (French),dedans,635
French (French),veste,58
French (French),confiture,84
