language,word_clean,cd_score
French (Quebecois),un,3109
French (Quebecois),beaucoup,768
French (Quebecois),capable,93
French (Quebecois),encore,1294
French (Quebecois),avion,176
French (Quebecois),tout,1785
French (Quebecois),parti,242
French (Quebecois),aussi,1690
French (Quebecois),et,3450
French (Quebecois),fâché,57
French (Quebecois),animal,145
French (Quebecois),fourmi,44
French (Quebecois),pomme,228
French (Quebecois),bras,324
French (Quebecois),autour,182
French (Quebecois),comme,2219
French (Quebecois),endormi,66
French (Quebecois),à,2983
French (Quebecois),attacher,69
French (Quebecois),réveillé,91
French (Quebecois),mal,602
French (Quebecois),ballon,316
French (Quebecois),balle,171
French (Quebecois),banane,167
French (Quebecois),cogner,67
French (Quebecois),panier,112
French (Quebecois),bain,436
French (Quebecois),être,899
French (Quebecois),perles,151
French (Quebecois),haricot,22
French (Quebecois),ours,264
French (Quebecois),beau,491
French (Quebecois),joli,290
French (Quebecois),lit,509
French (Quebecois),chambre,393
French (Quebecois),abeille,30
French (Quebecois),nombril,60
French (Quebecois),ceinture,58
French (Quebecois),banc,63
French (Quebecois),mieux,548
French (Quebecois),bavette,91
French (Quebecois),bicyclette,51
French (Quebecois),gros,624
French (Quebecois),oiseau,130
French (Quebecois),mordre,45
French (Quebecois),noir,223
French (Quebecois),bloc,47
French (Quebecois),souffler,80
French (Quebecois),bleu,342
French (Quebecois),bateau,385
French (Quebecois),livre,533
French (Quebecois),bottes,151
French (Quebecois),bouteille,160
French (Quebecois),bol,176
French (Quebecois),boîte,373
French (Quebecois),pain,338
French (Quebecois),amener,116
French (Quebecois),apporter,100
French (Quebecois),brisé,30
French (Quebecois),balai,78
French (Quebecois),brun,43
French (Quebecois),brosser,33
French (Quebecois),brosse,80
French (Quebecois),bulles,140
French (Quebecois),seau,72
French (Quebecois),construire,106
French (Quebecois),lapin,331
French (Quebecois),mais,2577
French (Quebecois),fesses,227
French (Quebecois),beurre,157
French (Quebecois),papillon,96
French (Quebecois),bouton,173
French (Quebecois),acheter,202
French (Quebecois),par,929
French (Quebecois),gâteau,283
French (Quebecois),caméra,327
French (Quebecois),pouvoir,222
French (Quebecois),bonbon,62
French (Quebecois),auto,90
French (Quebecois),prudent,47
French (Quebecois),carotte,124
French (Quebecois),transporter,53
French (Quebecois),chat,382
French (Quebecois),attraper,168
French (Quebecois),céréales,72
French (Quebecois),chaise,300
French (Quebecois),craie,43
French (Quebecois),joue,402
French (Quebecois),fromage,249
French (Quebecois),poule,237
French (Quebecois),poulet,113
French (Quebecois),poulet,113
French (Quebecois),poulet,113
French (Quebecois),menton,69
French (Quebecois),chips,56
French (Quebecois),chocolat,404
French (Quebecois),choisir,98
French (Quebecois),nettoyer,145
French (Quebecois),ranger,332
French (Quebecois),propre,190
French (Quebecois),grimper,64
French (Quebecois),monter,262
French (Quebecois),fermer,181
French (Quebecois),nuage,33
