language,word_clean,cd_score
German,ein,3006
German,einer,831
German,eine,2153
German,über,752
German,Flugzeug,579
German,auch,3042
German,Tier,239
German,andere,805
German,anderer,96
German,Ameise,18
German,Apfel,257
German,Arm,190
German,Sessel,59
German,weg,715
German,zurück,346
German,schlecht,354
German,böse,50
German,Ball,273
German,Luftballon,142
German,Banane,142
German,Klo,225
German,Badewanne,94
German,jeder,222
German,Bohnen,57
German,Bär,176
German,Bett,471
German,Schlafzimmer,59
German,Biene,53
German,Lätzchen,60
German,Fahrrad,234
German,groß,390
German,Vogel,133
German,beißen,94
German,schwarz,215
German,Decke,258
German,pusten,129
German,blau,301
German,Schiff,473
German,Buch,534
German,Stiefel,97
German,Flasche,152
German,Dose,126
German,Brot,252
German,bringen,245
German,kaputt,363
German,Eimer,170
German,Käfer,146
German,Brötchen,133
German,Hase,262
German,Bus,536
German,Butter,149
German,Schmetterling,122
German,kaufen,256
German,Kakao,122
German,Kuchen,322
German,Kamera,121
German,kann,1653
German,können,1231
German,Auto,840
German,vorsichtig,328
German,tragen,168
German,Katze,332
German,fangen,173
German,Müsli,117
German,Käse,182
German,Küken,108
German,Huhn,286
German,Kinn,55
German,Schokolade,258
German,aufräumen,99
German,sauber,146
German,klettern,110
German,Uhr,223
German,zumachen,129
German,Wolke,94
German,Mantel,57
German,Kaffee,186
German,kalt,283
German,Keks,82
German,Sofa,64
German,Deckel,192
German,Kuh,499
German,Krokodil,325
German,weinen,101
German,Becher,222
German,Tasse,130
German,tanzen,97
German,dunkel,167
German,Reh,47
German,Windel,140
German,schmutzig,26
German,Hund,261
German,Esel,100
German,Tür,371
German,malen,531
German,zeichnen,70
German,Schublade,64
German,Kleid,70
German,trinken,387
German,fahren,883
German,trocknen,76
German,trocken,137
German,Ente,381
German,Ohr,176
German,essen,727
German,Elefant,250
German,leer,170
German,Auge,204
German,Gesicht,258
German,fallen,187
German,schnell,808
German,füttern,37
German,Füße,227
German,finden,330
German,fein,188
German,Finger,311
German,Blume,167
German,Fliege,76
German,Essen,316
German,für,1648
German,bei,1267
German,Gabel,85
German,Fuchs,59
German,Frosch,319
German,voll,346
German,Garage,105
German,Garten,149
German,kriegen,456
German,Giraffe,283
German,geben,366
German,Glas,192
German,Handschuhe,32
German,gut,1140
German,Gans,272
German,Gras,122
German,grün,325
German,Haare,206
German,Hand,451
German,hart,98
German,Mütze,146
German,haben,1901
German,er,1563
German,Kopf,391
German,hören,204
German,schwer,241
German,Igel,140
German,helfen,220
German,ihr,1039
German,hier,2615
German,verstecken,67
German,hoch,501
German,ihm,525
German,Nilpferd,51
German,sein,974
German,hauen,97
German,schlagen,49
German,halten,295
German,Honig,118
German,Pferd,183
German,heiß,220
German,wie,1822
German,verletzt,28
German,Eis,232
German,in,2474
German,rein,820
German,es,2625
German,Jacke,141
German,Marmelade,100
German,Jeans,65
German,springen,126
