language,word_clean,cd_score
Mandarin (Beijing),啊,2659
Mandarin (Beijing),一点,528
Mandarin (Beijing),好多,353
Mandarin (Beijing),飞机,168
Mandarin (Beijing),都,1444
Mandarin (Beijing),也,1373
Mandarin (Beijing),救护车,15
Mandarin (Beijing),生气,198
Mandarin (Beijing),动物,289
Mandarin (Beijing),另外,156
Mandarin (Beijing),蚂蚁,149
Mandarin (Beijing),苹果,412
Mandarin (Beijing),胳膊,29
Mandarin (Beijing),睡着,115
Mandarin (Beijing),在,1960
Mandarin (Beijing),院子,39
Mandarin (Beijing),坏,368
Mandarin (Beijing),坏,368
Mandarin (Beijing),书包,54
Mandarin (Beijing),包,158
Mandarin (Beijing),皮球,171
Mandarin (Beijing),球,315
Mandarin (Beijing),气球,85
Mandarin (Beijing),香蕉,161
Mandarin (Beijing),厕所,54
Mandarin (Beijing),浴室,88
Mandarin (Beijing),浴缸,22
Mandarin (Beijing),电池,46
Mandarin (Beijing),豆,35
Mandarin (Beijing),熊,311
Mandarin (Beijing),床,240
Mandarin (Beijing),卧室,23
Mandarin (Beijing),蜜蜂,168
Mandarin (Beijing),自行车,32
Mandarin (Beijing),大,1094
Mandarin (Beijing),鸟,212
Mandarin (Beijing),咬,248
Mandarin (Beijing),黑色,77
Mandarin (Beijing),黑,240
Mandarin (Beijing),毯子,40
Mandarin (Beijing),积木,141
Mandarin (Beijing),吹,154
Mandarin (Beijing),蓝色,95
Mandarin (Beijing),蓝,120
Mandarin (Beijing),船,123
Mandarin (Beijing),书,496
Mandarin (Beijing),枪,93
Mandarin (Beijing),瓶子,79
Mandarin (Beijing),碗,222
Mandarin (Beijing),盒子,204
Mandarin (Beijing),面包,121
Mandarin (Beijing),拆,73
Mandarin (Beijing),打碎,52
Mandarin (Beijing),带,533
Mandarin (Beijing),坏,368
Mandarin (Beijing),扫帚,13
Mandarin (Beijing),刷,148
Mandarin (Beijing),刷子,17
Mandarin (Beijing),泡泡,115
Mandarin (Beijing),桶,75
Mandarin (Beijing),虫子,159
Mandarin (Beijing),撞,99
Mandarin (Beijing),兔子,256
Mandarin (Beijing),公共汽车,18
Mandarin (Beijing),屁股,90
Mandarin (Beijing),蝴蝶,128
Mandarin (Beijing),买,469
Mandarin (Beijing),白菜,11
Mandarin (Beijing),蛋糕,137
Mandarin (Beijing),照相机,46
Mandarin (Beijing),会,1345
Mandarin (Beijing),能,878
Mandarin (Beijing),会,1345
Mandarin (Beijing),罐头,54
Mandarin (Beijing),蜡烛,27
Mandarin (Beijing),套,84
Mandarin (Beijing),车,343
Mandarin (Beijing),小心,179
Mandarin (Beijing),胡萝卜,83
Mandarin (Beijing),猫,835
Mandarin (Beijing),抓,361
Mandarin (Beijing),逮,30
Mandarin (Beijing),椅子,155
Mandarin (Beijing),脸蛋,22
Mandarin (Beijing),奶酪,38
Mandarin (Beijing),鸡,213
Mandarin (Beijing),鸡肉,14
Mandarin (Beijing),下巴,30
Mandarin (Beijing),巧克力,64
Mandarin (Beijing),拍,297
Mandarin (Beijing),鼓掌,22
Mandarin (Beijing),打扫,19
Mandarin (Beijing),干净,144
Mandarin (Beijing),爬,268
Mandarin (Beijing),钟,95
Mandarin (Beijing),关,255
Mandarin (Beijing),闭,78
Mandarin (Beijing),柜子,116
Mandarin (Beijing),布,68
Mandarin (Beijing),云彩,11
Mandarin (Beijing),云,57
Mandarin (Beijing),咖啡,73
Mandarin (Beijing),冷,167
Mandarin (Beijing),梳,69
Mandarin (Beijing),梳子,40
Mandarin (Beijing),来,1480
Mandarin (Beijing),电脑,74
Mandarin (Beijing),饼干,69
Mandarin (Beijing),沙发,184
Mandarin (Beijing),数数,49
Mandarin (Beijing),盖,193
Mandarin (Beijing),牛,110
Mandarin (Beijing),蜡笔,40
Mandarin (Beijing),乌鸦,20
Mandarin (Beijing),哭,240
Mandarin (Beijing),叫,800
Mandarin (Beijing),黄瓜,45
Mandarin (Beijing),杯子,122
Mandarin (Beijing),窗帘,33
Mandarin (Beijing),可爱,101
Mandarin (Beijing),跳舞,126
Mandarin (Beijing),鹿,84
Mandarin (Beijing),梅花鹿,14
Mandarin (Beijing),脏,156
Mandarin (Beijing),菜,254
Mandarin (Beijing),狗,341
Mandarin (Beijing),娃娃,196
Mandarin (Beijing),驴,16
Mandarin (Beijing),门,266
Mandarin (Beijing),下,629
Mandarin (Beijing),画画,116
Mandarin (Beijing),抽屉,120
Mandarin (Beijing),衣服,339
Mandarin (Beijing),喝,372
Mandarin (Beijing),饮料,23
Mandarin (Beijing),开车,109
Mandarin (Beijing),掉,718
Mandarin (Beijing),干,470
Mandarin (Beijing),鸭子,129
Mandarin (Beijing),倒,332
Mandarin (Beijing),耳朵,144
Mandarin (Beijing),土,95
Mandarin (Beijing),吃,1256
Mandarin (Beijing),鸡蛋,119
Mandarin (Beijing),蛋,126
Mandarin (Beijing),大象,222
Mandarin (Beijing),电梯,24
Mandarin (Beijing),电梯,24
Mandarin (Beijing),进去,298
Mandarin (Beijing),眼睛,311
Mandarin (Beijing),脸,244
Mandarin (Beijing),摔倒,4
Mandarin (Beijing),快,407
Mandarin (Beijing),喂,155
Mandarin (Beijing),找到,218
Mandarin (Beijing),手指头,67
Mandarin (Beijing),喜欢,566
Mandarin (Beijing),鱼,367
Mandarin (Beijing),鱼,367
Mandarin (Beijing),翻,297
Mandarin (Beijing),花,460
Mandarin (Beijing),花盆,88
Mandarin (Beijing),飞,422
Mandarin (Beijing),苍蝇,95
Mandarin (Beijing),饭,362
Mandarin (Beijing),脚,374
Mandarin (Beijing),脚,374
Mandarin (Beijing),叉子,62
Mandarin (Beijing),狐狸,102
Mandarin (Beijing),青蛙,220
Mandarin (Beijing),前面,193
Mandarin (Beijing),水果,238
Mandarin (Beijing),饱,86
Mandarin (Beijing),高兴,192
Mandarin (Beijing),满,133
Mandarin (Beijing),花园,51
Mandarin (Beijing),起来,703
Mandarin (Beijing),长颈鹿,117
Mandarin (Beijing),给,1411
Mandarin (Beijing),玻璃,83
Mandarin (Beijing),眼镜,74
Mandarin (Beijing),手套,81
Mandarin (Beijing),走,611
Mandarin (Beijing),去,1386
Mandarin (Beijing),山羊,86
Mandarin (Beijing),好,1663
Mandarin (Beijing),鹅,62
Mandarin (Beijing),葡萄,135
Mandarin (Beijing),草,174
Mandarin (Beijing),绿,163
Mandarin (Beijing),绿色,108
Mandarin (Beijing),头发,188
Mandarin (Beijing),锤子,36
Mandarin (Beijing),手,618
Mandarin (Beijing),高兴,192
Mandarin (Beijing),高兴,192
Mandarin (Beijing),硬,64
Mandarin (Beijing),帽子,106
Mandarin (Beijing),有,1901
Mandarin (Beijing),他,1899
Mandarin (Beijing),头,541
Mandarin (Beijing),听,500
Mandarin (Beijing),听见,82
Mandarin (Beijing),生气,198
Mandarin (Beijing),重,121
Mandarin (Beijing),刺猬,44
Mandarin (Beijing),帮助,126
Mandarin (Beijing),帮忙,94
Mandarin (Beijing),帮,473
Mandarin (Beijing),这儿,308
Mandarin (Beijing),这边,230
Mandarin (Beijing),藏,172
Mandarin (Beijing),高,301
Mandarin (Beijing),打,533
Mandarin (Beijing),家,756
Mandarin (Beijing),蜂蜜,75
Mandarin (Beijing),蹦,66
Mandarin (Beijing),马,262
Mandarin (Beijing),烫,83
Mandarin (Beijing),热,151
Mandarin (Beijing),房子,251
Mandarin (Beijing),怎么,1155
Mandarin (Beijing),抱,268
Mandarin (Beijing),搂,8
Mandarin (Beijing),饿,110
Mandarin (Beijing),赶快,140
Mandarin (Beijing),疼,106
Mandarin (Beijing),我,1632
Mandarin (Beijing),冰淇淋,35
Mandarin (Beijing),里面,922
Mandarin (Beijing),果酱,14
Mandarin (Beijing),吉普车,10
Mandarin (Beijing),果汁,43
Mandarin (Beijing),跳,310
Mandarin (Beijing),钥匙,47
Mandarin (Beijing),踢,231
Mandarin (Beijing),亲,93
Mandarin (Beijing),厨房,58
Mandarin (Beijing),膝盖,9
Mandarin (Beijing),刀,55
Mandarin (Beijing),梯子,103
Mandarin (Beijing),灯,123
Mandarin (Beijing),草地,61
Mandarin (Beijing),叶子,111
Mandarin (Beijing),树叶,90
Mandarin (Beijing),腿,211
Mandarin (Beijing),舔,85
Mandarin (Beijing),举,48
Mandarin (Beijing),轻,70
Mandarin (Beijing),光,176
Mandarin (Beijing),狮子,188
Mandarin (Beijing),少,163
Mandarin (Beijing),小,1855
Mandarin (Beijing),客厅,54
Mandarin (Beijing),锁,47
Mandarin (Beijing),棒棒糖,10
Mandarin (Beijing),看,1794
Mandarin (Beijing),找,519
Mandarin (Beijing),爱,235
Mandarin (Beijing),喜欢,566
Mandarin (Beijing),多,767
Mandarin (Beijing),肉,180
Mandarin (Beijing),药,52
Mandarin (Beijing),牛奶,114
Mandarin (Beijing),镜子,72
Mandarin (Beijing),镜子,72
Mandarin (Beijing),钱,184
Mandarin (Beijing),猴子,173
Mandarin (Beijing),月亮,84
Mandarin (Beijing),蚊子,60
Mandarin (Beijing),摩托车,54
Mandarin (Beijing),老鼠,281
Mandarin (Beijing),嘴,140
Mandarin (Beijing),多,767
Mandarin (Beijing),指甲,32
Mandarin (Beijing),钉子,21
Mandarin (Beijing),淘气,35
Mandarin (Beijing),脖子,77
Mandarin (Beijing),项链,24
Mandarin (Beijing),要,2003
Mandarin (Beijing),必须,44
Mandarin (Beijing),新,157
Mandarin (Beijing),没,882
Mandarin (Beijing),不是,399
Mandarin (Beijing),面条,32
Mandarin (Beijing),鼻子,216
Mandarin (Beijing),可以,1070
Mandarin (Beijing),老,264
Mandarin (Beijing),上,1251
Mandarin (Beijing),开,513
Mandarin (Beijing),打开,175
Mandarin (Beijing),桔子,15
Mandarin (Beijing),橙子,26
Mandarin (Beijing),其它,51
Mandarin (Beijing),别的,189
Mandarin (Beijing),外面,446
Mandarin (Beijing),外面,446
Mandarin (Beijing),猫头鹰,78
Mandarin (Beijing),睡衣,49
Mandarin (Beijing),饼,58
Mandarin (Beijing),裤子,106
Mandarin (Beijing),纸,256
Mandarin (Beijing),公园,45
Mandarin (Beijing),桃,28
Mandarin (Beijing),孔雀,72
Mandarin (Beijing),花生,33
Mandarin (Beijing),梨,89
Mandarin (Beijing),豌豆,16
Mandarin (Beijing),尿,58
Mandarin (Beijing),笔,215
Mandarin (Beijing),企鹅,53
Mandarin (Beijing),辣椒,45
Mandarin (Beijing),画,622
Mandarin (Beijing),猪,229
Mandarin (Beijing),枕头,59
Mandarin (Beijing),盘,27
Mandarin (Beijing),盘子,66
Mandarin (Beijing),玩,680
Mandarin (Beijing),游泳池,18
Mandarin (Beijing),稀饭,31
Mandarin (Beijing),土豆,17
Mandarin (Beijing),礼物,85
Mandarin (Beijing),摁,35
Mandarin (Beijing),假装,49
Mandarin (Beijing),装,212
Mandarin (Beijing),漂亮,293
Mandarin (Beijing),漂亮,293
Mandarin (Beijing),好看,173
Mandarin (Beijing),拉,236
Mandarin (Beijing),拉,236
Mandarin (Beijing),拖,98
Mandarin (Beijing),拉,236
Mandarin (Beijing),推,137
Mandarin (Beijing),放,761
Mandarin (Beijing),下雨,93
Mandarin (Beijing),雨,84
Mandarin (Beijing),读,141
Mandarin (Beijing),红色,145
Mandarin (Beijing),冰箱,51
Mandarin (Beijing),遥控器,17
Mandarin (Beijing),米,72
Mandarin (Beijing),骑,168
Mandarin (Beijing),路,177
Mandarin (Beijing),房顶,14
Mandarin (Beijing),屋子,97
Mandarin (Beijing),公鸡,63
Mandarin (Beijing),划,58
Mandarin (Beijing),跑,445
Mandarin (Beijing),伤心,86
Mandarin (Beijing),咸,34
Mandarin (Beijing),一样,526
Mandarin (Beijing),沙子,NA
Mandarin (Beijing),三明治,13
Mandarin (Beijing),酱油,18
Mandarin (Beijing),说,1248
Mandarin (Beijing),说,1248
Mandarin (Beijing),害怕,298
Mandarin (Beijing),围巾,30
Mandarin (Beijing),剪刀,75
Mandarin (Beijing),自己,828
Mandarin (Beijing),摇,82
Mandarin (Beijing),羊,262
Mandarin (Beijing),船,123
Mandarin (Beijing),鞋,113
Mandarin (Beijing),短裤,31
Mandarin (Beijing),该,163
Mandarin (Beijing),叫唤,15
Mandarin (Beijing),喊,99
Mandarin (Beijing),铲子,34
Mandarin (Beijing),病,29
Mandarin (Beijing),唱,264
Mandarin (Beijing),水池,25
Mandarin (Beijing),坐,521
Mandarin (Beijing),裙子,71
Mandarin (Beijing),天,420
Mandarin (Beijing),睡觉,423
Mandarin (Beijing),困,50
Mandarin (Beijing),拖鞋,43
Mandarin (Beijing),慢,113
Mandarin (Beijing),慢,113
Mandarin (Beijing),聪明,110
Mandarin (Beijing),闻,97
Mandarin (Beijing),笑,181
Mandarin (Beijing),乐,46
Mandarin (Beijing),蛇,114
Mandarin (Beijing),雪,70
Mandarin (Beijing),肥皂,32
Mandarin (Beijing),肥皂,32
Mandarin (Beijing),袜子,44
Mandarin (Beijing),汽水,12
Mandarin (Beijing),漂亮,293
Mandarin (Beijing),软,52
Mandarin (Beijing),汤,218
Mandarin (Beijing),撒,57
Mandarin (Beijing),菠菜,39
Mandarin (Beijing),吐,110
Mandarin (Beijing),洒,57
Mandarin (Beijing),勺子,62
Mandarin (Beijing),勺,21
Mandarin (Beijing),松鼠,136
Mandarin (Beijing),楼梯,110
Mandarin (Beijing),楼梯,110
Mandarin (Beijing),站,289
Mandarin (Beijing),星星,216
Mandarin (Beijing),贴,201
Mandarin (Beijing),棍子,44
Mandarin (Beijing),棍,16
Mandarin (Beijing),石头,120
Mandarin (Beijing),停,147
Mandarin (Beijing),炉子,11
Mandarin (Beijing),炉子,11
Mandarin (Beijing),街,56
Mandarin (Beijing),糖,129
Mandarin (Beijing),太阳,244
Mandarin (Beijing),咽,65
Mandarin (Beijing),燕子,31
Mandarin (Beijing),毛衣,67
Mandarin (Beijing),扫,34
Mandarin (Beijing),甜,76
Mandarin (Beijing),游泳,135
Mandarin (Beijing),秋千,41
Mandarin (Beijing),桌子,399
Mandarin (Beijing),桌子,399
Mandarin (Beijing),拿,919
Mandarin (Beijing),好吃,191
Mandarin (Beijing),茶,80
Mandarin (Beijing),眼泪,25
Mandarin (Beijing),电话,193
Mandarin (Beijing),电话,193
Mandarin (Beijing),告诉,445
Mandarin (Beijing),那个,686
Mandarin (Beijing),他们,711
Mandarin (Beijing),那儿,128
Mandarin (Beijing),那边,165
Mandarin (Beijing),这些,510
Mandarin (Beijing),渴,20
Mandarin (Beijing),这个,695
Mandarin (Beijing),那些,195
Mandarin (Beijing),扔,233
Mandarin (Beijing),大拇指,10
Mandarin (Beijing),挠,27
Mandarin (Beijing),老虎,180
Mandarin (Beijing),累,146
Mandarin (Beijing),西红柿,62
Mandarin (Beijing),舌头,95
Mandarin (Beijing),牙,158
Mandarin (Beijing),摸,212
Mandarin (Beijing),毛巾,85
Mandarin (Beijing),玩具,270
Mandarin (Beijing),火车,152
Mandarin (Beijing),垃圾,198
Mandarin (Beijing),树,502
Mandarin (Beijing),卡车,38
Mandarin (Beijing),转,198
Mandarin (Beijing),乌龟,128
Mandarin (Beijing),电视,228
Mandarin (Beijing),难看,56
Mandarin (Beijing),伞,67
Mandarin (Beijing),雨伞,40
Mandarin (Beijing),底下,123
Mandarin (Beijing),背心,27
Mandarin (Beijing),等,415
Mandarin (Beijing),醒,86
Mandarin (Beijing),走,611
Mandarin (Beijing),走路,97
Mandarin (Beijing),衣柜,44
Mandarin (Beijing),洗,325
Mandarin (Beijing),洗衣机,22
Mandarin (Beijing),手表,27
Mandarin (Beijing),水,455
Mandarin (Beijing),水,455
Mandarin (Beijing),西瓜,166
Mandarin (Beijing),我们,1291
Mandarin (Beijing),戴,172
Mandarin (Beijing),穿,339
Mandarin (Beijing),湿,41
Mandarin (Beijing),可怜,107
Mandarin (Beijing),什么,1704
Mandarin (Beijing),哪里,675
