language,word_clean,cd_score
Mandarin (Taiwanese),上面,657
Mandarin (Taiwanese),飞机,168
Mandarin (Taiwanese),全部,188
Mandarin (Taiwanese),鳄鱼,88
Mandarin (Taiwanese),还,1448
Mandarin (Taiwanese),也,1373
Mandarin (Taiwanese),救护车,15
Mandarin (Taiwanese),和,732
Mandarin (Taiwanese),生气,198
Mandarin (Taiwanese),动物,289
Mandarin (Taiwanese),蚂蚁,149
Mandarin (Taiwanese),苹果,412
Mandarin (Taiwanese),手臂,41
Mandarin (Taiwanese),走开,17
Mandarin (Taiwanese),后面,285
Mandarin (Taiwanese),背,220
Mandarin (Taiwanese),书包,54
Mandarin (Taiwanese),袋子,74
Mandarin (Taiwanese),阳台,142
Mandarin (Taiwanese),球,315
Mandarin (Taiwanese),气球,85
Mandarin (Taiwanese),香蕉,161
Mandarin (Taiwanese),篮子,78
Mandarin (Taiwanese),浴室,88
Mandarin (Taiwanese),浴缸,22
Mandarin (Taiwanese),因为,625
Mandarin (Taiwanese),床,240
Mandarin (Taiwanese),卧室,23
Mandarin (Taiwanese),蜜蜂,168
Mandarin (Taiwanese),下面,393
Mandarin (Taiwanese),脚踏车,34
Mandarin (Taiwanese),大,1094
Mandarin (Taiwanese),咬,248
Mandarin (Taiwanese),黑色,77
Mandarin (Taiwanese),毯子,40
Mandarin (Taiwanese),积木,141
Mandarin (Taiwanese),吹,154
Mandarin (Taiwanese),蓝色,95
Mandarin (Taiwanese),船,123
Mandarin (Taiwanese),书,496
Mandarin (Taiwanese),瓶子,79
Mandarin (Taiwanese),碗,222
Mandarin (Taiwanese),盒子,204
Mandarin (Taiwanese),面包,121
Mandarin (Taiwanese),亮,72
Mandarin (Taiwanese),带,533
Mandarin (Taiwanese),扫把,26
Mandarin (Taiwanese),刷子,17
Mandarin (Taiwanese),泡泡,115
Mandarin (Taiwanese),虫子,159
Mandarin (Taiwanese),馒头,74
Mandarin (Taiwanese),包子,35
Mandarin (Taiwanese),兔子,256
Mandarin (Taiwanese),可是,441
Mandarin (Taiwanese),屁股,90
Mandarin (Taiwanese),蝴蝶,128
Mandarin (Taiwanese),旁边,262
Mandarin (Taiwanese),蛋糕,137
Mandarin (Taiwanese),叫,800
Mandarin (Taiwanese),相机,49
Mandarin (Taiwanese),糖果,59
Mandarin (Taiwanese),汽车,185
Mandarin (Taiwanese),小心,179
Mandarin (Taiwanese),红,272
Mandarin (Taiwanese),抓,361
Mandarin (Taiwanese),椅子,155
Mandarin (Taiwanese),樱桃,90
Mandarin (Taiwanese),鸡,213
Mandarin (Taiwanese),下巴,30
Mandarin (Taiwanese),巧克力,64
Mandarin (Taiwanese),筷子,142
Mandarin (Taiwanese),拍,297
Mandarin (Taiwanese),干净,144
Mandarin (Taiwanese),爬,268
Mandarin (Taiwanese),关,255
Mandarin (Taiwanese),云,57
Mandarin (Taiwanese),蟑螂,101
Mandarin (Taiwanese),咖啡,73
Mandarin (Taiwanese),铜板,9
Mandarin (Taiwanese),可乐,17
Mandarin (Taiwanese),冷,167
Mandarin (Taiwanese),梳子,40
Mandarin (Taiwanese),过来,352
Mandarin (Taiwanese),来,1480
Mandarin (Taiwanese),电脑,74
Mandarin (Taiwanese),煮,128
Mandarin (Taiwanese),饼干,69
Mandarin (Taiwanese),玉米,48
Mandarin (Taiwanese),沙发,184
Mandarin (Taiwanese),数数,49
Mandarin (Taiwanese),牛,110
Mandarin (Taiwanese),螃蟹,74
Mandarin (Taiwanese),吊车,13
