language,word_clean,cd_score
Spanish (European),uno,339
Spanish (European),un,1591
Spanish (European),uno,339
Spanish (European),una,1186
Spanish (European),encima,216
Spanish (European),asustado,32
Spanish (European),miedo,115
Spanish (European),avión,15
Spanish (European),todo,494
Spanish (European),todas,200
Spanish (European),casi,119
Spanish (European),solo,191
Spanish (European),también,744
Spanish (European),ambulancia,56
Spanish (European),y,2676
Spanish (European),enfadado,63
Spanish (European),animal,53
Spanish (European),alguno,93
Spanish (European),manzana,21
Spanish (European),potito,11
Spanish (European),brazos,61
Spanish (European),detrás,105
Spanish (European),malo,111
Spanish (European),balón,116
Spanish (European),fútbol,66
Spanish (European),pelota,176
Spanish (European),globo,61
Spanish (European),baño,99
Spanish (European),bañar,73
Spanish (European),bañera,69
Spanish (European),estar,240
Spanish (European),oso,82
Spanish (European),barba,28
Spanish (European),porque,1110
Spanish (European),cama,403
Spanish (European),abeja,10
Spanish (European),ombligo,8
Spanish (European),debajo,65
Spanish (European),entre,99
Spanish (European),babero,5
Spanish (European),bici,27
Spanish (European),grande,329
Spanish (European),pájaro,32
Spanish (European),morder,15
Spanish (European),negro,51
Spanish (European),cubo,21
Spanish (European),azul,93
Spanish (European),barco,255
Spanish (European),cuento,287
Spanish (European),bota,44
Spanish (European),biberón,61
Spanish (European),botella,13
Spanish (European),caja,50
Spanish (European),pan,67
Spanish (European),romper,75
Spanish (European),desayunar,137
Spanish (European),teta,10
Spanish (European),traer,84
Spanish (European),roto,127
Spanish (European),escoba,40
Spanish (European),cepillo,13
Spanish (European),bicho,29
Spanish (European),toro,51
Spanish (European),bollo,12
Spanish (European),conejo,48
Spanish (European),quemar,21
Spanish (European),autobús,43
Spanish (European),autobús,43
Spanish (European),pero,1331
Spanish (European),culo,47
Spanish (European),mariposa,18
Spanish (European),botón,44
Spanish (European),comprar,118
Spanish (European),por,936
Spanish (European),bizcocho,40
Spanish (European),tarta,171
Spanish (European),llamar,122
Spanish (European),poder,95
Spanish (European),poder,95
Spanish (European),poder,95
Spanish (European),caramelo,45
Spanish (European),coche,432
Spanish (European),cartas,27
Spanish (European),cuidar,22
Spanish (European),zanahoria,39
Spanish (European),gato,163
Spanish (European),cereales,14
Spanish (European),silla,229
Spanish (European),queso,33
Spanish (European),pollito,37
Spanish (European),gallina,36
Spanish (European),pollo,68
Spanish (European),chocolate,81
Spanish (European),limpio,24
Spanish (European),subir,134
Spanish (European),reloj,62
Spanish (European),cerrar,91
Spanish (European),ropa,90
Spanish (European),payaso,17
Spanish (European),abrigo,19
Spanish (European),monedas,14
Spanish (European),frío,206
Spanish (European),peinar,18
Spanish (European),peine,32
Spanish (European),cocinar,16
Spanish (European),galleta,79
Spanish (European),enfriar,7
Spanish (European),sofá,81
Spanish (European),tapar,35
Spanish (European),vaca,336
Spanish (European),cuna,71
Spanish (European),cocodrilo,36
Spanish (European),llorar,35
Spanish (European),taza,34
Spanish (European),cortar,39
Spanish (European),guapo,50
Spanish (European),bailar,12
Spanish (European),pañal,37
Spanish (European),difícil,77
Spanish (European),sucio,26
Spanish (European),perro,233
Spanish (European),muñeca,85
Spanish (European),burro,44
Spanish (European),puerta,321
Spanish (European),abajo,186
Spanish (European),dibujar,50
Spanish (European),cajón,27
Spanish (European),sueño,83
Spanish (European),vestido,90
Spanish (European),vestir,21
Spanish (European),beber,64
Spanish (European),conducir,57
Spanish (European),tambor,31
Spanish (European),pato,70
Spanish (European),oreja,29
Spanish (European),pendientes,7
Spanish (European),comer,464
Spanish (European),cenar,105
Spanish (European),huevo,53
Spanish (European),tampoco,131
Spanish (European),elefante,37
Spanish (European),vacío,27
Spanish (European),entrar,148
Spanish (European),todo,494
Spanish (European),ojos,114
Spanish (European),cara,183
Spanish (European),caer,123
Spanish (European),dedos,35
Spanish (European),dedo,85
Spanish (European),uña,8
Spanish (European),terminar,45
Spanish (European),pescado,37
Spanish (European),pez,34
Spanish (European),caber,44
Spanish (European),mojar,28
Spanish (European),suelo,167
Spanish (European),flor,58
Spanish (European),volar,21
Spanish (European),mosca,20
Spanish (European),comida,182
Spanish (European),pie,177
Spanish (European),para,1306
Spanish (European),tenedor,27
Spanish (European),cuatro,110
Spanish (European),rana,106
Spanish (European),delante,86
Spanish (European),fruta,49
Spanish (European),lleno,46
Spanish (European),garaje,263
Spanish (European),regalar,29
Spanish (European),dar,251
Spanish (European),vaso,51
Spanish (European),gafas,48
Spanish (European),guantes,16
Spanish (European),ir,422
Spanish (European),gol,23
Spanish (European),bueno,676
Spanish (European),uvas,12
Spanish (European),verde,105
Spanish (European),guitarra,5
Spanish (European),tripa,29
Spanish (European),pasillo,17
Spanish (European),jamón,56
Spanish (European),mano,204
Spanish (European),contento,92
Spanish (European),gorro,125
Spanish (European),sombrero,136
Spanish (European),haber,90
Spanish (European),haber,90
Spanish (European),él,253
Spanish (European),cabeza,203
Spanish (European),oír,21
Spanish (European),ella,302
Spanish (European),aquí,1190
Spanish (European),suyo,16
Spanish (European),pegar,49
Spanish (European),caballo,277
Spanish (European),caliente,52
Spanish (European),cómo,801
Spanish (European),cuántos,155
Spanish (European),hambre,124
Spanish (European),yo,930
Spanish (European),helado,35
Spanish (European),si,1151
Spanish (European),su,508
Spanish (European),chaqueta,43
Spanish (European),zumo,36
Spanish (European),saltar,32
Spanish (European),llaves,44
Spanish (European),cocina,242
Spanish (European),rodillas,20
Spanish (European),cuchillo,22
Spanish (European),saber,56
Spanish (European),reír,26
Spanish (European),reír,26
Spanish (European),aprender,45
Spanish (European),salir,181
Spanish (European),piernas,64
Spanish (European),pierna,40
Spanish (European),limón,15
Spanish (European),lentejas,32
Spanish (European),lechuga,16
Spanish (European),luz,89
Spanish (European),gustar,31
Spanish (European),león,18
Spanish (European),labios,13
Spanish (European),poco,443
Spanish (European),poco,443
Spanish (European),pequeño,157
Spanish (European),salón,107
Spanish (European),mirar,87
Spanish (European),bajar,97
Spanish (European),carne,50
Spanish (European),carne,50
Spanish (European),medicina,13
Spanish (European),leche,163
Spanish (European),mío,106
Spanish (European),mío,106
Spanish (European),míos,20
Spanish (European),espejo,11
Spanish (European),mono,60
Spanish (European),más,999
Spanish (European),más,999
Spanish (European),moto,40
