language,word_clean,cd_score
Spanish (Mexican),un,1591
Spanish (Mexican),una,1186
Spanish (Mexican),unas,152
Spanish (Mexican),unos,215
Spanish (Mexican),mucho,404
Spanish (Mexican),otro,562
Spanish (Mexican),avión,15
Spanish (Mexican),todo,494
Spanish (Mexican),ya,1114
Spanish (Mexican),también,744
Spanish (Mexican),enojado,7
Spanish (Mexican),animal,53
Spanish (Mexican),manzana,21
Spanish (Mexican),brazos,61
Spanish (Mexican),brazo,23
Spanish (Mexican),atrás,109
Spanish (Mexican),malo,111
Spanish (Mexican),pelota,176
Spanish (Mexican),globo,61
Spanish (Mexican),plátano,22
Spanish (Mexican),baño,99
Spanish (Mexican),estar,240
Spanish (Mexican),ser,239
Spanish (Mexican),playa,68
Spanish (Mexican),oso,82
Spanish (Mexican),cama,403
Spanish (Mexican),abeja,10
Spanish (Mexican),ombligo,8
Spanish (Mexican),babero,5
Spanish (Mexican),bicicleta,40
Spanish (Mexican),grande,329
Spanish (Mexican),pájaro,32
Spanish (Mexican),morder,15
Spanish (Mexican),soplar,46
Spanish (Mexican),azul,93
Spanish (Mexican),barco,255
Spanish (Mexican),libro,89
Spanish (Mexican),botas,79
Spanish (Mexican),botella,13
Spanish (Mexican),caja,50
Spanish (Mexican),pan,67
Spanish (Mexican),romper,75
Spanish (Mexican),chichi,46
Spanish (Mexican),roto,127
Spanish (Mexican),escoba,40
Spanish (Mexican),cepillo,13
Spanish (Mexican),conejo,48
Spanish (Mexican),mariposa,18
Spanish (Mexican),botón,44
Spanish (Mexican),pastel,145
Spanish (Mexican),poder,95
Spanish (Mexican),vela,35
Spanish (Mexican),dulce,21
Spanish (Mexican),carro,40
Spanish (Mexican),cuidado,155
Spanish (Mexican),gato,163
Spanish (Mexican),silla,229
Spanish (Mexican),queso,33
Spanish (Mexican),pollito,37
Spanish (Mexican),pollo,68
Spanish (Mexican),iglesia,14
Spanish (Mexican),limpio,24
Spanish (Mexican),subir,134
Spanish (Mexican),subir,134
Spanish (Mexican),cerrar,91
Spanish (Mexican),trapo,10
Spanish (Mexican),café,109
Spanish (Mexican),frío,206
Spanish (Mexican),peinar,18
Spanish (Mexican),peine,32
Spanish (Mexican),galleta,79
Spanish (Mexican),sofá,81
Spanish (Mexican),vaca,336
Spanish (Mexican),cuna,71
Spanish (Mexican),llorar,35
Spanish (Mexican),taza,34
Spanish (Mexican),guapo,50
Spanish (Mexican),bailar,12
Spanish (Mexican),oscuro,27
Spanish (Mexican),pañal,37
Spanish (Mexican),diferente,44
Spanish (Mexican),sucio,26
Spanish (Mexican),perro,233
Spanish (Mexican),muñeca,85
Spanish (Mexican),burro,44
Spanish (Mexican),puerta,321
Spanish (Mexican),abajo,186
Spanish (Mexican),dibujar,50
Spanish (Mexican),cajón,27
Spanish (Mexican),vestido,90
Spanish (Mexican),tambor,31
Spanish (Mexican),secar,35
Spanish (Mexican),pato,70
Spanish (Mexican),orejas,62
Spanish (Mexican),oreja,29
Spanish (Mexican),comer,464
Spanish (Mexican),desayunar,137
Spanish (Mexican),cenar,105
Spanish (Mexican),huevo,53
Spanish (Mexican),elefante,37
Spanish (Mexican),vacío,27
Spanish (Mexican),ojos,114
Spanish (Mexican),cara,183
Spanish (Mexican),caer,123
Spanish (Mexican),campo,110
Spanish (Mexican),dedos,35
Spanish (Mexican),dedo,85
Spanish (Mexican),acabar,35
Spanish (Mexican),acabar,35
Spanish (Mexican),pescado,37
Spanish (Mexican),flor,58
Spanish (Mexican),mosca,20
Spanish (Mexican),comida,182
Spanish (Mexican),pies,109
Spanish (Mexican),para,1306
Spanish (Mexican),tenedor,27
