word_clean,n_train_instances,n_val_instances,n_total,train_frequency,all_frequency
ein,17000,4343,1802645,0.0094305867211792,0.0118398242582427
einer,772,183,1802645,0.0004282595852206,0.0005297770775721
eine,7603,1901,1802645,0.0042176912259485,0.0052722527175345
ein bisschen,93,28,1802645,0.0000515908567688,0.0000671235878390
über,541,142,1802645,0.0003001145538916,0.0003788876900333
Flugzeug,584,152,1802645,0.0003239683908923,0.0004082889309875
auch,11303,2898,1802645,0.0062702306887934,0.0078778683545568
Tier,170,38,1802645,0.0000943058672118,0.0001153860022356
andere,828,205,1802645,0.0004593250473610,0.0005730468284105
anderer,42,13,1802645,0.0000232990966053,0.0000305107217450
Ameise,7,4,1802645,0.0000038831827675,0.0000061021443490
Apfel,183,58,1802645,0.0001015174923515,0.0001336924352826
Arm,89,24,1802645,0.0000493718951873,0.0000626856646761
Sessel,21,2,1802645,0.0000116495483026,0.0000127590290934
weg,891,193,1802645,0.0004942736922689,0.0006013385885740
zurück,237,65,1802645,0.0001314734737011,0.0001675315993998
schlecht,333,98,1802645,0.0001847285516560,0.0002390931104017
böse,13,5,1802645,0.0000072116251397,0.0000099853271165
Ball,214,49,1802645,0.0001187144446078,0.0001458967239806
Luftballon,58,19,1802645,0.0000321749429311,0.0000427150104430
Banane,81,10,1802645,0.0000449339720244,0.0000504813759781
Klo,209,38,1802645,0.0001159407426310,0.0001370208776548
Badewanne,33,5,1802645,0.0000183064330470,0.0000210801350238
jeder,74,20,1802645,0.0000410507892569,0.0000521455971642
Bohnen,16,3,1802645,0.0000088758463258,0.0000105400675119
Bär,128,40,1802645,0.0000710067706065,0.0000931963864211
Bett,412,81,1802645,0.0002285530428898,0.0002734870149142
Schlafzimmer,17,7,1802645,0.0000094305867212,0.0000133137694887
Biene,21,10,1802645,0.0000116495483026,0.0000171969522563
Lätzchen,21,6,1802645,0.0000116495483026,0.0000149779906748
Fahrrad,112,43,1802645,0.0000621309242807,0.0000859847612813
groß,404,100,1802645,0.0002241151197268,0.0002795891592632
Vogel,57,14,1802645,0.0000316202025357,0.0000393865680708
beißen,32,12,1802645,0.0000177516926516,0.0000244085773960
schwarz,163,38,1802645,0.0000904226844442,0.0001115028194681
Decke,135,23,1802645,0.0000748899533741,0.0000876489824674
pusten,112,29,1802645,0.0000621309242807,0.0000782183957463
blau,293,74,1802645,0.0001625389358415,0.0002035897250984
Schiff,427,101,1802645,0.0002368741488202,0.0002929029287519
Buch,479,98,1802645,0.0002657206493791,0.0003200852081247
Stiefel,37,10,1802645,0.0000205253946284,0.0000260727985821
Flasche,62,14,1802645,0.0000343939045125,0.0000421602700476
