word_clean,n_train_instances,n_val_instances,n_total,train_frequency,all_frequency
un,15237,3773,1665518,0.0091485051497492,0.0114138664367482
plein,679,158,1665518,0.0004076809737271,0.0005025463549478
au dessus de,4,2,1665518,0.0000024016552208,0.0000036024828312
encore,2634,687,1665518,0.0015814899628824,0.0019939742470511
avion,102,28,1665518,0.0000612422081298,0.0000780537946753
tous,864,207,1665518,0.0005187575276881,0.0006430431853634
parti,196,59,1665518,0.0001176811058181,0.0001531055203246
aussi,2363,552,1665518,0.0014187778216747,0.0017502062421421
et,14742,3658,1665518,0.0088513003161779,0.0110476140155795
animal,110,24,1665518,0.0000660455185714,0.0000804554498961
un autre,495,116,1665518,0.0002972048335713,0.0003668528349739
fourmi,24,6,1665518,0.0000144099313247,0.0000180124141558
pomme,192,48,1665518,0.0001152794505974,0.0001440993132467
bras,252,58,1665518,0.0001513042789090,0.0001861282796103
fauteuil,66,16,1665518,0.0000396273111428,0.0000492339320260
endormi,23,2,1665518,0.0000138095175195,0.0000150103451299
à,10575,2583,1665518,0.0063493759899323,0.0079002448487498
être réveillé,0,0,1665518,0.0000000000000000,0.0000000000000000
sac,297,74,1665518,0.0001783229001428,0.0002227535217272
balle,110,22,1665518,0.0000660455185714,0.0000792546222857
ballon,326,76,1665518,0.0001957349004934,0.0002413663496882
banane,109,29,1665518,0.0000654451047662,0.0000828571051168
panier,54,14,1665518,0.0000324223454805,0.0000408281387532
baignoire,72,24,1665518,0.0000432297939740,0.0000576397252987
salle de bain,17,3,1665518,0.0000102070346883,0.0000120082761039
perles,69,17,1665518,0.0000414285525584,0.0000516355872467
ours,205,54,1665518,0.0001230848300649,0.0001555071755454
beau,606,176,1665518,0.0003638507659479,0.0004695235956621
joli,357,102,1665518,0.0002143477284545,0.0002755899365843
parce que,2350,599,1665518,0.0014109724422072,0.0017706203115187
lit,540,114,1665518,0.0003242234548051,0.0003926706285972
chambre,316,90,1665518,0.0001897307624415,0.0002437680049090
abeille,16,4,1665518,0.0000096066208831,0.0000120082761039
derrière,238,57,1665518,0.0001428984856363,0.0001771220725324
nombril,37,8,1665518,0.0000222153107922,0.0000270186212338
bavoir,13,6,1665518,0.0000078053794675,0.0000114078622987
vélo,148,41,1665518,0.0000888612431688,0.0001134782091818
grand,818,187,1665518,0.0004911384926491,0.0006034158742205
oiseau,92,30,1665518,0.0000552380700779,0.0000732504842337
mordre,13,4,1665518,0.0000078053794675,0.0000102070346883
noir,168,52,1665518,0.0001008695192727,0.0001320910371428
couverture,44,11,1665518,0.0000264182074286,0.0000330227592857
souffler,32,10,1665518,0.0000192132417662,0.0000252173798182
bleu,409,90,1665518,0.0002455692463246,0.0002996064887921
bateau,444,100,1665518,0.0002665837295064,0.0003266251100258
livre,656,156,1665518,0.0003938714562076,0.0004875360098180
bottes,73,18,1665518,0.0000438302077792,0.0000546376562727
biberon,189,39,1665518,0.0001134782091818,0.0001368943475844
bouteille,78,21,1665518,0.0000468322768052,0.0000594409667143
bol,87,24,1665518,0.0000522360010519,0.0000666459323766
boîte,301,71,1665518,0.0001807245553636,0.0002233539355324
pain,291,78,1665518,0.0001747204173116,0.0002215526941168
casser,191,25,1665518,0.0001146790367922,0.0001296893819220
apporter,27,3,1665518,0.0000162111727403,0.0000180124141558
cassé,317,84,1665518,0.0001903311762467,0.0002407659358830
balai,37,12,1665518,0.0000222153107922,0.0000294202764545
marron,48,12,1665518,0.0000288198626493,0.0000360248283117
brosse,38,8,1665518,0.0000228157245974,0.0000276190350389
bulles,107,21,1665518,0.0000642442771558,0.0000768529670649
seau,31,7,1665518,0.0000186128279610,0.0000228157245974
construire,40,11,1665518,0.0000240165522078,0.0000306211040649
lapin,338,79,1665518,0.0002029398661558,0.0002503725567661
bus,23,9,1665518,0.0000138095175195,0.0000192132417662
fesses,146,33,1665518,0.0000876604155584,0.0001074740711298
beurre,92,22,1665518,0.0000552380700779,0.0000684471737922
papillon,79,18,1665518,0.0000474326906104,0.0000582401391039
boutons,72,21,1665518,0.0000432297939740,0.0000558384838831
acheter,99,29,1665518,0.0000594409667143,0.0000768529670649
gâteau,515,141,1665518,0.0003092131096752,0.0003938714562076
appareil photo,0,0,1665518,0.0000000000000000,0.0000000000000000
bonbons,68,21,1665518,0.0000408281387532,0.0000534368286623
voiture,810,203,1665518,0.0004863351822076,0.0006082191846621
carotte,76,12,1665518,0.0000456314491948,0.0000528364148571
porter,53,15,1665518,0.0000318219316753,0.0000408281387532
chat,738,177,1665518,0.0004431053882336,0.0005493786317530
attraper,70,15,1665518,0.0000420289663636,0.0000510351734415
céréales,27,7,1665518,0.0000162111727403,0.0000204140693766
chaise,256,56,1665518,0.0001537059341298,0.0001873291072207
craie,12,1,1665518,0.0000072049656623,0.0000078053794675
courir après,3,0,1665518,0.0000018012414156,0.0000018012414156
joue,411,118,1665518,0.0002467700739350,0.0003176189029479
fromage,203,42,1665518,0.0001218840024545,0.0001471013822727
poule,200,55,1665518,0.0001200827610389,0.0001531055203246
poulet,73,23,1665518,0.0000438302077792,0.0000576397252987
menton,21,3,1665518,0.0000126086899091,0.0000144099313247
chips,18,2,1665518,0.0000108074484935,0.0000120082761039
chocolat,382,99,1665518,0.0002293580735843,0.0002887990402986
nettoyer,62,22,1665518,0.0000372256559221,0.0000504347596363
propre,123,30,1665518,0.0000738508980389,0.0000918633121948
clémentine,16,5,1665518,0.0000096066208831,0.0000126086899091
grimper,16,2,1665518,0.0000096066208831,0.0000108074484935
fermer,116,32,1665518,0.0000696480014026,0.0000888612431688
nuage,10,1,1665518,0.0000060041380519,0.0000066045518571
manteau,88,18,1665518,0.0000528364148571,0.0000636438633506
café,156,51,1665518,0.0000936645536103,0.0001242856576753
froid,305,84,1665518,0.0001831262105843,0.0002335609702207
peigne,30,6,1665518,0.0000180124141558,0.0000216148969870
compote,73,21,1665518,0.0000438302077792,0.0000564388976883
canapé,97,36,1665518,0.0000582401391039,0.0000798550360909
vache,214,45,1665518,0.0001284885543116,0.0001555071755454
berceau,4,0,1665518,0.0000024016552208,0.0000024016552208
crocodile,174,45,1665518,0.0001044720021038,0.0001314906233376
pleurer,49,8,1665518,0.0000294202764545,0.0000342235868961
tasse,71,12,1665518,0.0000426293801688,0.0000498343458311
couper,163,50,1665518,0.0000978674502467,0.0001278881405064
mignon,81,25,1665518,0.0000486335182208,0.0000636438633506
danser,57,11,1665518,0.0000342235868961,0.0000408281387532
biche,23,7,1665518,0.0000138095175195,0.0000180124141558
couche,158,51,1665518,0.0000948653812207,0.0001254864852857
sale,177,37,1665518,0.0001062732435194,0.0001284885543116
plat,82,8,1665518,0.0000492339320260,0.0000540372424675
fait,7847,2024,1665518,0.0047114471293616,0.0059266846710753
chien,465,118,1665518,0.0002791924194155,0.0003500412484284
poupée,157,45,1665518,0.0000942649674155,0.0001212835886493
âne,20,4,1665518,0.0000120082761039,0.0000144099313247
porte,336,83,1665518,0.0002017390385454,0.0002515733843765
en bas,54,9,1665518,0.0000324223454805,0.0000378260697273
dessiner,161,37,1665518,0.0000966666226363,0.0001188819334285
tiroir,49,14,1665518,0.0000294202764545,0.0000378260697273
robe,108,26,1665518,0.0000648446909610,0.0000804554498961
boire,296,78,1665518,0.0001777224863376,0.0002245547631428
conduire,38,9,1665518,0.0000228157245974,0.0000282194488441
sécher,46,20,1665518,0.0000276190350389,0.0000396273111428
sec,34,2,1665518,0.0000204140693766,0.0000216148969870
canard,205,52,1665518,0.0001230848300649,0.0001543063479350
jeter,89,30,1665518,0.0000534368286623,0.0000714492428182
oreille,53,6,1665518,0.0000318219316753,0.0000354244145065
manger,1490,370,1665518,0.0008946165697399,0.0011167696776618
éléphant,130,24,1665518,0.0000780537946753,0.0000924637260000
