word_clean,n_train_instances,n_val_instances,n_total,train_frequency,all_frequency
uno,302,77,479752,0.0006294919041505,0.0007899914956061
un,3397,825,479752,0.0070807417165536,0.0088003801964348
una,2038,528,479752,0.0042480281478764,0.0053485967750004
encima,111,28,479752,0.0002313695409295,0.0002897330287315
asustado,10,4,479752,0.0000208441027864,0.0000291817439010
miedo,75,19,479752,0.0001563307708983,0.0001959345661925
otra vez,229,51,479752,0.0004773299538095,0.0005836348780203
avión,9,1,479752,0.0000187596925078,0.0000208441027864
todo,406,89,479752,0.0008462705731295,0.0010317830879288
todas,98,24,479752,0.0002042722073071,0.0002542980539946
casi,53,17,479752,0.0001104737447681,0.0001459087195051
solo,94,17,479752,0.0001959345661925,0.0002313695409295
también,681,176,479752,0.0014194833997565,0.0017863396087979
ambulancia,23,7,479752,0.0000479414364088,0.0000625323083593
y,9982,2490,479752,0.0208065834014241,0.0259967649952475
enfadado,34,6,479752,0.0000708699494739,0.0000833764111458
animal,21,3,479752,0.0000437726158515,0.0000500258466875
alguno,30,4,479752,0.0000625323083593,0.0000708699494739
manzana,8,1,479752,0.0000166752822292,0.0000187596925078
potito,3,1,479752,0.0000062532308359,0.0000083376411146
brazos,21,6,479752,0.0000437726158515,0.0000562790775234
detrás,48,15,479752,0.0001000516933749,0.0001313178475546
malo,81,25,479752,0.0001688372325702,0.0002209474895363
balón,99,28,479752,0.0002063566175858,0.0002647201053878
fútbol,37,8,479752,0.0000771231803098,0.0000937984625390
pelota,161,30,479752,0.0003355900548617,0.0003981223632210
globo,37,13,479752,0.0000771231803098,0.0001042205139322
baño,42,9,479752,0.0000875452317030,0.0001063049242108
bañar,32,2,479752,0.0000667011289166,0.0000708699494739
bañera,27,3,479752,0.0000562790775234,0.0000625323083593
estar,133,33,479752,0.0002772265670596,0.0003460121062549
ser,159,40,479752,0.0003314212343044,0.0004147976454501
oso,40,12,479752,0.0000833764111458,0.0001083893344895
barba,11,2,479752,0.0000229285130651,0.0000270973336224
porque,1038,233,479752,0.0021636178692324,0.0026492854641565
cama,563,145,479752,0.0011735229868766,0.0014757624772799
abeja,5,2,479752,0.0000104220513932,0.0000145908719505
ombligo,3,0,479752,0.0000062532308359,0.0000062532308359
debajo,20,11,479752,0.0000416882055729,0.0000646167186380
al lado,36,10,479752,0.0000750387700312,0.0000958828728176
entre,31,6,479752,0.0000646167186380,0.0000771231803098
babero,1,1,479752,0.0000020844102786,0.0000041688205573
bici,7,2,479752,0.0000145908719505,0.0000187596925078
grande,332,83,479752,0.0006920242125098,0.0008650302656372
pájaro,13,3,479752,0.0000270973336224,0.0000333505644583
morder,3,1,479752,0.0000062532308359,0.0000083376411146
negro,23,2,479752,0.0000479414364088,0.0000521102569661
cubo,6,0,479752,0.0000125064616719,0.0000125064616719
azul,52,21,479752,0.0001083893344895,0.0001521619503410
barco,204,56,479752,0.0004252196968434,0.0005419466724474
cuento,405,98,479752,0.0008441861628508,0.0010484583701579
bota,31,11,479752,0.0000646167186380,0.0000875452317030
biberón,22,2,479752,0.0000458570261302,0.0000500258466875
botella,5,3,479752,0.0000104220513932,0.0000166752822292
caja,21,5,479752,0.0000437726158515,0.0000541946672447
pan,20,4,479752,0.0000416882055729,0.0000500258466875
romper,37,10,479752,0.0000771231803098,0.0000979672830963
desayunar,105,28,479752,0.0002188630792576,0.0002772265670596
teta,2,0,479752,0.0000041688205573,0.0000041688205573
traer,31,6,479752,0.0000646167186380,0.0000771231803098
roto,103,30,479752,0.0002146942587003,0.0002772265670596
escoba,20,7,479752,0.0000416882055729,0.0000562790775234
cepillo,3,2,479752,0.0000062532308359,0.0000104220513932
bicho,12,6,479752,0.0000250129233437,0.0000375193850156
toro,21,7,479752,0.0000437726158515,0.0000583634878020
bollo,3,0,479752,0.0000062532308359,0.0000062532308359
conejo,25,13,479752,0.0000521102569661,0.0000792075905885
