word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
a,1,0.0000199051268811,1.0012855645011698,301773,English (American)
an,1,0.0000027497519610,1.0000027497562389,13508,English (American)
about,1,0.0000015428512670,1.0000015428531503,27478,English (American)
above,1,0.0000805132112216,1.0000805165394198,332,English (American)
airplane,1,0.0000220690619775,1.0000220693197797,1192,English (American)
all,1,0.0000015053391300,1.0000015053403368,49585,English (American)
alligator,1,0.0000812355522765,1.0000812390654661,404,English (American)
am,1,0.0000058177731185,1.0000058177940978,4070,English (American)
and,1,0.0000001857112593,1.0000001857112839,217485,English (American)
animal,1,0.0000248406024115,1.0000248409302706,1523,English (American)
ankle,1,0.0004303126949041,1.0004304313690695,75,English (American)
another,1,0.0000036805187479,1.0000036805260473,14222,English (American)
ant,1,0.0001542329196777,1.0001542456850023,182,English (American)
any,1,0.0000038999624009,1.0000038999706331,12098,English (American)
apple,1,0.0000099400112632,1.0000099400637010,3736,English (American)
applesauce,1,0.0001967730999541,1.0001967929471893,127,English (American)
are,1,0.0000008968524844,1.0000008968529703,106583,English (American)
arm,1,0.0000174780320110,1.0000174782039493,1528,English (American)
around,1,0.0000044476904515,1.0000044477012111,6835,English (American)
asleep,1,0.0000208802591963,1.0000208804894959,1365,English (American)
at,1,0.0000012123340305,1.0000012123348700,52573,English (American)
awake,1,0.0000784224775898,1.0000784258816673,362,English (American)
away,1,0.0000031190375936,1.0000031190427654,11014,English (American)
back,1,0.0000015099262228,1.0000015099274244,26533,English (American)
bad,1,0.0000127550306858,1.0000127551163545,2576,English (American)
ball,1,0.0000052872900130,1.0000052873060365,8382,English (American)
balloon,1,0.0000173492033933,1.0000173493643743,1810,English (American)
banana,1,0.0000224431927321,1.0000224434553766,1615,English (American)
basement,1,0.0002674244069793,1.0002674682087132,121,English (American)
basket,1,0.0000231623392608,1.0000231626260818,1734,English (American)
bat,1,0.0000669752960600,1.0000669776154616,384,English (American)
bathroom,1,0.0000323964731156,1.0000323970099481,1059,English (American)
bathtub,1,0.0000589146889180,1.0000589164290714,410,English (American)
be,1,0.0000020273156415,1.0000020273179011,41097,English (American)
beach,1,0.0000293449179081,1.0000293455739333,991,English (American)
beads,1,0.0000656150068974,1.0000656172904825,546,English (American)
beans,1,0.0000282211803147,1.0000282215823924,1249,English (American)
bear,1,0.0000044410135294,1.0000044410256126,5220,English (American)
because,1,0.0000018816483531,1.0000018816508220,31730,English (American)
bed,1,0.0000036001168344,1.0000036001236952,7584,English (American)
bedroom,1,0.0000338287990383,1.0000338294443605,1119,English (American)
bee,1,0.0000170857249519,1.0000170858836495,1475,English (American)
behind,1,0.0000091708804151,1.0000091709232279,2954,English (American)
belt,1,0.0000876082131457,1.0000876122266356,307,English (American)
bench,1,0.0001396228578879,1.0001396326606555,241,English (American)
beside,1,0.0001071691989589,1.0001071750335933,304,English (American)
better,1,0.0000025888030376,1.0000025888067872,9742,English (American)
bib,1,0.0000379507273209,1.0000379514620532,639,English (American)
bicycle,1,0.0000620890045012,1.0000620912423457,660,English (American)
big,1,0.0000025499395528,1.0000025499436060,25182,English (American)
bird,1,0.0000157887716038,1.0000157889081311,2517,English (American)
bite,1,0.0000101353171706,1.0000101353699355,2541,English (American)
black,1,0.0000117183072061,1.0000117183805106,2775,English (American)
blanket,1,0.0000285425781325,1.0000285430885425,957,English (American)
block,1,0.0000372595744092,1.0000372604268379,1117,English (American)
blow,1,0.0000136944408791,1.0000136945485654,2110,English (American)
blue,1,0.0000039712796240,1.0000039712885860,9232,English (American)
boat,1,0.0000099015258481,1.0000099015873383,2544,English (American)
book,1,0.0000021883106408,1.0000021883137831,15413,English (American)
boots,1,0.0000277532404501,1.0000277536385462,792,English (American)
bottle,1,0.0000124213078877,1.0000124213871537,3023,English (American)
bowl,1,0.0000177580510787,1.0000177582449634,1967,English (American)
box,1,0.0000032655672719,1.0000032655739142,8714,English (American)
bread,1,0.0000110909927128,1.0000110910566224,2959,English (American)
break,1,0.0000127247600171,1.0000127248617892,2940,English (American)
bring,1,0.0000081029645430,1.0000081029998600,5164,English (American)
broken,1,0.0000122790472826,1.0000122791238246,2733,English (American)
broom,1,0.0000771943259227,1.0000771973148386,282,English (American)
brown,1,0.0000104980004968,1.0000104980563482,2294,English (American)
brush,1,0.0000131502039144,1.0000131502954541,2162,English (American)
bubbles,1,0.0000259053193223,1.0000259056625957,1229,English (American)
bucket,1,0.0000364071985055,1.0000364079275055,896,English (American)
bug,1,0.0000589695294214,1.0000589715393047,653,English (American)
build,1,0.0000114072116171,1.0000114072826307,2552,English (American)
bump,1,0.0000298034764011,1.0000298039781057,1008,English (American)
bunny,1,0.0000120936727731,1.0000120937475077,2386,English (American)
bus,1,0.0000102649417701,1.0000102650127367,3774,English (American)
