word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
plane,1,0.0000369334636512,1.0000369341962236,853,English (Australian)
mad,1,0.0000478438141575,1.0000478449823094,839,English (Australian)
animal,1,0.0000253290223699,1.0000253293516603,1523,English (Australian)
ant,1,0.0002233377103099,1.0002233628388224,182,English (Australian)
apple,1,0.0000063728898139,1.0000063729107469,3736,English (Australian)
arm,1,0.0000165408518226,1.0000165409911070,1528,English (Australian)
asleep,1,0.0000215790834506,1.0000215793266343,1365,English (Australian)
backyard,1,0.0003021304323781,1.0003021762473456,105,English (Australian)
bad,1,0.0000109956999018,1.0000109957611336,2576,English (Australian)
ball,1,0.0000045924624941,1.0000045924731815,8382,English (Australian)
balloon,1,0.0000175741168393,1.0000175742813970,1810,English (Australian)
banana,1,0.0000248917684729,1.0000248920805053,1615,English (Australian)
bathroom,1,0.0000336238057926,1.0000336246742345,1059,English (Australian)
bath,1,0.0000129487190245,1.0000129488075449,2768,English (Australian)
beans,1,0.0000169608804851,1.0000169610289926,1249,English (Australian)
bear,1,0.0000061637861950,1.0000061638053539,5220,English (Australian)
bed,1,0.0000046916854202,1.0000046916966270,7584,English (Australian)
bedroom,1,0.0000270940965072,1.0000270944923344,1119,English (Australian)
bee,1,0.0000175531854565,1.0000175533457512,1475,English (Australian)
bellybutton,1,0.0002156680301091,1.0002156919904170,90,English (Australian)
bib,1,0.0000402811054127,1.0000402819196557,639,English (Australian)
bicycle,1,0.0000480687139619,1.0000480698816534,660,English (Australian)
big,1,0.0000030197036592,1.0000030197083025,25182,English (Australian)
bird,1,0.0000127411512591,1.0000127412328477,2517,English (Australian)
bite,1,0.0000109093959456,1.0000109094562659,2541,English (Australian)
black,1,0.0000101455815666,1.0000101456340968,2775,English (Australian)
blanket,1,0.0000254273739985,1.0000254277026381,957,English (Australian)
block,1,0.0000223355332240,1.0000223357865639,1117,English (Australian)
blow,1,0.0000120468430047,1.0000120469179397,2110,English (Australian)
blue,1,0.0000032588553583,1.0000032588607122,9232,English (Australian)
boat,1,0.0000113836687978,1.0000113837374378,2544,English (Australian)
book,1,0.0000020456439259,1.0000020456462591,15413,English (Australian)
boot,1,0.0001148569806637,1.0001148636104389,262,English (Australian)
bottle,1,0.0000090858122365,1.0000090858536106,3023,English (Australian)
bowl,1,0.0000149710387500,1.0000149712201376,1967,English (Australian)
box,1,0.0000036657403573,1.0000036657472149,8714,English (Australian)
bread,1,0.0000113093475479,1.0000113094122476,2959,English (Australian)
break,1,0.0000090539442806,1.0000090539860949,2940,English (Australian)
bring,1,0.0000056053364758,1.0000056053528330,5164,English (Australian)
broken,1,0.0000119790872836,1.0000119791595861,2733,English (Australian)
broom,1,0.0001239453878746,1.0001239531440582,282,English (Australian)
brush,1,0.0000148526917274,1.0000148528048589,2162,English (Australian)
bubbles,1,0.0000211677115369,1.0000211679420672,1229,English (Australian)
bucket,1,0.0000220740957368,1.0000220743406762,896,English (Australian)
bug,1,0.0000495022526381,1.0000495036199812,653,English (Australian)
bump,1,0.0000222474187352,1.0000222476700515,1008,English (Australian)
bunny,1,0.0000117133674416,1.0000117134367135,2386,English (Australian)
bus,1,0.0000075656858249,1.0000075657151710,3774,English (Australian)
bottom,1,0.0000132805020188,1.0000132805922211,2253,English (Australian)
butter,1,0.0000247794147401,1.0000247797311705,1358,English (Australian)
butterfly,1,0.0000394751725764,1.0000394759807665,882,English (Australian)
button,1,0.0000255016062447,1.0000255019328144,1602,English (Australian)
buy,1,0.0000084454419270,1.0000084454788800,3593,English (Australian)
cake,1,0.0000086112820764,1.0000086113241389,3506,English (Australian)
camera,1,0.0000224040509994,1.0000224043042953,1185,English (Australian)
can,1,0.0000004361563625,1.0000004361564641,87867,English (Australian)
car,1,0.0000022467068075,1.0000022467094234,13476,English (Australian)
careful,1,0.0000041029807916,1.0000041029897191,6107,English (Australian)
carrot,1,0.0000487592389667,1.0000487604554045,711,English (Australian)
carry,1,0.0000277668546686,1.0000277672494999,1148,English (Australian)
cat,1,0.0000050259816636,1.0000050259944113,5835,English (Australian)
catch,1,0.0000110997076490,1.0000110997706229,2813,English (Australian)
cereal,1,0.0000260704891140,1.0000260708640254,1034,English (Australian)
chair,1,0.0000048314574091,1.0000048314691989,6382,English (Australian)
cheek,1,0.0001959498243556,1.0001959695748419,159,English (Australian)
cheese,1,0.0000066671848006,1.0000066672072732,4215,English (Australian)
chicken,1,0.0000143349600839,1.0000143350652237,2818,English (Australian)
chin,1,0.0000648745839630,1.0000648767024567,444,English (Australian)
chocolate,1,0.0000143199256402,1.0000143200341185,2469,English (Australian)
clap,1,0.0000220801913254,1.0000220804489519,1106,English (Australian)
clean,1,0.0000082106555692,1.0000082106901440,3669,English (Australian)
clean,1,0.0000082106555692,1.0000082106901440,3669,English (Australian)
climb,1,0.0000272364024355,1.0000272367744363,1076,English (Australian)
clock,1,0.0000157924158373,1.0000157925453976,1709,English (Australian)
shut,1,0.0000143985390988,1.0000143986462311,1857,English (Australian)
