word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
un,1,0.0007671690220430,1.0007674830325084,19010,French (French)
plein,1,0.0079459150710111,1.0079796502324929,837,French (French)
encore,1,0.0023930792903805,1.0023961119165945,3321,French (French)
avion,1,0.3913387745618820,1.4917294829917684,130,French (French)
tous,1,0.0062072123100861,1.0062273043975440,1071,French (French)
parti,1,0.0436656736860088,1.0446598958437092,255,French (French)
aussi,1,0.0025138944740076,1.0025172380377969,2915,French (French)
et,1,0.0004916451663587,1.0004917820988586,18400,French (French)
animal,1,0.0551158879230272,1.0566700491428049,134,French (French)
fourmi,1,0.6199086944262187,1.8603901310655611,30,French (French)
pomme,1,0.0760051595047116,1.0791369605665833,240,French (French)
bras,1,0.0474946582028943,1.0486902513283389,310,French (French)
fauteuil,1,0.1421889017631368,1.1528778549368426,82,French (French)
endormi,1,1.0204523229598998,2.7767302775638343,25,French (French)
à,1,0.0005257270483112,1.0005258711334528,13158,French (French)
sac,1,0.0174813878689855,1.0176384156627187,371,French (French)
balle,1,0.1292883235058098,1.1400174858093912,132,French (French)
ballon,1,0.0835232650722141,1.0880563666219960,402,French (French)
banane,1,0.1697538714262022,1.1857180575058104,138,French (French)
panier,1,0.4845090276178192,1.6298245296281018,68,French (French)
baignoire,1,0.1865208391100168,1.2055572852466929,96,French (French)
perles,1,0.1956697458098101,1.2162570306726006,86,French (French)
ours,1,0.0466147022875580,1.0477840681416404,259,French (French)
beau,1,0.0055123839998985,1.0055277097583315,782,French (French)
joli,1,0.0111610600805977,1.0112244836287121,459,French (French)
lit,1,0.0161954031556571,1.0163332962107734,654,French (French)
chambre,1,0.0256910637534898,1.0260299006061622,406,French (French)
abeille,1,1.0136697381734847,2.7599126614372889,20,French (French)
derrière,1,0.0532509941039449,1.0547195628554975,295,French (French)
nombril,1,0.3158241397804684,1.3725257667122692,45,French (French)
bavoir,1,2.0550215934452258,7.8311088291059718,19,French (French)
vélo,1,0.1967825349518862,1.2188522663642505,189,French (French)
grand,1,0.0092634684151381,1.0093095044198255,1005,French (French)
grand,1,0.0092634684151381,1.0093095044198255,1005,French (French)
oiseau,1,0.1570003566439034,1.1700311083855541,122,French (French)
mordre,1,2.1811520772821762,8.8672068248031781,17,French (French)
noir,1,0.1512290510602973,1.1637012099423061,220,French (French)
couverture,1,0.5513561259616505,1.7382382246247090,55,French (French)
souffler,1,0.6020694346654982,1.8316208802884275,42,French (French)
bleu,1,0.0216868843412949,1.0219409469738645,499,French (French)
bateau,1,0.0174893583496348,1.0176482784832892,544,French (French)
livre,1,0.0247166513722261,1.0250384800131951,812,French (French)
bottes,1,0.2061320636626128,1.2291048940838609,91,French (French)
biberon,1,0.0328258167658197,1.0333853979484244,228,French (French)
bouteille,1,0.2841981703584844,1.3312323388760434,99,French (French)
bol,1,0.1062797454966081,1.1121582432432595,111,French (French)
boîte,1,0.0130883340588621,1.0131790390902013,372,French (French)
pain,1,0.0292372572409913,1.0297019963145886,369,French (French)
casser,1,0.2775882445275784,1.3407429837308142,216,French (French)
apporter,1,0.8645561873912812,2.3757306503836051,30,French (French)
cassé,1,0.0356138521094721,1.0362951130843816,401,French (French)
balai,1,0.2959472932377640,1.3472233622174929,49,French (French)
marron,1,0.8057377755641937,2.2416421413188248,60,French (French)
brosse,1,0.5482643013415129,1.7399252702490389,46,French (French)
bulles,1,0.1740699628135189,1.1912718555801134,128,French (French)
seau,1,1.2080821771370738,3.3522200107540310,38,French (French)
construire,1,1.0778417587280273,2.9447915591233613,51,French (French)
lapin,1,0.0161976446498105,1.0163305257008126,417,French (French)
bus,1,0.4733275827020407,1.6072618143762645,32,French (French)
fesses,1,0.1492317100809939,1.1611019381701910,179,French (French)
beurre,1,0.1375228145666290,1.1476535973862421,114,French (French)
papillon,1,0.1338796243071556,1.1433428439051219,97,French (French)
boutons,1,0.1933052509382207,1.2135317036378959,93,French (French)
acheter,1,0.1365229575312696,1.1463955802969725,128,French (French)
gâteau,1,0.0086092873130039,1.0086495876591628,656,French (French)
bonbons,1,0.3783042735598061,1.4610016700779813,89,French (French)
voiture,1,0.0062612212379808,1.0062817115075371,1013,French (French)
carotte,1,0.2575736482712356,1.2948740201989541,88,French (French)
porter,1,0.3090030664906782,1.3684076360231752,68,French (French)
chat,1,0.0060132301962156,1.0060325525632450,915,French (French)
attraper,1,0.3390273164300358,1.4048000304774948,85,French (French)
céréales,1,0.5366102088900173,1.7111474724955869,34,French (French)
chaise,1,0.0275443887684303,1.0279562629189243,312,French (French)
craie,1,4.2795975391681376,72.4012446850180140,13,French (French)
joue,1,0.0188945183681856,1.0190813441950255,529,French (French)
fromage,1,0.0631445321957676,1.0652113478018395,245,French (French)
poule,1,0.0483628346931701,1.0496157313237622,255,French (French)
poulet,1,0.8503194780399402,2.7870278678896088,96,French (French)
menton,1,1.8841391851504643,6.5810973528142815,24,French (French)
chips,1,0.8622060507535935,2.3726512511034037,20,French (French)
chocolat,1,0.0283327163303592,1.0288621594504355,481,French (French)
nettoyer,1,0.5191533796134449,1.6887263041554079,84,French (French)
propre,1,0.0950983331776133,1.1001189835122949,153,French (French)
clémentine,1,1.2586421058291482,3.5281796632274429,21,French (French)
grimper,1,3.3123292128245034,27.7527429401814878,18,French (French)
fermer,1,0.0879536200113393,1.0920002486973308,148,French (French)
nuage,1,2.0369156382300635,7.6752468328821264,11,French (French)
manteau,1,0.1059513826555801,1.1118800378379103,106,French (French)
café,1,0.0349363814139568,1.0355606573788043,207,French (French)
froid,1,0.0233816334972958,1.0236615904418007,389,French (French)
peigne,1,0.5258782141738467,1.6924830863013527,36,French (French)
compote,1,0.2952953377302657,1.3446599894105227,94,French (French)
canapé,1,0.1007440673341428,1.1064613025522199,133,French (French)
vache,1,0.0207772435670769,1.0210028803475366,259,French (French)
berceau,1,5.4064381122589111,222.9158056889119166,4,French (French)
crocodile,1,0.0832440300959430,1.0869254225974418,219,French (French)
pleurer,1,0.2216480766472063,1.2483413468267137,57,French (French)
tasse,1,0.3929462379001709,1.4820746284871062,83,French (French)
couper,1,0.0802446314146821,1.0836138016619294,213,French (French)
mignon,1,0.1501682738088212,1.1620942795325309,106,French (French)
danser,1,0.2462152155006633,1.2802237318055061,68,French (French)
biche,1,2.5987733681996663,13.4590105096101720,30,French (French)
couche,1,0.0523769777250347,1.0537868257312681,209,French (French)
sale,1,0.0543194761865328,1.0559436421834565,214,French (French)
plat,1,0.3151839163568285,1.3712934796955092,90,French (French)
fait,1,0.0012430197466611,1.0012438421811698,9871,French (French)
chien,1,0.0169978839653587,1.0171460512212560,583,French (French)
poupée,1,0.0477635116675998,1.0490016234835677,202,French (French)
âne,1,1.6949496716260910,5.4687114289359968,24,French (French)
porte,1,0.0266277079774969,1.0270145932089159,419,French (French)
dessiner,1,0.0662822705514804,1.0685983700452450,198,French (French)
tiroir,1,0.1843313456527771,1.2025354840581082,63,French (French)
robe,1,0.1423016303399605,1.1553063288517766,134,French (French)
boire,1,0.0190688538350125,1.0192560263876229,374,French (French)
conduire,1,0.9256880752583767,2.5444654920236602,47,French (French)
sécher,1,0.6685009607763002,1.9615486519793426,66,French (French)
sec,1,1.4307894110679626,4.1840155234314347,36,French (French)
canard,1,0.0146713177981544,1.0147801967006622,257,French (French)
jeter,1,0.2603314104450851,1.2983541550413700,119,French (French)
oreille,1,0.5103073559575162,1.6675428369398502,59,French (French)
manger,1,0.0028552694347567,1.0028594337514545,1860,French (French)
éléphant,1,0.0986873164966509,1.1043343835864821,154,French (French)
vide,1,0.4987182622509344,1.6523572730417455,56,French (French)
yeux,1,0.0288620596858347,1.0293207514565934,471,French (French)
figure,1,0.5398478522896767,1.7362679010617519,60,French (French)
figure,1,0.5398478522896767,1.7362679010617519,60,French (French)
tomber,1,0.0109920636694428,1.0110548950960598,496,French (French)
loin,1,0.1025229093929132,1.1084600909034708,270,French (French)
vite,1,0.0359157838314385,1.0365953748437544,770,French (French)
trouver,1,0.0337324476418282,1.0343380953650785,241,French (French)
doigt,1,0.0307179347949877,1.0312061557164778,226,French (French)
finir,1,0.0966263120300578,1.1016651014684458,137,French (French)
premier,1,0.0681435509479993,1.0706902255021522,151,French (French)
fleur,1,0.0662575184924309,1.0688744754441220,179,French (French)
nourriture,1,2.0060980374162849,7.4778298231970375,22,French (French)
pied,1,0.0315649612271722,1.0320775464103380,376,French (French)
fourchette,1,0.0332887081383932,1.0338816481886646,164,French (French)
grenouille,1,0.1282065080602964,1.1370087244732854,150,French (French)
plein,1,0.0079459150710111,1.0079796502324929,837,French (French)
garage,1,0.1313334860209096,1.1409896327521487,173,French (French)
jardin,1,0.0226173932677594,1.0228865106285199,207,French (French)
girafe,1,0.1112648741238647,1.1181388846396942,108,French (French)
donner,1,0.0162879021399496,1.0164312479282791,607,French (French)
verre,1,0.0377350959640283,1.0384630546061493,221,French (French)
lunettes,1,0.1608206026148105,1.1745544279881377,138,French (French)
gants,1,1.5562814518257424,4.7460810507460156,27,French (French)
colle,1,0.2349877103611275,1.2661004393298414,162,French (French)
aller,1,0.0026960112860511,1.0027002498755002,2132,French (French)
chèvre,1,0.4347079964571221,1.5464291998021922,43,French (French)
bien,1,0.0015257287348029,1.0015270569779633,6767,French (French)
bon,1,0.0012008049615610,1.0012016754754014,4603,French (French)
raisin,1,1.4156447339940954,4.1731709861614279,27,French (French)
vert,1,0.0270299939263804,1.0274373487798087,426,French (French)
cheveux,1,0.0144466656226015,1.0145524346222485,436,French (French)
marteau,1,1.5141184763474898,4.5665481739068374,22,French (French)
main,1,0.0122853407901026,1.0123659891305326,788,French (French)
content,1,0.0337399040693290,1.0343254036483751,292,French (French)
dur,1,0.0351977753087254,1.0358710528267818,382,French (French)
chapeau,1,0.0468241603289177,1.0480007722263041,276,French (French)
avoir,1,0.0174276233743127,1.0175824924349783,746,French (French)
il,1,0.0007791027401726,1.0420948194730546,25767,French (French)
il,1,0.0007791027401726,1.0420948194730546,25767,French (French)
tête,1,0.0121446084564946,1.0122202755989829,837,French (French)
entendre,1,2.4443827205234103,11.6223151839294019,27,French (French)
lourd,1,0.1172968562178571,1.1244802834172702,116,French (French)
hélicoptère,1,1.0918188174565633,2.9866099631047880,45,French (French)
aider,1,0.2062846964822625,1.2292031273168067,53,French (French)
ici,1,0.0066697782404028,1.0066932209013122,1560,French (French)
cacher,1,0.2292999360514315,1.2589157344639026,76,French (French)
haut,1,0.1196534009460284,1.1273959869297041,294,French (French)
lui,1,0.0014488670353057,1.0014501648640031,4667,French (French)
ses,1,0.0302394650912342,1.0307099365234662,728,French (French)
taper,1,0.4366163751658271,1.5480892337850027,34,French (French)
tenir,1,0.2585943520945661,1.3789502539147942,170,French (French)
cheval,1,0.0482927727036525,1.0495795680066415,344,French (French)
chaud,1,0.0070124685520395,1.0070389487317544,546,French (French)
comment,1,0.0017768240894983,1.0017788155951981,4280,French (French)
faim,1,0.0326838585224591,1.0332810936910759,475,French (French)
je,1,0.0017013751639760,1.2971763621521899,18005,French (French)
glace,1,0.2030444509842816,1.2255957994617555,85,French (French)
si,1,0.0056814294500063,1.2816950377872389,4635,French (French)
dans,1,0.0016485679304147,1.2019208095231921,8137,French (French)
dedans,1,0.0076582514036774,1.0076885129162125,934,French (French)
veste,1,1.0378184583452013,2.8256905563869910,27,French (French)
confiture,1,0.6375095779481141,1.8982699469901059,46,French (French)
sauter,1,0.1751181247030816,1.1923735666041722,82,French (French)
clefs,1,0.2044164402053711,1.2273671970866464,47,French (French)
bisou,1,0.0110478483544667,1.0111122315403964,447,French (French)
cuisine,1,0.0291409484206105,1.0295831687447847,254,French (French)
genou,1,1.3816228494411562,4.0384232767322388,41,French (French)
couteau,1,0.1894210517755029,1.2093627715634545,171,French (French)
échelle,1,1.9030556239579852,6.7117448674766580,19,French (French)
agneau,1,4.5923593839009600,98.7425543313639054,6,French (French)
lampe,1,0.3325976881018856,1.4015821205806869,57,French (French)
jambe,1,1.3837931812673374,4.0115615251980890,69,French (French)
