word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
uno,1,6.1793818108953715,483.0723184494770521,379,Spanish (European)
un,1,3.2590397051418636,28.3749144963240632,4222,Spanish (European)
uno,1,6.1793818108953715,483.0723184494770521,379,Spanish (European)
una,1,3.8125207283862941,45.3421587306001967,2566,Spanish (European)
encima,1,7.1652335297289511,1295.3531307620171447,139,Spanish (European)
asustado,1,8.5040781838553290,4936.7119061186549516,14,Spanish (European)
miedo,1,7.2815289649557560,1454.6329300307083940,94,Spanish (European)
avión,1,8.9637755393981937,7823.1068222716885430,10,Spanish (European)
todo,1,5.5467558629585039,257.8454030408504991,495,Spanish (European)
todas,1,7.5714006932055362,1945.2192065610743157,122,Spanish (European)
casi,1,7.8086553028651648,2462.4088995893471292,70,Spanish (European)
solo,1,7.6334980973252309,2066.7446173726007146,111,Spanish (European)
también,1,4.9674133035933536,143.8951132176352985,857,Spanish (European)
ambulancia,1,8.2597101529439296,3865.3417213198181344,30,Spanish (European)
y,1,0.5974340378459139,1.8764148759067618,12472,Spanish (European)
enfadado,1,8.1950944423675534,3626.5545572272662866,40,Spanish (European)
animal,1,8.3066842555999756,4052.0408358120644152,24,Spanish (European)
alguno,1,8.1210868779350722,3368.9184497427941096,34,Spanish (European)
manzana,1,8.8851521809895839,7233.7521990935156282,9,Spanish (European)
potito,1,9.2838978767395020,10801.7103384214333346,4,Spanish (European)
brazos,1,8.2344838601571535,3772.1755008253712731,27,Spanish (European)
detrás,1,7.9402439480736140,2808.2392696637375593,63,Spanish (European)
malo,1,7.2394363340341821,1394.1004643209109872,106,Spanish (European)
balón,1,7.0514711995763104,1154.6761006424842435,127,Spanish (European)
fútbol,1,8.3120485941569004,4072.8874508097983380,45,Spanish (European)
pelota,1,7.1266032563454198,1244.8306315267366244,191,Spanish (European)
globo,1,8.1971121597290040,3631.7441118005212957,50,Spanish (European)
baño,1,7.9312222798665362,2786.1985499332054133,51,Spanish (European)
bañar,1,8.3190967054928056,4102.1392516085452371,34,Spanish (European)
bañera,1,8.2930734952290859,3996.1514831448648692,30,Spanish (European)
estar,1,6.8721464398395584,2529.8210741616658197,166,Spanish (European)
oso,1,8.0844042301177979,3243.6321265187657445,52,Spanish (European)
barba,1,8.8736107899592476,7176.7325208253505480,13,Spanish (European)
porque,1,4.4726010539417285,87.7138868799819846,1271,Spanish (European)
cama,1,5.3615585208612648,213.2232565583671828,708,Spanish (European)
abeja,1,8.8248658861432752,6804.4973449062690634,7,Spanish (European)
ombligo,1,13.2540442148844395,2237012.6942106299102306,3,Spanish (European)
debajo,1,8.5209984317902592,5020.9394946695483668,31,Spanish (European)
entre,1,8.6251653078440071,1215049.8927352703176439,37,Spanish (European)
babero,1,9.8772783279418945,19499.7277514780544152,2,Spanish (European)
bici,1,8.7826485104031029,6524.0750613882446487,9,Spanish (European)
grande,1,6.2079149843698529,497.1482524400425973,415,Spanish (European)
pájaro,1,8.9664330482482910,7840.5607012821292301,16,Spanish (European)
morder,1,8.9243230819702148,7514.9834445288561255,4,Spanish (European)
negro,1,10.0755506515502926,26911805.8344756029546261,25,Spanish (European)
cubo,1,8.9059893290201817,7378.6531271547464712,6,Spanish (European)
azul,1,7.5344160811541832,1872.0982528013939827,73,Spanish (European)
barco,1,6.4915340533623329,660.1992200332454104,260,Spanish (European)
cuento,1,5.4155874252319336,225.5921847316175786,503,Spanish (European)
bota,1,8.2318638165791835,3771.6418419076080681,42,Spanish (European)
biberón,1,8.4994128942489624,4917.9538984473829260,24,Spanish (European)
botella,1,9.2368434667587280,10280.6723479976026283,8,Spanish (European)
caja,1,8.3312183160048257,4151.8938124241340120,26,Spanish (European)
pan,1,8.4607638120651245,4734.6853265302916043,24,Spanish (European)
romper,1,8.0530767846614761,3145.4878936909731237,47,Spanish (European)
desayunar,1,7.2894679693351119,1465.5706016494211781,133,Spanish (European)
teta,1,9.4033088684082031,12131.6090839583775960,2,Spanish (European)
traer,1,8.2562838631707276,3851.7857574025210852,37,Spanish (European)
roto,1,7.4707041934020539,1756.0158932584156446,133,Spanish (European)
escoba,1,8.3890723122490769,4399.1270409159078554,27,Spanish (European)
cepillo,1,9.2403829574584968,10329.1634297951186454,5,Spanish (European)
bicho,1,8.3755313555399571,4370.9654427049026708,18,Spanish (European)
toro,1,8.5791585104806085,5320.1755045945401434,28,Spanish (European)
bollo,1,11.4618867238362636,1106795.4707573228515685,3,Spanish (European)
conejo,1,8.1057111840499072,3329.2465693781782647,38,Spanish (European)
quemar,1,8.7064429283142086,6041.7499548952000623,10,Spanish (European)
autobús,1,8.3669050693511959,4304.6632687185756367,20,Spanish (European)
autobús,1,8.3669050693511959,4304.6632687185756367,20,Spanish (European)
pero,1,3.5112407389216513,35.1087588058142686,2414,Spanish (European)
culo,1,8.4620239734649658,4731.7606461736659185,28,Spanish (European)
mariposa,1,9.0758812427520752,8742.3877064175358100,8,Spanish (European)
botón,1,8.2740865636754926,3921.4062183543978790,27,Spanish (European)
comprar,1,7.8508449247327903,2568.3165052947447293,59,Spanish (European)
por,1,4.3503328671570625,77.8005600312846610,1531,Spanish (European)
bizcocho,1,8.3877905116361724,4396.7758448376498563,17,Spanish (European)
tarta,1,6.9558547048007737,1050.6105300882081792,170,Spanish (European)
llamar,1,7.9153244565514953,2739.1742106744795819,68,Spanish (European)
poder,1,8.3242556543061230,4122.8009025033579746,33,Spanish (European)
poder,1,8.3242556543061230,4122.8009025033579746,33,Spanish (European)
poder,1,8.3242556543061230,4122.8009025033579746,33,Spanish (European)
caramelo,1,8.6676607131958008,24481.1660351593891392,22,Spanish (European)
coche,1,5.1018014259560482,164.7464837085673253,687,Spanish (European)
cartas,1,8.7195817232131958,6123.5820939585591987,16,Spanish (European)
cuidar,1,8.7012515068054199,6013.2142745731698597,8,Spanish (European)
zanahoria,1,8.5059642110552112,4946.4538174472481842,28,Spanish (European)
gato,1,6.6565777851002554,778.7036111921503334,224,Spanish (European)
cereales,1,10.0903096199035645,93960.2828473190311342,4,Spanish (European)
silla,1,6.0099762175982692,407.6747845310800926,273,Spanish (European)
