word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
un,1,3.2590397051418636,28.3749144963240632,4222,Spanish (Mexican)
una,1,3.8125207283862941,45.3421587306001967,2566,Spanish (Mexican)
unas,1,7.7733297847038090,2381.9313675371163299,86,Spanish (Mexican)
unos,1,7.5858132504234632,1970.5373622096626605,121,Spanish (Mexican)
mucho,1,5.4047551220113581,224.0869688456900519,440,Spanish (Mexican)
otro,1,5.2609211933763724,192.9408151580146864,790,Spanish (Mexican)
avión,1,8.9637755393981937,7823.1068222716885430,10,Spanish (Mexican)
todo,1,5.5467558629585039,257.8454030408504991,495,Spanish (Mexican)
ya,1,3.6308752813029246,38.2470022293858207,2615,Spanish (Mexican)
también,1,4.9674133035933536,143.8951132176352985,857,Spanish (Mexican)
enojado,1,10.4773769378662109,35503.1583057791358442,1,Spanish (Mexican)
animal,1,8.3066842555999756,4052.0408358120644152,24,Spanish (Mexican)
manzana,1,8.8851521809895839,7233.7521990935156282,9,Spanish (Mexican)
brazos,1,8.2344838601571535,3772.1755008253712731,27,Spanish (Mexican)
brazo,1,9.0287763595581048,8340.2622198996577936,10,Spanish (Mexican)
atrás,1,7.6394379332258895,2100.2266437336511444,74,Spanish (Mexican)
malo,1,7.2394363340341821,1394.1004643209109872,106,Spanish (Mexican)
pelota,1,7.1266032563454198,1244.8306315267366244,191,Spanish (Mexican)
globo,1,8.1971121597290040,3631.7441118005212957,50,Spanish (Mexican)
plátano,1,8.8743042151133213,7147.4055581251413969,12,Spanish (Mexican)
baño,1,7.9312222798665362,2786.1985499332054133,51,Spanish (Mexican)
estar,1,6.8721464398395584,2529.8210741616658197,166,Spanish (Mexican)
ser,1,6.8889203311210903,981.5485691296275945,199,Spanish (Mexican)
playa,1,8.0845622380574547,3244.0226467871907516,45,Spanish (Mexican)
oso,1,8.0844042301177979,3243.6321265187657445,52,Spanish (Mexican)
cama,1,5.3615585208612648,213.2232565583671828,708,Spanish (Mexican)
abeja,1,8.8248658861432752,6804.4973449062690634,7,Spanish (Mexican)
ombligo,1,13.2540442148844395,2237012.6942106299102306,3,Spanish (Mexican)
babero,1,9.8772783279418945,19499.7277514780544152,2,Spanish (Mexican)
bicicleta,1,8.7713445516733017,6448.1433590098176865,13,Spanish (Mexican)
grande,1,6.2079149843698529,497.1482524400425973,415,Spanish (Mexican)
pájaro,1,8.9664330482482910,7840.5607012821292301,16,Spanish (Mexican)
morder,1,8.9243230819702148,7514.9834445288561255,4,Spanish (Mexican)
soplar,1,8.4920905431111660,4877.9546965977606305,27,Spanish (Mexican)
azul,1,7.5344160811541832,1872.0982528013939827,73,Spanish (Mexican)
barco,1,6.4915340533623329,660.1992200332454104,260,Spanish (Mexican)
libro,1,7.9453153832014216,2823.7637771189492923,43,Spanish (Mexican)
botas,1,8.1589494084202965,3499.3942473567440175,43,Spanish (Mexican)
botella,1,9.2368434667587280,10280.6723479976026283,8,Spanish (Mexican)
caja,1,8.3312183160048257,4151.8938124241340120,26,Spanish (Mexican)
pan,1,8.4607638120651245,4734.6853265302916043,24,Spanish (Mexican)
romper,1,8.0530767846614761,3145.4878936909731237,47,Spanish (Mexican)
chichi,1,8.5707049942016607,5289.9153010270993036,25,Spanish (Mexican)
roto,1,7.4707041934020539,1756.0158932584156446,133,Spanish (Mexican)
escoba,1,8.3890723122490769,4399.1270409159078554,27,Spanish (Mexican)
cepillo,1,9.2403829574584968,10329.1634297951186454,5,Spanish (Mexican)
conejo,1,8.1057111840499072,3329.2465693781782647,38,Spanish (Mexican)
mariposa,1,9.0758812427520752,8742.3877064175358100,8,Spanish (Mexican)
botón,1,8.2740865636754926,3921.4062183543978790,27,Spanish (Mexican)
pastel,1,7.2264141916478959,1375.6487437244675220,159,Spanish (Mexican)
poder,1,8.3242556543061230,4122.8009025033579746,33,Spanish (Mexican)
vela,1,9.0616888682047527,113712.1324045654182555,15,Spanish (Mexican)
dulce,1,9.3215273221333828,11200.7045907715455542,6,Spanish (Mexican)
carro,1,8.4344518561112256,4613.2924555231784325,19,Spanish (Mexican)
cuidado,1,6.8820936108067023,977.4631416892738116,221,Spanish (Mexican)
