"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"a","English (American)","a","function_words","quantifiers","a",301935,3.97402371965777,4.08662078000318,3.25854412071208,2.6467060269149,2.31495334298225,2.21515475615744
"a lot","English (American)","a lot","function_words","quantifiers","a lot",NA,NA,NA,NA,NA,NA,NA
"about","English (American)","about","function_words","locations","about",27480,6.37077701472472,5.32038578776269,3.85549077479059,3.00613078479992,2.6208023832902,2.49641298084086
"above","English (American)","above","function_words","locations","above",332,10.7868557921445,11.2849982130932,7.36548871387889,5.45938311221152,4.72610013417317,4.53324472693832
"airplane","English (American)","airplane","nouns","vehicles","airplane",1192,9.50860291343571,9.65469445094564,8.04585887849245,5.94573778182407,4.87715944500499,4.47471177287062
"all","English (American)","all","function_words","quantifiers","all",49589,5.78046644713707,6.97597477279171,5.61208873909224,4.42533164262841,3.841781045692,3.68850239505813
"all gone","English (American)","all gone","adjectives","descriptive_words","all gone",NA,NA,NA,NA,NA,NA,NA
"alligator","English (American)","alligator","nouns","animals","alligator",427,10.5352067478324,10.9143688969745,8.77405535304294,6.80552041565245,6.02772751178117,5.8026539363077
"am","English (American)","am","function_words","helping_verbs","am",4080,8.2781384936628,8.6882399875191,7.52623619037366,6.88914111640064,6.69160791545224,6.64087669922876
"an","English (American)","a","function_words","quantifiers","an",13516,7.08036131322683,8.30967653317032,6.74704990261848,5.47796591977719,4.8547863124229,4.68064922893546
"and","English (American)","and","function_words","connecting_words","and",217497,4.30205042474871,5.02069676283397,4.20298699307285,3.40960218193419,2.97783168634522,2.831521616374
"animal","English (American)","animal","nouns","animals","animal",1531,9.25831436540333,9.54347466289192,7.36833996133335,5.23464403163932,4.22863467292569,3.93579714483809
"ankle","English (American)","ankle","nouns","body_parts","ankle",75,12.2745026475247,12.8227340999235,8.79508957257577,5.93159904200837,5.25497821313842,5.12246376177914
"another","English (American)","another","function_words","quantifiers","another",14224,7.02930480330732,7.98767575792292,6.73937128319452,5.74434645866349,5.21787618648448,5.05316648688925
"ant","English (American)","ant","nouns","animals","ant",184,11.377055003452,12.142560310044,9.56053872774198,7.28338270696727,6.48105055321065,6.39281122550924
"any","English (American)","any","function_words","quantifiers","any",12098,7.19119533239415,7.5290776811385,5.02592960434259,3.65841973256384,2.8372523194907,2.60687523337922
"apple","English (American)","apple","nouns","food_drink","apple",3778,8.35504071299956,8.78891386251298,7.13647693465531,5.63162536420555,4.94634351821934,4.68893014605429
"applesauce","English (American)","applesauce","nouns","food_drink","applesauce",127,11.7478036746024,13.0782897878243,9.71580309601954,7.58966507080174,6.44603010422567,5.97138752408132
"are","English (American)","are","function_words","helping_verbs","are",106588,5.01526454704012,5.32667993696031,4.29289656160278,3.85091023342476,3.69713272770183,3.65714445690746
"arm","English (American)","arm","nouns","body_parts","arm",1528,9.26027579133454,8.79256822171031,6.4575466740084,3.91491675874347,2.99109731817977,2.68713381725617
"around","English (American)","around","function_words","locations","around",6839,7.76159395996291,7.55043426958922,4.4667570042106,2.70320771792942,2.0339398008679,1.87835099746823
"asleep","English (American)","asleep","adjectives","descriptive_words","asleep",1365,9.37308105344195,8.56581721593972,5.78389615463278,4.27789242521306,3.74571935651628,3.61810906154899
"at","English (American)","at","function_words","locations","at",52574,5.72201378111798,5.02081281256151,3.703782623587,2.56511173782408,2.00053681206628,1.81728110652958
"awake","English (American)","awake","adjectives","descriptive_words","awake",362,10.7003465492352,10.8510828904166,7.44752921164459,5.33699222927981,4.71837379750832,4.58382863419166
"away","English (American)","away","function_words","locations","away",11016,7.28488672065252,7.02183521726267,4.46219167660453,2.68939588235481,1.89019343842235,1.63649365228945
"back","English (American)","back (location)","function_words","locations","back",26535,6.40577086579901,6.96376816897644,4.85285641995969,3.32302300269607,2.48459343948967,2.18164623940989
"backyard","English (American)","yard","nouns","outside","backyard",105,11.9380304109035,12.1923032181037,8.91378725449178,5.07975090636805,2.4056115092028,1.53741493725841
"bad","English (American)","bad","adjectives","descriptive_words","bad",2586,8.73412320172921,9.77088995072102,7.17421591078822,5.10618689809767,4.20609545886168,4.0013671419734
"ball","English (American)","ball","nouns","toys","ball",8382,7.55814893257599,7.85334120236692,5.91839697600853,4.56716950057107,3.88804719656554,3.63620276923792
"balloon","English (American)","balloon","nouns","toys","balloon",1893,9.04607260985169,9.24143338174311,7.08013031853933,4.84565580951241,3.93009809692333,3.71962749988145
"banana","English (American)","banana","nouns","food_drink","banana",1616,9.20428152197997,10.8132143862268,8.81503752810004,7.05101480467163,6.19587162856945,5.79594194705111
"basement","English (American)","basement","nouns","furniture_rooms","basement",121,11.7962002154643,12.4254389763791,9.7340385164439,5.98434779637227,3.62505910375398,2.78657237678968
"basket","English (American)","basket","nouns","household","basket",1734,9.13380460372052,8.8446091300689,6.77597276918228,4.56306721454684,3.17756237332328,2.57430430639232
"bat","English (American)","bat","nouns","toys","bat",385,10.6387474267732,11.7412962564539,9.31641457839469,7.04054045463216,6.19091867829827,5.93700663892899
"bathroom","English (American)","bathroom","nouns","furniture_rooms","bathroom",1060,9.6259665739549,9.47450473739004,7.38317673733949,5.00051319836192,3.19030336367521,2.34017653547503
"bathtub","English (American)","bathtub","nouns","furniture_rooms","bathtub",410,10.5758336013627,11.1157016857145,8.79363543889417,5.65843803375744,3.56552498887055,2.75746274828848
"be","English (American)","be","function_words","helping_verbs","be",41098,5.96827602356119,4.71900900785432,3.42618978467933,2.72322664549111,2.39210307771941,2.28937120486276
"beach","English (American)","beach","nouns","outside","beach",1002,9.6822374794162,9.38053553380695,7.14947214742812,4.54717338812863,3.13650680158879,2.46921420519714
"beads","English (American)","beads","nouns","clothing","beads",546,10.2893717853161,11.6403856800328,8.42228880340925,6.29908985973425,5.34760298854538,5.07959070294262
"beans","English (American)","beans","nouns","food_drink","beans",1249,9.46189225093543,8.2618467394633,5.6721910511483,4.12602022301382,3.47192913648006,3.23624819770686
"bear","English (American)","bear","nouns","animals","bear",5655,7.95169537251079,7.33586063984046,5.63386599183429,4.32921479260103,3.76831256392913,3.61880226502492
"because","English (American)","because","function_words","connecting_words","because",31734,6.22684682076697,7.91285614317357,6.72304923744266,5.61788070212311,5.0237596443684,4.8207198060732
"bed","English (American)","bed","nouns","furniture_rooms","bed",7587,7.65779922572293,7.73801324917191,5.5508563429715,3.57073268912297,2.38406632182194,1.91626466467588
"bedroom","English (American)","bedroom","nouns","furniture_rooms","bedroom",1119,9.57180005274908,9.13060209800393,6.64417263318345,3.9580244765425,2.47482680970179,1.97621421387225
"bee","English (American)","bee","nouns","animals","bee",1480,9.29219339430285,9.08660174511647,7.4659180894946,5.82697640605188,5.15677593789462,4.90295263712709
"behind","English (American)","behind","function_words","locations","behind",2954,8.60107529796968,9.55062740977317,7.05359716263081,5.4000068123795,4.77394690230887,4.62446557388659
"belly button","English (American)","belly button","nouns","body_parts","belly button",NA,NA,NA,NA,NA,NA,NA
"belt","English (American)","belt","nouns","clothing","belt",307,10.8651430134738,10.0824102915551,7.37662192534881,4.53186475042256,3.46155527784566,3.22900616693757
"bench","English (American)","bench","nouns","furniture_rooms","bench",241,11.1071938275704,11.9508411647869,9.37815981544402,5.9235107792708,4.24081687466688,3.58196462648039
"beside","English (American)","beside","function_words","locations","beside",304,10.8749630596548,12.112709292844,8.71127570469669,6.15005773158057,4.98410507816348,4.64817874073367
"better","English (American)","better","adjectives","descriptive_words","better",9742,7.40778904669452,7.92025081498167,5.99637145763763,4.80981211668937,4.30324615569385,4.16203196863978
"bib","English (American)","bib","nouns","clothing","bib",639,10.1320863066835,10.9024678451063,8.38730109128597,5.87646184493435,4.60793369665075,4.17076188499125
"bicycle","English (American)","bicycle","nouns","vehicles","bicycle",660,10.0997509260405,10.8966956525137,8.13463058957211,5.08627615476943,3.89787057353844,3.44030286108379
"big","English (American)","big","adjectives","descriptive_words","big",25421,6.44865987798826,6.81862447066766,5.78592300072154,4.65039739619637,3.97186187800606,3.74963690811186
"bird","English (American)","bird","nouns","animals","bird",2762,8.66828042709177,9.26724650377031,7.44402900245868,5.72783370134252,4.92503699051175,4.65977256828747
"bite","English (American)","bite","verbs","action_words","bite",2541,8.75167777774084,10.0030922091373,7.63696809768043,5.99975529733459,5.27415374867064,5.04471650468064
"black","English (American)","black","adjectives","descriptive_words","black",2787,8.65926973357906,10.5354002151836,8.42909986781745,6.51394332435211,5.71472086961553,5.51000539898892
"blanket","English (American)","blanket","nouns","household","blanket",957,9.72818736960805,10.5430970227439,8.29370693987274,5.58956849550523,4.2931157308778,3.84634787841921
"block","English (American)","block","nouns","toys","block",1126,9.56556395236137,10.7330894332332,8.59177532804687,6.00150980196671,4.93363878115341,4.5919258214465
"blow","English (American)","blow","verbs","action_words","blow",2111,8.93707371321269,10.9473228303716,9.22679104365152,7.9749407389126,7.46950006777794,7.31488132942082
"blue","English (American)","blue","adjectives","descriptive_words","blue",9392,7.44437721899313,9.07793323837823,7.59305418955766,6.22882563858563,5.52587071505322,5.29892363477352
"boat","English (American)","boat","nouns","vehicles","boat",2548,8.74892674436895,9.21782793091013,7.33876736798388,5.21033868641388,4.00742887600803,3.51258925592634
"boo boo","English (American)","owie","nouns","body_parts","owie/boo boo",NA,NA,NA,NA,NA,NA,NA
"book","English (American)","book","nouns","toys","book",15423,6.94837558033739,7.01737207675836,5.13193329334756,3.553066488908,2.71921232059142,2.39612278254851
"boots","English (American)","boots","nouns","clothing","boots",888,9.80301901806884,10.178447683061,6.91205319826257,4.90615920006793,4.16028019384603,3.90250344069955
"bottle","English (American)","bottle","nouns","household","bottle",3023,8.57798576628155,9.27374201364293,7.34311328199739,5.20941914805857,4.14795216840092,3.77866554116653
"bottom","English (American)","butt","nouns","body_parts","buttocks/bottom*",2253,8.87197282062876,8.78607072577879,6.75009932708881,4.1380756485608,2.65310354887002,2.15764954896864
"bowl","English (American)","bowl","nouns","household","bowl",1968,9.00721768344881,9.43125878882933,7.34908703833079,4.6465533387724,3.28640905522036,2.73773923624972
"box","English (American)","box","nouns","household","box",8717,7.51896034004943,7.30607607563741,5.56663133360962,3.73408364645965,2.65196038901224,2.21020906483851
"bread","English (American)","bread","nouns","food_drink","bread",2961,8.59870843295942,9.43690420352905,7.19798719115873,5.32366849881049,4.48291105131112,4.11864366762517
"break","English (American)","break","verbs","action_words","break",2943,8.60480601282754,8.73449648807494,6.53637241429042,4.81078295830632,4.06771100178732,3.84897083491885
"bring","English (American)","bring","verbs","action_words","bring",5165,8.04233037950727,9.49360875255449,7.967835173821,6.75505434431604,6.18549486182465,6.00989686023339
"broken","English (American)","broken","adjectives","descriptive_words","broken",2733,8.67883557513294,9.95638857184859,7.48333907669971,5.83673595783646,5.22205062071744,5.07004834439214
"broom","English (American)","broom","nouns","household","broom",283,10.9465438634178,12.6573361512418,10.3490884927242,7.47359980409214,6.49935159469883,6.1061797315461
"brown","English (American)","brown","adjectives","descriptive_words","brown",2556,8.74579194556358,10.1807149656329,7.78569365384637,5.98462750254323,5.33427584767234,5.15860346961354
"brush","English (American)","brush (object)","nouns","household","brush",2162,8.91320176286186,10.7991275907989,8.70060299347065,6.89255481613886,6.06179241162199,5.83531003618541
"bubbles","English (American)","bubbles","nouns","toys","bubbles",1241,9.4683179758564,10.2416502961908,7.69834466571966,6.00428863455628,5.24415852117558,5.00811393967097
"bucket","English (American)","bucket","nouns","household","bucket",900,9.7895959977367,10.8428141618965,9.14540567013717,6.19444506086817,4.88907163221912,4.31638216849179
"bug","English (American)","bug","nouns","animals","bug",659,10.1012672265585,11.2098184861645,8.8644409742324,6.75473217152097,5.74547506861471,5.4355371397915
"build","English (American)","build","verbs","action_words","build",2552,8.74735811659633,9.62600476583773,8.02156797581222,6.79782468251189,6.15451449984938,5.89029560965964
"bump","English (American)","bump","verbs","action_words","bump",1013,9.67131925681233,10.1750276727071,8.05127027305116,6.484547230541,5.78124708683598,5.62207589845959
"bunny","English (American)","bunny","nouns","animals","bunny",2509,8.76435121469459,9.98370476872641,7.90072728484989,6.32473600368026,5.68196769719447,5.48307295117514
"bus","English (American)","bus","nouns","vehicles","bus",3782,8.35398251184261,8.31007373957233,6.6360980208109,4.28604253349137,3.23113058155663,2.83518295153986
"but","English (American)","but","function_words","connecting_words","but",34539,6.14214636171924,7.68798990173508,6.55520585989312,5.59382305672333,5.10900453358807,4.94964481159635
"butter","English (American)","butter","nouns","food_drink","butter",1360,9.37675078233091,8.32816991023704,5.95377206014889,4.51227076990545,3.86853517570247,3.65744482984338
"butterfly","English (American)","butterfly","nouns","animals","butterfly",885,9.80640311605308,10.6406004909889,8.61832946310333,6.61393926950347,5.74969896873093,5.41350466948645
"buttocks","English (American)","butt","nouns","body_parts","buttocks/bottom*",NA,NA,NA,NA,NA,NA,NA
"button","English (American)","button","nouns","clothing","button",1603,9.21235860845146,10.1466180155422,6.15396553828098,4.15976250109854,3.45959341351121,3.24133264328159
"buy","English (American)","buy","verbs","action_words","buy",3594,8.4049696937175,9.01888403286489,6.85704944327056,5.30658067870092,4.32575035699017,3.95212395473258
"by","English (American)","by","function_words","locations","by",5848,7.91813575963139,8.90660977438198,5.95162104718105,3.96990466090174,3.09554061035424,2.8335664658365
"cake","English (American)","cake","nouns","food_drink","cake",3506,8.42975969557983,8.60671103043743,6.44030790718937,4.37869224531077,3.46232214775215,3.12139104089252
"camera","English (American)","camera","nouns","household","camera",1186,9.51364918150334,10.3291338435676,8.6782494601424,6.00931875230926,4.79539450226475,4.33864220944933
"can","English (American)","can (object)","nouns","household","can (object)",87880,5.20826323456246,5.85550195399324,4.94125431569106,4.42467698218066,4.23342612854761,4.17535047008281
"can","English (American)","can (auxiliary)","function_words","helping_verbs","can (auxiliary)",87880,5.20826323456246,5.85550195399324,4.94125431569106,4.42467698218066,4.23342612854761,4.17535047008281
"candy","English (American)","candy","nouns","food_drink","candy",734,9.99348173244649,12.0380620577882,8.87769814592848,6.46004405194841,5.28585825861172,4.84744043355907
"car","English (American)","car","nouns","vehicles","car",13481,7.08295419536995,6.90069134265219,5.6202274757666,4.10428790949019,3.20297691214266,2.84357779875784
"careful","English (American)","careful","adjectives","descriptive_words","careful",6107,7.87479982783787,6.45049913852507,4.6970563834071,4.25432011913035,4.09049344219169,4.05309044406094
"carrots","English (American)","carrots","nouns","food_drink","carrots",829,9.87177060592571,11.6035408164458,8.14039198971511,6.36287314055045,5.65917243946677,5.42290047760926
"carry","English (American)","carry","verbs","action_words","carry",1154,9.54100131399296,11.0540378930975,8.77343671255262,7.00888572549085,6.13268367028955,5.828983290149
"cat","English (American)","cat","nouns","animals","cat",5897,7.90979173506051,7.25660863386078,5.6528562264314,4.16335078649379,3.51086742021975,3.30930039632994
"catch","English (American)","catch","verbs","action_words","catch",2813,8.64998395257115,10.249595742249,8.42270808316451,7.0117467500687,6.38308560167436,6.19260322152307
"cereal","English (American)","cereal","nouns","food_drink","cereal",1034,9.65080070599264,11.0228256193347,8.44328659032593,6.02457787990841,4.84124025021886,4.39251421738002
"chair","English (American)","chair","nouns","furniture_rooms","chair",6382,7.83075395422282,7.8070421689501,6.06038346928878,3.85103089654611,2.75176125590981,2.32006195825287
"chalk","English (American)","chalk","nouns","toys","chalk",248,11.078562014896,13.3065952430386,10.0827278610283,7.35006484677768,5.95639317858325,5.59121988133214
"chase","English (American)","chase","verbs","action_words","chase",258,11.0390311761394,12.8604060696714,9.5078462250625,6.9566614123144,5.70637335106566,5.41738331982295
"cheek","English (American)","cheek","nouns","body_parts","cheek",159,11.5230865588408,11.2916248057248,8.17379519766294,5.07405724209955,4.10761518048356,3.85061004894182
"cheerios","English (American)","cheerios","nouns","food_drink","cheerios",247,11.082602424433,12.8825245615828,9.65810219722205,7.36600653410078,6.49687036310311,6.19857037960229
"cheese","English (American)","cheese","nouns","food_drink","cheese",4218,8.24487440002229,9.20472548468697,7.11195728531754,5.72356314415446,5.04328413329552,4.77286494149927
"chicken","English (American)","chicken (food)","nouns","food_drink","chicken (food)",2841,8.64007937920682,10.3822749356346,8.68955569932316,6.89349854324339,6.1050015602156,5.83219813876729
"chicken","English (American)","chicken (animal)","nouns","animals","chicken (animal)",2841,8.64007937920682,10.3822749356346,8.68955569932316,6.89349854324339,6.1050015602156,5.83219813876729
"chin","English (American)","chin","nouns","body_parts","chin",444,10.4961661986288,9.63486755327873,6.9596509496433,4.58893655053168,3.79144773434834,3.56906512456369
"chocolate","English (American)","chocolate","nouns","food_drink","chocolate",2477,8.77718733157165,10.6487419691339,8.30190646516873,6.29877798711567,5.33484099894293,4.98523496915267
"church","English (American)","church","nouns","outside","church*",555,10.2730226473146,11.5016235739168,8.47276276751289,5.43897774892067,4.12150657569202,3.61023516413527
"clap","English (American)","clap","verbs","action_words","clap",1106,9.58348557897873,8.91647657758684,7.22267317681516,6.35322147807589,6.07141225072813,5.9920166468898
"clean","English (American)","clean (action)","verbs","action_words","clean (action)",3669,8.38431633670573,10.2418991184019,7.72510877230626,5.81949010350746,4.88516239183687,4.62052840233869
"clean","English (American)","clean (description)","adjectives","descriptive_words","clean (description)",3669,8.38431633670573,10.2418991184019,7.72510877230626,5.81949010350746,4.88516239183687,4.62052840233869
"climb","English (American)","climb","verbs","action_words","climb",1077,9.61005608390462,11.0173688892048,8.72446781784018,6.94413806586252,6.03191658880468,5.78550447773949
"clock","English (American)","clock","nouns","household","clock",1709,9.14832707794542,9.78378744040944,8.37681700975891,6.27414466267221,5.35693915452344,5.04243816608569
"close","English (American)","close","verbs","action_words","close",3139,8.54033120421906,10.7644344238461,8.98277660621888,7.66185564346197,7.12412163278696,6.97843678015201
"closet","English (American)","closet","nouns","furniture_rooms","closet",290,10.9221098380805,11.4110173550654,8.4745425604355,5.55214097545628,3.63072584590858,2.81966459633259
"cloud","English (American)","cloud","nouns","outside","cloud",277,10.9679732548737,12.1967015020283,9.54573858244942,6.92087724523725,5.99328229929908,5.65296613566794
"coat","English (American)","coat","nouns","clothing","coat",1191,9.50944219170571,9.53419100591132,7.15050998994528,4.57548567675832,3.44271638523515,3.13157573156027
"coffee","English (American)","coffee","nouns","food_drink","coffee",2250,8.87330526586254,10.0993120303509,7.42573453794831,5.38853083924042,4.44317930227914,4.04547387110858
"coke","English (American)","coke","nouns","food_drink","coke",231,11.1495730505392,12.1309153973852,8.40379514030894,6.49897942915939,5.48127452561004,5.12891353740126
"cold","English (American)","cold","adjectives","descriptive_words","cold",3892,8.32531231775511,9.58698248224791,7.18319781161529,5.23029677314537,4.32546636810729,4.05961468903962
"comb","English (American)","comb (object)","nouns","household","comb",640,10.1305225847073,12.5205264478142,10.1812362198665,8.28877181184635,7.47925344552263,7.27869575002535
"cook","English (American)","cook","verbs","action_words","cook",1648,9.18467305059159,10.3987592169442,8.52418191044915,6.79390192160466,5.82972455337336,5.48654554870207
"cookie","English (American)","cookie","nouns","food_drink","cookie",2804,8.65318851290653,10.2657361206574,8.42513098054923,6.79319085450033,5.95850533674455,5.62641850475157
"corn","English (American)","corn","nouns","food_drink","corn",774,9.94041888747128,11.8593000276581,9.12620352882307,7.08729515161717,6.12134396661374,5.82977021261552
"couch","English (American)","couch","nouns","furniture_rooms","couch",505,10.3674323317856,10.8022757664274,8.14076039340271,5.28277501805567,3.43969425264756,2.67553734681556
"could","English (American)","could","function_words","helping_verbs","could",12884,7.12824925060992,7.97415437177965,6.32985850435656,5.27711455105714,4.91635722505983,4.79945195468123
"cover","English (American)","cover (action)","verbs","action_words","cover",902,9.78737624099839,11.9782143491643,9.78215312594185,7.61819701664612,6.40673351846657,6.13937828451416
"cow","English (American)","cow","nouns","animals","cow",3497,8.43233002399763,9.05047960545046,7.4770901551802,6.05754839191539,5.34882725207221,5.11517558021125
"cracker","English (American)","cracker","nouns","food_drink","cracker",471,10.4371326670446,11.6185824205562,8.93765416677295,6.58228884006728,5.60215462460956,5.19229262127622
"crayon","English (American)","crayon","nouns","toys","crayon",1011,9.67329554204054,10.5563272025856,8.41501018449244,5.95990045698363,4.74430000502897,4.39113573697508
"crib","English (American)","crib","nouns","furniture_rooms","crib",306,10.8684056591086,11.6539038888745,8.96900968211503,5.45218972013198,3.58742013600512,2.84505074171644
"cry","English (American)","cry","verbs","action_words","cry",1408,9.34206522434302,10.2978358503335,7.09773431779322,5.22415705438938,4.47301872428178,4.34629035750965
"cup","English (American)","cup","nouns","household","cup",5361,8.00508495723347,8.31146004883157,6.86157708260162,4.88505291071007,3.84078034807705,3.4681007024089
"cut","English (American)","cut","verbs","action_words","cut",3650,8.38950831448447,9.80600552620682,7.96552953193602,6.18608452592353,5.43136785791398,5.18639034738117
"cute","English (American)","cute","adjectives","descriptive_words","cute",1371,9.36869508149869,10.4294091067825,7.77354002920949,6.4082480870111,6.02734797405738,5.96400390816107
"dance","English (American)","dance","verbs","action_words","dance",1109,9.58077677371064,10.7995928799702,8.0522886995093,6.10453684037608,5.29167481211938,5.0267663943
"dark","English (American)","dark","adjectives","descriptive_words","dark",1498,9.28010459698385,10.608950888304,8.25816255273597,5.88396927649865,4.78996410913671,4.55727445162519
"deer","English (American)","deer","nouns","animals","deer",378,10.6570965654414,12.0265258356482,9.67288990873178,7.50690197050838,6.58910605841513,6.33827686578219
"diaper","English (American)","diaper","nouns","clothing","diaper",1072,9.61470941943026,9.79344674027389,6.60520231772179,4.33896105492497,3.24147922110301,2.82066062226973
"did","English (American)","did","function_words","helping_verbs","did/did ya",57891,5.62567354999654,6.34149022045884,5.58423557340176,5.16863688948511,5.01628425222234,4.97078083999977
"did ya","English (American)","did","function_words","helping_verbs","did/did ya",NA,NA,NA,NA,NA,NA,NA
"dirty","English (American)","dirty","adjectives","descriptive_words","dirty",2709,8.68765591897591,10.4797413448036,8.08478883151566,6.14837278173675,5.27310679924115,5.04057048659749
"dish","English (American)","dish","nouns","household","dish",312,10.8489875732515,11.9296551214637,9.46546519528868,6.08278162848351,4.78258948667204,4.24823079621843
"do","English (American)","do","function_words","helping_verbs","do",157364,4.6256738889007,5.32142973960472,4.57783592203933,4.05228987632998,3.80066261204239,3.70288966376419
"does","English (American)","does","function_words","helping_verbs","does",30083,6.28027525392779,6.89585112447117,5.89319788796643,5.36483754359805,5.17555054685602,5.12071022973959
"dog","English (American)","dog","nouns","animals","dog",5553,7.9698971598194,8.67655828845885,7.05574018742921,5.29671300242316,4.47012643318007,4.20572710460608
"doll","English (American)","doll","nouns","toys","doll",1831,9.0793732163865,9.52913129901345,7.87794679539884,5.26124665884704,3.89120925980223,3.42049998276267
"donkey","English (American)","donkey","nouns","animals","donkey",580,10.2289626575205,11.4602814290533,9.74029905547204,7.37011826066592,6.48910175437238,6.17761612013326
