"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"aeroplane","English (British)","airplane","nouns","vehicles","aeroplane / plane",551,10.2802559519081,9.07615775607972,7.42325653835194,5.12009703459807,4.05803332011416,3.72462978816115
"again","English (British)","again","function_words","prepositions","again",15009,6.97558546090469,7.94551220076717,5.57305205006899,3.76023377091298,2.76232035477241,2.39274068793381
"all","English (British)","all","function_words","prepositions","all",49589,5.78046644713707,6.97597477279171,5.61208873909224,4.42533164262841,3.841781045692,3.68850239505813
"all gone","English (British)","all gone","adjectives","descriptive_words","all gone",NA,NA,NA,NA,NA,NA,NA
"animal","English (British)","animal","nouns","animals","animal",1531,9.25831436540333,9.54347466289192,7.36833996133335,5.23464403163932,4.22863467292569,3.93579714483809
"another","English (British)","another","function_words","prepositions","another",14224,7.02930480330732,7.98767575792292,6.73937128319452,5.74434645866349,5.21787618648448,5.05316648688925
"apple","English (British)","apple","nouns","food_drink","apple",3778,8.35504071299956,8.78891386251298,7.13647693465531,5.63162536420555,4.94634351821934,4.68893014605429
"arm","English (British)","arm","nouns","body_parts","arm",1528,9.26027579133454,8.79256822171031,6.4575466740084,3.91491675874347,2.99109731817977,2.68713381725617
"asleep","English (British)","asleep","adjectives","descriptive_words","asleep",1365,9.37308105344195,8.56581721593972,5.78389615463278,4.27789242521306,3.74571935651628,3.61810906154899
"away","English (British)","away","function_words","prepositions","away",11016,7.28488672065252,7.02183521726267,4.46219167660453,2.68939588235481,1.89019343842235,1.63649365228945
"back","English (British)","back","function_words","prepositions","back",26535,6.40577086579901,6.96376816897644,4.85285641995969,3.32302300269607,2.48459343948967,2.18164623940989
"bad","English (British)","bad","adjectives","descriptive_words","bad",2586,8.73412320172921,9.77088995072102,7.17421591078822,5.10618689809767,4.20609545886168,4.0013671419734
"ball","English (British)","ball","nouns","toys","ball",8382,7.55814893257599,7.85334120236692,5.91839697600853,4.56716950057107,3.88804719656554,3.63620276923792
"balloon","English (British)","balloon","nouns","toys","balloon",1893,9.04607260985169,9.24143338174311,7.08013031853933,4.84565580951241,3.93009809692333,3.71962749988145
"banana","English (British)","banana","nouns","food_drink","banana",1616,9.20428152197997,10.8132143862268,8.81503752810004,7.05101480467163,6.19587162856945,5.79594194705111
"bath","English (British)","bathtub","nouns","clothing","bath / bathtub",2791,8.65783552752469,8.96824777079511,6.30890244974552,4.29195126903183,2.8123798971686,2.18996824330443
"bathroom","English (British)","bathroom","nouns","furniture_rooms","bathroom",1060,9.6259665739549,9.47450473739004,7.38317673733949,5.00051319836192,3.19030336367521,2.34017653547503
"bathtub","English (British)","bathtub","nouns","clothing","bath / bathtub",410,10.5758336013627,11.1157016857145,8.79363543889417,5.65843803375744,3.56552498887055,2.75746274828848
"beach","English (British)","beach","nouns","outside","beach",1002,9.6822374794162,9.38053553380695,7.14947214742812,4.54717338812863,3.13650680158879,2.46921420519714
"bear","English (British)","bear","nouns","animals","bear",5655,7.95169537251079,7.33586063984046,5.63386599183429,4.32921479260103,3.76831256392913,3.61880226502492
"bed","English (British)","bed","nouns","furniture_rooms","bed",7587,7.65779922572293,7.73801324917191,5.5508563429715,3.57073268912297,2.38406632182194,1.91626466467588
"bedroom","English (British)","bedroom","nouns","furniture_rooms","bedroom",1119,9.57180005274908,9.13060209800393,6.64417263318345,3.9580244765425,2.47482680970179,1.97621421387225
"bee","English (British)","bee","nouns","animals","bee",1480,9.29219339430285,9.08660174511647,7.4659180894946,5.82697640605188,5.15677593789462,4.90295263712709
"belly button ","English (British)","belly button","nouns","body_parts","belly button / tummy button",NA,NA,NA,NA,NA,NA,NA
"bib","English (British)","bib","nouns","clothing","bib",639,10.1320863066835,10.9024678451063,8.38730109128597,5.87646184493435,4.60793369665075,4.17076188499125
