"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"à","French (French)","at","function_words","prepositions","à",13158,4.84086152647682,5.03002810976217,3.62960461949506,2.52610617878983,2.07666672122045,1.94921240999775
"à elle","French (French)","hers","function_words","pronouns","à elle/sa",NA,NA,NA,NA,NA,NA,NA
"à l'intérieur de","French (French)","inside","function_words","prepositions","à l'intérieur de",NA,NA,NA,NA,NA,NA,NA
"à lui","French (French)","his","function_words","pronouns","à lui/son",NA,NA,NA,NA,NA,NA,NA
"à moi","French (French)","mine","function_words","pronouns","à moi",NA,NA,NA,NA,NA,NA,NA
"abeille","French (French)","bee","nouns","animals","abeille",20,11.3299144705688,9.85462042306488,5.70385992440398,4.22546372021944,4.0058478490805,3.82659972404444
"acheter","French (French)","buy","verbs","action_words","acheter",128,9.47361648020315,9.07074678950609,5.46588021750653,3.6493447343699,2.59146867370632,2.38767502427591
"agneau","French (French)","lamb","nouns","animals","agneau",6,12.5338872748947,11.6295084108148,6.9079089894921,6.52092097367754,6.52092097367754,6.52092097367754
"aider","French (French)","help","verbs","action_words","aider",53,10.3553548305706,8.31331419411541,5.34857669276162,3.38580039849939,2.71116389081929,2.6027023581211
"aïe","French (French)","owie","nouns","body_parts","aïe bobo",551,8.01391193496985,5.72973424396636,5.37071841404826,5.12257086337665,5.05905243105413,5.03815666518884
"aimer","French (French)","love","verbs","action_words","aimer",28,10.9934422339476,10.4691748318244,7.22151834164197,3.30684491508031,1.65272377299122,1.34611796939404
"aller","French (French)","go","verbs","action_words","aller",2132,6.66083095883703,5.63577757005929,3.92997148907677,2.95927559771794,2.40998959114744,2.2768065759685
"âne","French (French)","donkey","nouns","animals","âne",24,11.1475929137748,10.9124671511439,7.11549750959201,5.1668243293915,4.65768301600148,4.40060280760805
"animal","French (French)","animal","nouns","animals","animal",134,9.42780694417185,7.32259551921115,4.34792105150665,2.62447016441753,1.9005391499845,1.67891120182466
"appareil photo","French (French)","camera","nouns","household","appareil photo",NA,NA,NA,NA,NA,NA,NA
"apporter","French (French)","bring","verbs","action_words","apporter",30,10.9244493624606,10.455044350554,6.54979652644124,3.52602630189892,2.625424895142,2.34742989504585
"arbre","French (French)","tree","nouns","outside","arbre",52,10.3744030255413,9.11115917413056,6.33458750305791,3.9564746353972,3.32221974757265,3.08710857268669
"argent","French (French)","money","nouns","household","argent",11,11.9277514713244,8.19157623559501,2.43584242460532,0.527941356550691,0.0909090909090909,0.0909090909090909
"arrêter","French (French)","stop","verbs","action_words","arrêter",102,9.70067393083849,9.40105773822111,6.97119238053749,4.62255773596526,3.77416630835698,3.44552775562704
"aspirateur","French (French)","vacuum","nouns","household","aspirateur",14,11.6865894145075,11.0277021667076,6.47069896116863,3.16106233265112,2.34546390576904,2.04953833763747
"asseoir","French (French)","sit","verbs","action_words","s'asseoir",55,10.3183135588903,8.99064599397625,3.44702852322812,1.52726509623739,0.908043592824217,0.795863138252539
"assiette","French (French)","plate","nouns","household","assiette",108,9.64351551699855,7.70698119673135,4.86193336472983,2.21745936058527,1.46572110109854,1.32939891757049
"attendre","French (French)","wait","verbs","action_words","attendre",107,9.65281790966086,8.9818944645625,6.77067503026426,4.81906705035551,3.56326960527374,3.46856834217275
"attention","French (French)","watch out","adjectives","descriptive_words","attention",2138,6.65802065253778,7.33007314561535,6.42660719460826,6.0673650137732,5.92084983654827,5.89027567661204
"attraper","French (French)","catch","verbs","action_words","attraper",85,9.88299548763245,10.2700575546014,6.50932602307224,4.62506420321682,3.56026911360194,3.26236360989776
"au dessus de","French (French)","above","function_words","prepositions","au dessus de",NA,NA,NA,NA,NA,NA,NA
"au loin","French (French)","far","function_words","prepositions","au loin",NA,NA,NA,NA,NA,NA,NA
"aucun","French (French)","none","function_words","quantifiers","aucun/ne",17,11.4924334000665,9.17116462010406,6.45992123756819,3.87166458694569,2.46962634915205,2.46962634915205
"aucune","French (French)","none","function_words","quantifiers","aucun/ne",17,11.4924334000665,11.4101066699865,8.77143030584305,6.09927540886381,4.69025683256284,4.24233272408548
"aussi","French (French)","also","function_words","quantifiers","aussi",2915,6.34802164533817,6.45101951819788,4.15846458751595,2.44387995944133,1.83218589315214,1.67273038439106
"autre","French (French)","other","function_words","quantifiers","autre",1385,7.09219132550133,5.47603422102689,3.7154772591404,2.38689136014216,1.87710655853041,1.62779127163967
"avec","French (French)","with","function_words","prepositions","avec",5911,5.6410764432984,6.17103009989338,4.50905043489585,3.25870608371245,2.69516517018998,2.5284618342198
