"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"à","French (Quebecois)","at","function_words","locations","à",13158,4.84086152647682,5.03002810976217,3.62960461949506,2.52610617878983,2.07666672122045,1.94921240999775
"à côté de","French (Quebecois)","next to","function_words","locations","à côté de",NA,NA,NA,NA,NA,NA,NA
"à eux","French (Quebecois)","theirs","function_words","pronouns","à eux",NA,NA,NA,NA,NA,NA,NA
"à lui","French (Quebecois)","his","function_words","pronouns","à lui",NA,NA,NA,NA,NA,NA,NA
"à moi","French (Quebecois)","mine","function_words","pronouns","à moi",NA,NA,NA,NA,NA,NA,NA
"à terre","French (Quebecois)","down","function_words","locations","à terre/par terre",NA,NA,NA,NA,NA,NA,NA
"abeille","French (Quebecois)","bee","nouns","animals","abeille",20,11.3299144705688,9.85462042306488,5.70385992440398,4.22546372021944,4.0058478490805,3.82659972404444
"acheter","French (Quebecois)","buy","verbs","action_words","acheter",128,9.47361648020315,9.07074678950609,5.46588021750653,3.6493447343699,2.59146867370632,2.38767502427591
"agneau","French (Quebecois)","lamb","nouns","animals","agneau",6,12.5338872748947,11.6295084108148,6.9079089894921,6.52092097367754,6.52092097367754,6.52092097367754
"aider","French (Quebecois)","help","verbs","action_words","aider",53,10.3553548305706,8.31331419411541,5.34857669276162,3.38580039849939,2.71116389081929,2.6027023581211
"aimer","French (Quebecois)","love","verbs","action_words","aimer",28,10.9934422339476,10.4691748318244,7.22151834164197,3.30684491508031,1.65272377299122,1.34611796939404
"aller","French (Quebecois)","go","verbs","action_words","aller",2132,6.66083095883703,5.63577757005929,3.92997148907677,2.95927559771794,2.40998959114744,2.2768065759685
"alligator","French (Quebecois)","crocodile","nouns","animals","alligator/crocodile",NA,NA,NA,NA,NA,NA,NA
"allumer","French (Quebecois)","turn on","verbs","action_words","allumer",55,10.3183135588903,10.1211032212219,6.95387930157024,5.04034019322527,4.12508121969917,3.82409632654126
"alors","French (Quebecois)","so","function_words","connecting_words","alors",6638,5.52508075184285,6.4790875947382,5.42837167612997,4.77976113449512,4.51760625833245,4.43988553492609
"amener","French (Quebecois)","bring","verbs","action_words","amener",45,10.5189842543524,10.6025148835719,6.91302388999053,4.99684936700031,4.27077010830586,4.03193015103082
"âne","French (Quebecois)","donkey","nouns","animals","âne",24,11.1475929137748,10.9124671511439,7.11549750959201,5.1668243293915,4.65768301600148,4.40060280760805
"animal","French (Quebecois)","animal","nouns","animals","animal",134,9.42780694417185,7.32259551921115,4.34792105150665,2.62447016441753,1.9005391499845,1.67891120182466
"apporter","French (Quebecois)","bring","verbs","action_words","apporter",30,10.9244493624606,10.455044350554,6.54979652644124,3.52602630189892,2.625424895142,2.34742989504585
"arbre","French (Quebecois)","tree","nouns","outside","arbre",52,10.3744030255413,9.11115917413056,6.33458750305791,3.9564746353972,3.32221974757265,3.08710857268669
"argent","French (Quebecois)","money","nouns","household","argent",11,11.9277514713244,8.19157623559501,2.43584242460532,0.527941356550691,0.0909090909090909,0.0909090909090909
"arrêter","French (Quebecois)","stop","verbs","action_words","arrêter",102,9.70067393083849,9.40105773822111,6.97119238053749,4.62255773596526,3.77416630835698,3.44552775562704
"arroser","French (Quebecois)","splash","verbs","action_words","arroser",40,10.6367672900088,10.9104648231425,5.77453542093431,3.83501828079976,2.60182163719427,2.43952530978602
"aspirateur","French (Quebecois)","vacuum","nouns","household","aspirateur",14,11.6865894145075,11.0277021667076,6.47069896116863,3.16106233265112,2.34546390576904,2.04953833763747
"asseoir","French (Quebecois)","sit","verbs","action_words","asseoir",55,10.3183135588903,8.99064599397625,3.44702852322812,1.52726509623739,0.908043592824217,0.795863138252539
"assiette","French (Quebecois)","plate","nouns","household","assiette",108,9.64351551699855,7.70698119673135,4.86193336472983,2.21745936058527,1.46572110109854,1.32939891757049
"attacher","French (Quebecois)","attach","verbs","action_words","attacher",33,10.8291391826563,11.6167712429931,6.84086998195855,4.85939861878938,4.1251506628155,3.84744114114961
"attendre","French (Quebecois)","wait","verbs","action_words","attendre",107,9.65281790966086,8.9818944645625,6.77067503026426,4.81906705035551,3.56326960527374,3.46856834217275
"attraper","French (Quebecois)","catch","verbs","action_words","attraper",85,9.88299548763245,10.2700575546014,6.50932602307224,4.62506420321682,3.56026911360194,3.26236360989776
"au-dessus","French (Quebecois)","over","function_words","locations","au-dessus",NA,NA,NA,NA,NA,NA,NA
"aussi","French (Quebecois)","also","function_words","connecting_words","aussi",2915,6.34802164533817,6.45101951819788,4.15846458751595,2.44387995944133,1.83218589315214,1.67273038439106
"auto","French (Quebecois)","car","nouns","vehicles","auto",54,10.3366626975585,9.12440497650387,5.78554299030713,3.86537313440819,3.36637457388798,3.17824165598782
"autobus","French (Quebecois)","bus","nouns","vehicles","autobus",8,12.2462052024429,11.0257112169027,5.05832735647466,2.49320334027873,1.3268387305144,1.0768387305144
"autour","French (Quebecois)","around","function_words","locations","autour",87,9.85973862546818,9.09978755776217,5.47607768020053,3.03920770300154,2.39454676085452,2.09970732794719
"autre","French (Quebecois)","other","function_words","quantifiers","autre",1385,7.09219132550133,5.47603422102689,3.7154772591404,2.38689136014216,1.87710655853041,1.62779127163967
"avec","French (Quebecois)","with","function_words","locations","avec",5911,5.6410764432984,6.17103009989338,4.50905043489585,3.25870608371245,2.69516517018998,2.5284618342198
"avion","French (Quebecois)","airplane","nouns","vehicles","avion",130,9.45811229366718,8.23476196054457,5.71155477510648,3.73944125195381,2.90403763967119,2.63715556740291
"avoir","French (Quebecois)","have","verbs","action_words","avoir",746,7.710921143919,7.03407722244691,4.24785068287563,2.54521005001986,1.79600489541647,1.6443530963065
"bain","French (Quebecois)","bathtub","nouns","furniture_rooms","bain (object)",711,7.75897431431953,6.72707477325152,3.10995873298948,1.47781689843994,0.884480655575679,0.670016664093345
"balai","French (Quebecois)","broom","nouns","household","balai",49,10.4338264460121,10.5553975182285,5.5908884419197,3.90765608049712,3.24055946323871,2.8959693670419
"balancer","French (Quebecois)","swing (action)","verbs","action_words","balancer",29,10.9583509141363,11.1399448399835,5.85379484851978,4.41405398482974,3.59534949008005,3.52638397283867
"balançoire","French (Quebecois)","swing (object)","nouns","outside","balançoire",62,10.1985123590777,9.46774586574564,6.19184018828659,3.4647938525675,2.61647663319517,2.07073945529562
"balayer","French (Quebecois)","sweep","verbs","action_words","balayer",5,12.7162088316887,14.0592036379952,11.9360980226434,11.2059288813358,10.9522896591459,10.9522896591459
"balcon","French (Quebecois)","balcony","nouns","outside","véranda/balcon",36,10.7421278056667,10.2332669671838,5.82633222648905,2.59645632938741,1.22339921452648,0.841855991640051
"balle","French (Quebecois)","ball","nouns","toys","balle",132,9.4428448215364,8.41082219083233,5.35161064452336,3.17275314446463,2.61482210119925,2.44485038223333
"ballon","French (Quebecois)","ball","nouns","toys","ballon",402,8.32919465550374,7.65640668680229,4.78705459115022,3.02568767502084,2.44664978109715,2.24619835181528
"banane","French (Quebecois)","banana","nouns","food_drink","banane",138,9.39839305896556,8.72081023626067,5.5953958908222,3.5955196224198,2.93433192364812,2.79112042432305
"banc","French (Quebecois)","bench","nouns","furniture_rooms","banc",31,10.8916595396376,10.2684822718371,6.60186044313118,3.02274754702992,1.59312850764763,1.27845471725526
