"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"Affe","German","monkey","nouns","animals","Affe",98,9.81979811006325,9.25649337354101,6.479930882167,4.56586373895455,3.8361102755138,3.56573633917322
"alt","German","old","adjectives","descriptive_words","alt",180,9.21180873784362,7.68238241257779,4.6194696885287,2.49743376525491,1.5700173857675,1.3860172942314
"Ameise","German","ant","nouns","animals","Ameise",11,12.0068703159355,12.1711659987261,7.02119111203819,5.5783385810046,5.40669457054777,5.40669457054777
"an","German","to","function_words","locations","an",3373,6.28120775367218,6.89540067625159,4.04141449419722,2.07705862992805,1.54476956584626,1.44664959004984
"andere","German","another","function_words","quantifiers","andere",1033,7.46454311961419,7.75591889408055,5.7388238581167,3.67156938840498,2.90882594116583,2.69884918811177
"anderer","German","another","function_words","quantifiers","anderer",55,10.3974324035014,9.63808322978764,6.74405701323657,4.41072735127505,3.34993439168079,3.19137848507828
"anfassen","German","touch","verbs","action_words","anfassen",30,11.0035682070717,10.4725655522808,6.07549085715385,3.21479302591929,2.47474200963877,2.44140867630544
"Apfel","German","apple","nouns","food_drink","Apfel",241,8.91996865524317,9.12768919096997,6.66306626923413,4.54988375333743,3.84970805793154,3.62983775282532
"Apfelsine","German","orange (food)","nouns","food_drink","Orange/Apfelsine",3,13.3061533000657,15.8935402869378,12.0104755116691,9.1581542192814,8.96316671904102,8.96316671904102
"arbeiten","German","work (action)","verbs","action_words","arbeiten",89,9.91612921900169,11.0326905448869,5.9677243676791,2.63724116645063,2.00737793732672,1.96052484742288
"Arm","German","arm","nouns","body_parts","Arm",113,9.67737777002149,8.87324815597027,5.39011075677937,2.3846646796028,1.73598378659385,1.55452576066854
"auch","German","also","function_words","quantifiers","auch",14201,4.84369792508881,5.51120482238521,3.81858818419891,2.40763640926378,1.8975621113301,1.82402514505203
"auf","German","on","function_words","locations","auf",8060,5.41009675323315,5.87600244828688,3.69808094743631,2.15300439976124,1.67134622406135,1.58624906372083
"aufheben","German","lift","verbs","action_words","aufheben",51,10.4729399560095,10.8573338526921,6.88769394707929,3.96502627390941,3.3932202854614,3.22695008420592
"aufhören","German","stop","verbs","action_words","aufhören",26,11.1466690507123,12.7211649224927,9.84142966931751,8.06584099804157,7.34338675318792,7.30492521472638
"aufräumen","German","clean (action)","verbs","action_words","aufräumen",67,10.2000729693429,9.9667110126269,6.10510031641514,3.44559168077153,2.45181853095398,2.1760461995519
"Auge","German","eye","nouns","body_parts","Auge",152,9.38088506788755,8.82589227505745,6.00917664230885,3.25420349801914,2.27525446488056,2.08488493133566
"aus","German","off","function_words","locations","aus",4042,6.10027069077026,6.1871638597775,3.44836322565329,1.67093664658703,1.27415036251914,1.20926437924908
"Auto","German","car","nouns","vehicles","Auto",1562,7.05104325833419,6.83641701720297,5.32647935909915,3.61699722993289,3.03003256531869,2.91824108479144
"Badewanne","German","bathtub","nouns","furniture_rooms","Badewanne",38,10.7671794290074,10.9496949537399,6.75632938647098,2.38239623843157,1.08297985272835,0.982188405397887
"Badezimmer","German","bathroom","nouns","furniture_rooms","Badezimmer",3,13.3061533000657,13.4748415177943,8.70208959812961,3.35536306348592,2.31024577918763,1.9769124458543
"Bahn","German","train","nouns","vehicles","Bahn",98,9.81979811006325,9.15135709091255,6.36251289070292,3.64019075206231,3.03676217782529,2.90042207853657
"Ball","German","ball","nouns","toys","Ball",263,8.83261155655606,8.60217021852185,6.01574920229479,3.85804148988542,3.02628741993277,2.81795845514687
"Banane","German","banana","nouns","food_drink","Banane",91,9.89390608221698,10.1551706428704,7.23468152806581,4.91609305039181,3.97394490470918,3.77943663827416
