"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"一个","Mandarin (Beijing)","a","function_words","quantifiers","一个",NA,NA,NA,NA,NA,NA,NA
"一样","Mandarin (Beijing)","same","function_words","quantifiers","一样",720,7.33745580394505,7.22669059917892,3.5700470173409,1.8562508113204,1.47015191857366,1.40752835636815
"一点","Mandarin (Beijing)","a little","function_words","quantifiers","一点",876,7.14134092501876,5.69652883077809,2.40719341835823,1.52997887973918,1.34338167232102,1.31594311796879
"三明治","Mandarin (Beijing)","sandwich","nouns","food_drink","三明治",3,12.818094727287,13.9585975609428,8.06263152499225,7.84125395360733,7.84125395360733,7.84125395360733
"上","Mandarin (Beijing)","on","function_words","directions","上（面）",3532,5.7470874542313,3.72149473845039,1.42101994963242,0.896636878840479,0.726952728784452,0.69239391437167
"上衣","Mandarin (Beijing)","shirt","nouns","clothing","上衣",NA,NA,NA,NA,NA,NA,NA
"下","Mandarin (Beijing)","down","verbs","action_words","下",1166,6.85537264904471,6.88548663975371,3.74241396765605,2.76895938478073,2.48383868056408,2.4362346809923
"下巴","Mandarin (Beijing)","chin","nouns","body_parts","下巴",9,11.7194824386189,13.238048579112,9.90206111893611,8.3753472225162,8.2791584549286,8.24338866660778
"下雨","Mandarin (Beijing)","rain","nouns","outside","下雨",85,9.47405575946483,11.2602273736731,8.06455115810002,7.34880741356477,7.19385658809855,7.16082888313316
"不好","Mandarin (Beijing)","bad","adjectives","descriptive_words","不好",NA,NA,NA,NA,NA,NA,NA
"不是","Mandarin (Beijing)","no","adjectives","descriptive_words","不是",466,7.77252138182951,9.30403683150702,7.54086797661621,7.02492849422456,6.9293763900057,6.90050229725827
"为什么","Mandarin (Beijing)","why","function_words","question_words","为什么",1065,6.94597693781162,8.22822146724261,7.38923169154344,7.01355657242089,6.92516819839107,6.90046557490251
"举","Mandarin (Beijing)","lift","verbs","action_words","举",23,10.781212800026,10.8598050640216,6.17415356831529,4.65684426767695,4.65684426767695,4.65684426767695
"乌鸦","Mandarin (Beijing)","crow","nouns","animals","乌鸦",9,11.7194824386189,14.2740928741996,11.4146627086121,8.96718718739872,8.43303664050343,8.43303664050343
"乌龟","Mandarin (Beijing)","turtle","nouns","animals","乌龟",100,9.31153682996706,9.61849639658973,7.6312318997597,6.25672145608571,5.5393394449392,5.47059475376004
"乐","Mandarin (Beijing)","happy","adjectives","descriptive_words","高兴/乐/开心",23,10.781212800026,7.46777952776362,4.57122375382346,3.92880412645436,3.91304020995937,3.91304020995937
"乐","Mandarin (Beijing)","smile","verbs","action_words","乐（一个）",23,10.781212800026,7.46777952776362,4.57122375382346,3.92880412645436,3.91304020995937,3.91304020995937
"乐","Mandarin (Beijing)","full","adjectives","descriptive_words","高兴/乐/开心",23,10.781212800026,7.46777952776362,4.57122375382346,3.92880412645436,3.91304020995937,3.91304020995937
"也","Mandarin (Beijing)","also","function_words","quantifiers","也",3891,5.6502855429706,5.97999513159975,3.9329540394825,3.2163128074409,2.97902870939252,2.91591921394311
"书","Mandarin (Beijing)","book","nouns","toys","书",1477,6.61893873342377,4.95585318223113,3.5196821439951,2.48312463651471,2.05554505982646,1.93412585875808
"书包","Mandarin (Beijing)","bag","nouns","household","书包",27,10.6208701499508,11.0954874676736,7.33274616401648,4.20147783637977,2.63648632208788,2.58970727001996
"买","Mandarin (Beijing)","buy","verbs","action_words","买",794,7.23962355470801,7.86531877559079,5.49297016930013,4.00446460334613,3.6077029964537,3.56066308254518
"云","Mandarin (Beijing)","cloud","nouns","outside","云",33,10.4201994544887,9.96711424009331,7.51448535006042,6.54729300053854,6.34503381911437,6.29700465242585
"云彩","Mandarin (Beijing)","cloud","nouns","outside","云彩",7,11.9707968668998,13.3576438417862,12.6275137527394,11.6211717356882,11.6211717356882,11.6211717356882
"亲","Mandarin (Beijing)","kiss","verbs","action_words","亲",57,9.8736557481206,8.81672656912503,5.66409825230201,3.94779280139481,3.66227823705045,3.62939281392911
"什么","Mandarin (Beijing)","what","function_words","question_words","什么",16673,4.19516109239469,3.40773524151561,2.31352125217632,1.72407573090388,1.51106519883665,1.45674356629014
"他","Mandarin (Beijing)","he","function_words","pronouns","他(她)",11198,4.59321654604631,4.99129496632782,4.11043070596468,3.61948821440782,3.46307943443241,3.40965834576307
"他 的","Mandarin (Beijing)","his","function_words","pronouns","他的",NA,NA,NA,NA,NA,NA,NA
"他们","Mandarin (Beijing)","them","function_words","pronouns","他们",1810,6.41562489169528,6.75439836256911,5.50861291361255,5.01501810204517,4.89062000914609,4.8339328710736
"企鹅","Mandarin (Beijing)","penguin","nouns","animals","企鹅",31,10.48271981147,10.4713993444716,8.15987754851926,7.42960927933932,7.3035136366346,7.3035136366346
"会","Mandarin (Beijing)","can (auxiliary)","verbs","action_words","会",4080,5.60285474855694,5.61788826795334,3.52142509295155,2.66862366711592,2.44752891286261,2.40378164318805
"会","Mandarin (Beijing)","can (auxiliary)","function_words","helping_verbs","会",4080,5.60285474855694,5.61788826795334,3.52142509295155,2.66862366711592,2.44752891286261,2.40378164318805
"伞","Mandarin (Beijing)","umbrella","nouns","household","伞",28,10.5845025057799,10.9141933379143,5.30094496715192,3.95117307922938,3.69231852517782,3.69231852517782
"伤心","Mandarin (Beijing)","sad","adjectives","descriptive_words","伤心",72,9.64004089693909,8.48842471021235,4.27511752196205,2.20559273685442,1.92462158284834,1.81664941166624
"你","Mandarin (Beijing)","you","function_words","pronouns","你",27828,3.68290902891162,3.82357462879784,3.24510235156142,2.93979069949313,2.85305071537529,2.82865379185413
"你 的","Mandarin (Beijing)","your","function_words","pronouns","你的",NA,NA,NA,NA,NA,NA,NA
"你们","Mandarin (Beijing)","you","function_words","pronouns","你们",325,8.13288183362541,9.40737468335539,7.32502535596206,6.60440248517197,6.39348905683892,6.34866081400434
"你们 的","Mandarin (Beijing)","your","function_words","pronouns","你们的",NA,NA,NA,NA,NA,NA,NA
"倒","Mandarin (Beijing)","dump","verbs","action_words","倒(垃圾)",512,7.67838239091564,6.42797689719321,4.16500588926107,3.16515025214554,2.85269956582894,2.79609867475831
"假装","Mandarin (Beijing)","pretend","verbs","action_words","假装",51,9.98488138323082,8.03043143232893,6.94914573470395,6.70448447257846,6.62378884086435,6.62378884086435
"做 完","Mandarin (Beijing)","finish","verbs","action_words","做完",NA,NA,NA,NA,NA,NA,NA
"停","Mandarin (Beijing)","stop","verbs","action_words","停",114,9.18050856756065,9.68160409675628,5.59317895711975,4.48469020923174,4.31441839091864,4.31331724283019
"光","Mandarin (Beijing)","light (object)","nouns","household","光",119,9.13758352284362,9.02885502160696,6.30351916211806,5.06700217325639,4.90561649370249,4.89721313235796
"兔子","Mandarin (Beijing)","bunny","nouns","animals","兔子",214,8.5507310009333,7.43777187904561,5.6324419928017,4.30819029731551,3.79954632352235,3.72743394569644
"公共汽车","Mandarin (Beijing)","bus","nouns","vehicles","公共汽车",8,11.8372654742753,13.4750624975109,10.1614385969382,9.65684396460946,8.58549340989389,8.58549340989389
"公园","Mandarin (Beijing)","park","nouns","outside","公园",22,10.8256645625968,8.22638894195282,4.5180165072868,3.58456382352742,3.06754127145053,3.02208672599599
"公鸡","Mandarin (Beijing)","rooster","nouns","animals","公鸡",74,9.61264192275098,10.536277750339,9.19793798836849,8.96199633144692,8.8365368131335,8.80160488744807
"关","Mandarin (Beijing)","close","verbs","action_words","关(门)",334,8.10556602297845,8.54042448974177,5.43566748657405,4.03588163111842,3.62983378838503,3.5296397058572
"其它","Mandarin (Beijing)","other","function_words","pronouns","其它",17,11.0834936718989,12.0961088594541,9.77463901543345,7.69406697762779,7.25926688217519,7.16603379389747
"写","Mandarin (Beijing)","write","verbs","action_words","写",918,7.09450962533466,8.22992575874397,5.87239850025132,4.71640944328971,4.44864724676336,4.39877133572655
"冰淇淋","Mandarin (Beijing)","ice cream","nouns","food_drink","冰淇淋",22,10.8256645625968,12.3966012040855,9.35962660746358,7.74800433228765,7.46585499006282,7.36722203545181
"冰箱","Mandarin (Beijing)","refrigerator","nouns","furniture_rooms","冰箱",21,10.8721845782317,10.4114008714333,5.2992890701728,2.72184058323232,2.19911296782756,1.99330686807102
"冷","Mandarin (Beijing)","cold","adjectives","descriptive_words","冷",197,8.63350328721716,9.16098988810487,5.36560819314172,3.93211047862948,3.65734981791112,3.59681777474561
"凉鞋","Mandarin (Beijing)","sandals","nouns","clothing","凉鞋",1,13.9167070159552,8.81057163474115,5,1,0,0
"几点","Mandarin (Beijing)","when (question)","function_words","question_words","几点",NA,NA,NA,NA,NA,NA,NA
"刀","Mandarin (Beijing)","knife","nouns","household","刀",31,10.48271981147,10.6990563087249,6.41007944483575,5.96560476887599,5.7927805106625,5.69600631711412
"划","Mandarin (Beijing)","row row your boat","verbs","action_words","划(船)",17,11.0834936718989,11.8207485399539,7.34972038217037,5.65386798559592,4.60537061533081,4.45331399764133
"别的","Mandarin (Beijing)","other","function_words","quantifiers","别的",206,8.58883084716557,8.97347364040614,5.66158642496061,4.00307086977404,3.68212221163374,3.66241884421114
"刮风","Mandarin (Beijing)","blow","verbs","action_words","刮风",NA,NA,NA,NA,NA,NA,NA
"刷","Mandarin (Beijing)","brush (action)","verbs","action_words","刷",135,9.01143223751672,9.54895650527735,6.44241413069467,4.99737818960145,4.78507469619928,4.73014849250091
"刷子","Mandarin (Beijing)","brush (object)","nouns","household","刷子",9,11.7194824386189,11.8635446109697,7.9667182168643,5.91380688171887,5.91380688171887,5.80269577060776
"刺猬","Mandarin (Beijing)","hedgehog","nouns","animals","刺猬",20,10.9209747424012,11.1312322154007,8.39903393567343,6.55142129996453,6.45855830857033,6.40855830857033
