"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"一个","Mandarin (Taiwanese)","one two three","function_words","quantifiers","一個(二、三個…)",NA,NA,NA,NA,NA,NA,NA
"一样","Mandarin (Taiwanese)","same","adjectives","descriptive_words","一樣的",720,7.33745580394505,7.22669059917892,3.5700470173409,1.8562508113204,1.47015191857366,1.40752835636815
"三明治","Mandarin (Taiwanese)","sandwich","nouns","food_drink","三明治",3,12.818094727287,13.9585975609428,8.06263152499225,7.84125395360733,7.84125395360733,7.84125395360733
"三轮车","Mandarin (Taiwanese)","tricycle","nouns","vehicles","三輪車",27,10.6208701499508,10.7182237771232,8.36642548677608,6.61565542354224,6.00745735980487,6.00745735980487
"上面","Mandarin (Taiwanese)","above","function_words","locations","上面",1145,6.87354709996681,7.10794808548537,5.00589661564434,3.76868315091139,3.33290606883761,3.23509435088892
"下巴","Mandarin (Taiwanese)","chin","nouns","body_parts","下巴",9,11.7194824386189,13.238048579112,9.90206111893611,8.3753472225162,8.2791584549286,8.24338866660778
"下雨","Mandarin (Taiwanese)","rain","nouns","outside","下雨",85,9.47405575946483,11.2602273736731,8.06455115810002,7.34880741356477,7.19385658809855,7.16082888313316
"下面","Mandarin (Taiwanese)","below","function_words","locations","下面",524,7.65521533163411,8.65034185915188,6.44642484531937,5.37313966905151,5.05012137178163,4.96702080112253
"不 对","Mandarin (Taiwanese)","no","verbs","action_words","不是/不對/不好",NA,NA,NA,NA,NA,NA,NA
"不乖","Mandarin (Taiwanese)","naughty","adjectives","descriptive_words","不乖",NA,NA,NA,NA,NA,NA,NA
"不好","Mandarin (Taiwanese)","no","verbs","action_words","不是/不對/不好",NA,NA,NA,NA,NA,NA,NA
"不是","Mandarin (Taiwanese)","no","verbs","action_words","不是/不對/不好",466,7.77252138182951,9.30403683150702,7.54086797661621,7.02492849422456,6.9293763900057,6.90050229725827
"不行","Mandarin (Taiwanese)","not","verbs","action_words","不可以/不行",NA,NA,NA,NA,NA,NA,NA
