"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"a","Spanish (European)","to","function_words","locations","a (a dormir)",11174,3.7596796526801,2.81603870810848,2.11776918350552,1.68907878265099,1.5183342861487,1.47734934630825
"abajo","Spanish (European)","below","function_words","locations","debajo/abajo",146,8.09741796099086,7.96852976090113,4.28407425597244,2.99680640302643,2.678106870065,2.63584710978115
"abajo","Spanish (European)","down","function_words","locations","abajo (debajo)",146,8.09741796099086,7.96852976090113,4.28407425597244,2.99680640302643,2.678106870065,2.63584710978115
"abeja","Spanish (European)","bee","nouns","animals","abeja",7,11.1351144336439,10.8797885563724,8.1925452457839,7.27246373044201,6.20472603582524,6.20472603582524
"abrigo","Spanish (European)","coat","nouns","clothing","abrigo",5,11.4715866702651,10.4065864322063,4.6555581617511,4.04871917777438,4.04871917777438,4.04871917777438
"abrir","Spanish (European)","open (action)","verbs","action_words","abrir",76,8.75029124241286,7.91462538071709,5.55261495029487,3.93258353124369,2.65910510102038,2.4669907947408
"acabar","Spanish (European)","finish","verbs","action_words","terminar/acabar(se)",10,10.7784394897051,11.3941516079992,7.53015118618231,3.31292251509932,2.07097300365436,1.78352609186275
"aceituna","Spanish (European)","olive","nouns","food_drink","aceituna/s",1,13.0810245826992,11.3253054550897,9.2045711442492,9.2045711442492,9.2045711442492,9.2045711442492
"aceitunas","Spanish (European)","olive","nouns","food_drink","aceituna/s",4,11.6947302215793,10.6690372724332,4.6036486009833,0.75,0.25,0.25
"adentro","Spanish (European)","inside","function_words","locations","dento/adentro",50,9.16900157727105,8.85790121903363,3.93139528714665,2.84356346557139,2.25232376916438,2.23232376916438
"afuera","Spanish (European)","out","function_words","locations","fuera/afuera",22,9.98998212934088,7.52827405940191,4.353329755962,0.920306390840597,0.371360227338287,0.371360227338287
"agua","Spanish (European)","water (beverage)","nouns","food_drink","agua",329,7.28496683193382,6.23069433434464,3.52184239860381,2.55555052654039,2.2240636761407,2.16357538392692
