"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"a","English (American)","a","function_words","quantifiers","a",NA,NA,NA,NA,NA,NA,NA
"a lot","English (American)","a lot","function_words","quantifiers","a lot",NA,NA,NA,NA,NA,NA,NA
"about","English (American)","about","function_words","locations","about",150592,7.10589405426747,7.62354585433124,4.19447752231329,1.60901020479398,0.475321063105523,0.141445149370384
"above","English (American)","above","function_words","locations","above",28306,8.77739445106072,9.75186189701877,5.13430103969471,1.87976864749008,0.530936749250121,0.150678601087944
"airplane","English (American)","airplane","nouns","vehicles","airplane",1658,11.6148561906593,11.9611292517065,6.66998389218899,2.35608568784752,0.681971657810274,0.181468970226714
"all","English (American)","all","function_words","quantifiers","all",250687,6.59626309835917,8.28892317641868,5.09870340235407,2.01800879384845,0.672562506173672,0.222129005745542
"all gone","English (American)","all gone","adjectives","descriptive_words","all gone",NA,NA,NA,NA,NA,NA,NA
"alligator","English (American)","alligator","nouns","animals","alligator",514,12.7860002608993,13.5824949711257,6.03865789356959,2.20804003962157,0.738932157247312,0.37317679503646
"am","English (American)","am","function_words","helping_verbs","am",21867,9.03548959630418,8.74571298410404,3.86867736232947,1.28116987317502,0.388320987287136,0.154680235293623
"an","English (American)","a","function_words","quantifiers","an",673295,5.60828467795891,6.504106357332,4.24699168658943,1.86296109111903,0.637275096350209,0.194341470330932
"and","English (American)","and","function_words","connecting_words","and",5181834,3.56755392072713,4.19484474117395,2.57041894304712,1.10615205694667,0.405450763203097,0.153638039521548
"animal","English (American)","animal","nouns","animals","animal",10920,9.72987227705561,11.7664770435107,6.78734663643752,2.5634053927001,0.818884436897802,0.245017461143713
"ankle","English (American)","ankle","nouns","body_parts","ankle",1328,11.8367941963181,12.396799195268,6.52860835065498,2.34070552413978,0.556261843039766,0.151401915982414
"another","English (American)","another","function_words","quantifiers","another",68919,7.88753634539422,9.78427209636068,5.78539169530636,2.29476499578104,0.741224401904447,0.201396188597489
"ant","English (American)","ant","nouns","animals","ant",1753,11.5591396414333,11.9419810925226,5.79739002454866,2.02216332311945,0.624243962933818,0.269430751504125
"any","English (American)","any","function_words","quantifiers","any",71027,7.85740816092967,8.98783050191997,5.37009900878912,2.07677681200165,0.658282616328876,0.157510482020205
