"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"all gone","English (Australian)","all gone","adjectives","descriptive_words","all gone",NA,NA,NA,NA,NA,NA,NA
"animal","English (Australian)","animal","nouns","animals","animal",10920,9.72987227705561,11.7664770435107,6.78734663643752,2.5634053927001,0.818884436897802,0.245017461143713
"ant","English (Australian)","ant","nouns","animals","ant",1753,11.5591396414333,11.9419810925226,5.79739002454866,2.02216332311945,0.624243962933818,0.269430751504125
"apple","English (Australian)","apple","nouns","food_drink","apple",6419,10.2612059050427,12.0965713272012,6.715224668204,2.50511487376014,0.835254169827787,0.300863248881326
"arm","English (Australian)","arm","nouns","body_parts","arm",8343,9.99904538345243,9.75352734769272,4.82008522187993,1.63311777787604,0.372206907814562,0.111479846932991
"asleep","English (Australian)","asleep","adjectives","descriptive_words","asleep",855,12.2771220574177,10.4611302578618,5.26837431345805,1.84385978432416,0.442252287560442,0.163634877743835
"backyard","English (Australian)","backyard","nouns","outside","backyard",519,12.7763196431886,14.4703828521559,8.8455093717814,3.27787679690525,0.869085208471994,0.270666861093549
"bad","English (Australian)","bad","adjectives","descriptive_words","bad",12952,9.55921803099703,11.4811669353494,6.16795388332895,2.31507057968312,0.767660095583467,0.270180533441522
"ball","English (Australian)","ball","nouns","toys","ball",14948,9.41589073574913,10.2718560788009,5.37517818038957,1.92280188501004,0.497429962354853,0.155557100921939
"balloon","English (Australian)","balloon","nouns","toys","balloon",1903,11.4770366590584,12.1785085289307,5.58849629546339,1.99871010536666,0.637351506366648,0.211257911452047
"banana","English (Australian)","banana","nouns","food_drink","banana",1493,11.7196807288153,12.7826315282421,5.7835308095057,2.04690836026601,0.691303451492817,0.286781102913937
"bath","English (Australian)","bathtub","nouns","furniture_rooms","Bath (tub)",4829,10.545828840481,12.2053030124381,6.87788557168173,2.88488355011781,1.35429427296429,0.666409318975875
"bathroom","English (Australian)","bathroom","nouns","furniture_rooms","Bathroom",860,12.2712911371069,14.4411437332091,9.24315342322803,3.55350235906166,0.799026726677839,0.161682647357191
"beanie","English (Australian)","cap","nouns","clothing","beanie",97,14.4535125478511,13.4639400261951,5.85263677928879,1.75811847811357,0.587966666549361,0.176619567345897
"beans","English (Australian)","beans","nouns","food_drink","beans",1348,11.8218462348823,10.4809305675664,3.89004458778587,0.991029822377849,0.300923219146601,0.119781125765318
"bear","English (Australian)","bear","nouns","animals","bear",7860,10.0586816409313,10.4930834171893,5.29055087763248,1.86190925040449,0.610760104725524,0.212798202174171
"bed","English (Australian)","bed","nouns","furniture_rooms","bed",5081,10.4949601547608,12.0746253809048,6.84785750008714,2.51951772951982,0.635593319269184,0.182968565707551
"bedroom","English (Australian)","bedroom","nouns","furniture_rooms","bedroom",1574,11.6668480973772,12.9650546596417,7.93419120997736,2.60547687505869,0.585144577850872,0.134642764479658
"bee","English (Australian)","bee","nouns","animals","bee",2754,11.1074138470659,10.3868093425238,4.83670631261501,1.6002036580711,0.511004514259494,0.190241677890266
"bellybutton","English (Australian)","belly button","nouns","body_parts","bellybutton/navel",6,17.2364640571264,17.7966379740333,12.2831529637898,4.79493230615697,2.27644296535435,0.264160416786859
"bib","English (Australian)","bib","nouns","clothing","bib",365,13.128326172772,9.38771512956188,3.72319636171559,1.03538015591518,0.421508090952791,0.20254413394971
"bickie","English (Australian)","cookie","nouns","food_drink","biscuit/bickie",NA,NA,NA,NA,NA,NA,NA
"bicycle","English (Australian)","bicycle","nouns","vehicles","bicycle/bike",2503,11.2029782349227,12.7544903763149,6.3022020632495,2.22824215841882,0.751262558164566,0.278905218564079
"big","English (Australian)","big","adjectives","descriptive_words","big",35531,8.55006269250612,10.6532535665275,6.62206726536361,2.94184456829379,1.12845678151623,0.447967126037302
"bike","English (Australian)","bicycle","nouns","vehicles","bicycle/bike",2744,11.1110515375087,11.8554241663549,5.56265317004107,1.79337325516844,0.531382429509381,0.196329935525399
"bird","English (Australian)","bird","nouns","animals","bird",9588,9.85995593080023,11.0773458689401,5.49388298859889,1.97441291239196,0.589281416458808,0.225161214552939
