"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"aeroplane","English (British)","airplane","nouns","vehicles","aeroplane / plane",403,13.0292869644078,13.4002589795272,7.3239459105493,2.66077029559355,0.678427137026656,0.186192264567637
"again","English (British)","again","function_words","prepositions","again",51533,8.17824586821338,8.89702160971338,5.08976840182222,2.13242940868865,0.70153527824056,0.207375494002716
"all","English (British)","all","function_words","prepositions","all",250687,6.59626309835917,8.28892317641868,5.09870340235407,2.01800879384845,0.672562506173672,0.222129005745542
"all gone","English (British)","all gone","adjectives","descriptive_words","all gone",NA,NA,NA,NA,NA,NA,NA
"animal","English (British)","animal","nouns","animals","animal",10920,9.72987227705561,11.7664770435107,6.78734663643752,2.5634053927001,0.818884436897802,0.245017461143713
"another","English (British)","another","function_words","prepositions","another",68919,7.88753634539422,9.78427209636068,5.78539169530636,2.29476499578104,0.741224401904447,0.201396188597489
"apple","English (British)","apple","nouns","food_drink","apple",6419,10.2612059050427,12.0965713272012,6.715224668204,2.50511487376014,0.835254169827787,0.300863248881326
"arm","English (British)","arm","nouns","body_parts","arm",8343,9.99904538345243,9.75352734769272,4.82008522187993,1.63311777787604,0.372206907814562,0.111479846932991
"asleep","English (British)","asleep","adjectives","descriptive_words","asleep",855,12.2771220574177,10.4611302578618,5.26837431345805,1.84385978432416,0.442252287560442,0.163634877743835
"away","English (British)","away","function_words","prepositions","away",36720,8.51714668162008,8.21231788906054,4.0252260700939,1.32253875417634,0.364257899900522,0.117132713570362
"back","English (British)","back","function_words","prepositions","back",79199,7.74850457489432,7.93104287967743,4.42679022831756,1.61956446777356,0.447146702404474,0.116344496828945
"bad","English (British)","bad","adjectives","descriptive_words","bad",12952,9.55921803099703,11.4811669353494,6.16795388332895,2.31507057968312,0.767660095583467,0.270180533441522
"ball","English (British)","ball","nouns","toys","ball",14948,9.41589073574913,10.2718560788009,5.37517818038957,1.92280188501004,0.497429962354853,0.155557100921939
"balloon","English (British)","balloon","nouns","toys","balloon",1903,11.4770366590584,12.1785085289307,5.58849629546339,1.99871010536666,0.637351506366648,0.211257911452047
"banana","English (British)","banana","nouns","food_drink","banana",1493,11.7196807288153,12.7826315282421,5.7835308095057,2.04690836026601,0.691303451492817,0.286781102913937
"bath","English (British)","bathtub","nouns","clothing","bath / bathtub",4829,10.545828840481,12.2053030124381,6.87788557168173,2.88488355011781,1.35429427296429,0.666409318975875
"bathroom","English (British)","bathroom","nouns","furniture_rooms","bathroom",860,12.2712911371069,14.4411437332091,9.24315342322803,3.55350235906166,0.799026726677839,0.161682647357191
