"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"à","French (French)","at","function_words","prepositions","à",NA,NA,NA,NA,NA,NA,NA
"à elle","French (French)","hers","function_words","pronouns","à elle/sa",NA,NA,NA,NA,NA,NA,NA
"à l'intérieur de","French (French)","inside","function_words","prepositions","à l'intérieur de",NA,NA,NA,NA,NA,NA,NA
"à lui","French (French)","his","function_words","pronouns","à lui/son",NA,NA,NA,NA,NA,NA,NA
"à moi","French (French)","mine","function_words","pronouns","à moi",NA,NA,NA,NA,NA,NA,NA
"abeille","French (French)","bee","nouns","animals","abeille",922,12.1620416596344,11.1266390640866,5.38003354909877,1.98758153966518,0.679104972955123,0.306208621636762
"acheter","French (French)","buy","verbs","action_words","acheter",3010,10.9788915254481,11.5268214239883,6.14202374760714,2.4131322572511,0.653394055882776,0.141181131465107
"agneau","French (French)","lamb","nouns","animals","agneau",870,12.2200936715423,12.120917628992,5.68662039985389,2.06143575036047,0.598411279020836,0.219180338730686
"aider","French (French)","help","verbs","action_words","aider",7202,10.1064728389822,10.3352044511626,5.69634756330089,2.36343636294182,0.660084192105323,0.140397452342746
"aïe","French (French)","owie","nouns","body_parts","aïe bobo",50,15.0765638777628,9.82270732795907,3.58605105543021,1.07705203374162,0.254795612195465,0.0664385618977472
"aimer","French (French)","love","verbs","action_words","aimer",1591,11.6164688548532,11.2609982110067,5.73159595122741,1.85599018932798,0.503710994063241,0.176590172131465
"aller","French (French)","go","verbs","action_words","aller",13847,9.45276300153626,9.0743050863091,4.88630263344704,1.92866458650302,0.580189174771468,0.185628200599003
"âne","French (French)","donkey","nouns","animals","âne",1228,11.8754447744839,11.6380050104678,6.06128565281384,2.18119008914317,0.732004127887477,0.325476536299619
"animal","French (French)","animal","nouns","animals","animal",7759,10.031978144297,10.9470476979842,6.1166469554067,2.50780402954426,0.885389436735894,0.306183114222072
"appareil photo","French (French)","camera","nouns","household","appareil photo",NA,NA,NA,NA,NA,NA,NA
"apporter","French (French)","bring","verbs","action_words","apporter",2745,11.0710505292473,11.2466972880796,5.92399342451299,2.11209527561937,0.512392865929954,0.103009693617401
"arbre","French (French)","tree","nouns","outside","arbre",9246,9.8566405786428,10.7866768739776,6.08774957373723,2.45640819209871,0.750350442527972,0.302110999816643
"argent","French (French)","money","nouns","household","argent",36731,8.47721051904681,6.45266354132186,3.3905337640706,1.42227680046309,0.620514193821179,0.315561363386322
"arrêter","French (French)","stop","verbs","action_words","arrêter",4455,10.5868045432861,10.8589824073419,6.06795768080861,2.39398691799975,0.600365833632616,0.140766151723435
"aspirateur","French (French)","vacuum","nouns","household","aspirateur",128,14.1365566192714,13.7333753078804,6.6367036571554,2.28839010702717,0.558240427779757,0.083041848594372
"asseoir","French (French)","sit","verbs","action_words","s'asseoir",662,12.493321327254,13.0468908011261,6.21898856272712,2.21492042085045,0.518991118566407,0.0997168803339871
"assiette","French (French)","plate","nouns","household","assiette",896,12.190646470216,12.9136569938711,6.83191637580069,2.29086532467584,0.850229171378593,0.484217630453186
"attendre","French (French)","wait","verbs","action_words","attendre",4834,10.5051573219275,7.28611923008401,3.98382591898981,1.55403355735587,0.370053944545554,0.0763696088054686
"attention","French (French)","watch out","adjectives","descriptive_words","attention",7035,10.1299339136425,8.84901365489836,4.20481080853049,1.46472094375174,0.435897799728517,0.146297459718483
"attraper","French (French)","catch","verbs","action_words","attraper",539,12.698871312282,12.9364431718812,6.29752628754659,2.53507458639363,0.638115623031604,0.187101395192999
"au dessus de","French (French)","above","function_words","prepositions","au dessus de",NA,NA,NA,NA,NA,NA,NA
"au loin","French (French)","far","function_words","prepositions","au loin",NA,NA,NA,NA,NA,NA,NA
"aucun","French (French)","none","function_words","quantifiers","aucun/ne",21857,8.99631036784078,9.71406928943072,5.18277094440109,2.0538384326962,0.696139599317992,0.259091958329114
"aucune","French (French)","none","function_words","quantifiers","aucun/ne",17984,9.19134913049755,9.7996593978183,5.22857546438587,2.0089017506117,0.598825808970104,0.184529474923269
"aussi","French (French)","also","function_words","quantifiers","aussi",241405,6.59435558324955,4.38815268690779,2.52264728587602,0.912229951318852,0.243494615544528,0.0740238390872354
