"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"affe","German","monkey","nouns","animals","Affe",311,13.1517165268085,12.0711381588816,4.78504207002947,1.40342841817825,0.613395401214262,0.460382421002891
"alt","German","old","adjectives","descriptive_words","alt",15146,9.26601768931393,8.16579815149152,3.74335948722434,1.29988298556123,0.420794251106787,0.193092149056011
"ameise","German","ant","nouns","animals","Ameise",111,14.1819792376754,13.149047159754,6.18119958484519,1.81264162754603,0.418253199887715,0.223280968577705
"an","German","to","function_words","locations","an",767743,5.34029911827748,5.86411678237205,3.3284869344986,1.30799266242694,0.426916887032352,0.150784079668371
"andere","German","another","function_words","quantifiers","andere",47685,8.11913727697468,9.05070793988984,4.69916551083197,1.2122315606244,0.236204317337151,0.0564872311770801
"anderer","German","another","function_words","quantifiers","anderer",11108,9.576088590561,9.93380903995927,4.9877085777365,1.32607735012723,0.218952672633194,0.0447832837684074
"anfassen","German","touch","verbs","action_words","anfassen",90,14.3916997686574,13.1407778421895,4.6404123385305,1.06222464375578,0.162548406889773,0.0111111111111111
"apfel","German","apple","nouns","food_drink","Apfel",666,12.3902197684473,11.9601477231477,5.11178596806139,1.25246019748679,0.30786359980559,0.125256650883648
"apfelsine","German","orange (food)","nouns","food_drink","Orange/Apfelsine",9,16.6942848616515,11.5716923505554,6.39574007957703,2.07233907679766,0,0
"arbeiten","German","work (action)","verbs","action_words","arbeiten",25853,8.73132751162628,9.31005885516936,4.79340695143763,1.59785691594673,0.397796291102452,0.101916990474417
"arm","German","arm","nouns","body_parts","Arm",3357,10.7727064420077,10.4165565202028,4.82553699172457,1.13902049189286,0.189037542977059,0.0565345199751662
"auch","German","also","function_words","quantifiers","auch",590946,5.60202951733238,5.88319547509184,3.24768081059104,1.08422378848052,0.284793210825465,0.08806896258439
"auf","German","on","function_words","locations","auf",967265,5.10928165866201,5.80197097361995,3.24571119239022,1.19812234547232,0.347091475458311,0.112364025671585
"aufheben","German","lift","verbs","action_words","aufheben",208,13.5539713592864,11.9764580501943,4.54877445379833,1.04554880251558,0.175440699780087,0.0503835589616784
"aufhören","German","stop","verbs","action_words","aufhören",216,13.5162310313035,12.3205203059786,5.76026233625138,1.63029068850713,0.170684614406332,0.0138888888888889
"aufräumen","German","clean (action)","verbs","action_words","aufräumen",57,14.8484581711531,13.0943337347085,5.48274779267409,1.22262493768724,0.309021925047182,0.0175438596491228
"auge","German","eye","nouns","body_parts","Auge",3806,10.6471753911316,9.39602082293115,4.3102646763315,1.03548582333333,0.184962713818398,0.0593668281281959
"aus","German","off","function_words","locations","aus",616286,5.56004301850502,5.92555637002437,3.03767301654553,1.03449088379736,0.284715358903326,0.0943979260530621
"auto","German","car","nouns","vehicles","Auto",6922,10.0490494147924,9.65629629896404,5.29372198157401,1.68213783600016,0.424485271966543,0.155670542392821
"badewanne","German","bathtub","nouns","furniture_rooms","Badewanne",215,13.52087141086,14.1508791393368,9.55686811931764,2.39786965576815,0.589961489159514,0.148359317427359
"badezimmer","German","bathroom","nouns","furniture_rooms","Badezimmer",203,13.5783034599459,14.3429537859644,7.00534363265253,1.89577717075155,0.269968217914921,0.0415086933729167
"bahn","German","train","nouns","vehicles","Bahn",17850,9.10175065177991,9.04240923681846,5.20812772512803,1.93939202871143,0.527422429872976,0.131024310453975
"ball","German","ball","nouns","toys","Ball",4878,10.3990188602118,10.3259095098791,4.63131505473741,1.49196405759688,0.408466835168065,0.157950774871577
"banane","German","banana","nouns","food_drink","Banane",156,13.8416534317382,11.4433627428333,4.89152810387488,1.25476433059836,0.258386932160302,0.052748837759589
