"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"一个","Mandarin (Beijing)","a","function_words","quantifiers","一个",199091,6.71612936034973,6.86051621207325,3.490325978885,0.847094222339571,0.162489967458928,0.0536602812716068
"一样","Mandarin (Beijing)","same","function_words","quantifiers","一样",28657,8.65449362556758,9.15376319438846,3.59290320917789,0.720004984493179,0.122959486544371,0.0305539188750996
"一点","Mandarin (Beijing)","a little","function_words","quantifiers","一点",7304,10.0214692236901,9.10100584442242,3.46261501342375,0.644202524991934,0.0707984317543956,0.0147817533549156
"三明治","Mandarin (Beijing)","sandwich","nouns","food_drink","三明治",684,12.3896887283424,10.9675608804841,3.71652805822904,1.05761823854585,0.486400123502508,0.322173644052879
"上","Mandarin (Beijing)","on","function_words","directions","上（面）",282419,6.36649958317369,5.89539580313703,2.21038661815723,0.483403207177401,0.136244520969616,0.0608899063183217
"上衣","Mandarin (Beijing)","shirt","nouns","clothing","上衣",648,12.4437559496127,9.64537070617016,2.89875888480991,0.398805963753326,0.073717443215321,0.0406946906043053
"下","Mandarin (Beijing)","down","verbs","action_words","下",130854,7.13580916911967,5.98127061405524,2.18856049077954,0.471721793367379,0.135866141498935,0.0693766248999284
"下巴","Mandarin (Beijing)","chin","nouns","body_parts","下巴",386,12.9618092765001,12.0698983752552,3.57140118111759,0.688842933030166,0.0786479318845618,0.0269231021315512
"下雨","Mandarin (Beijing)","rain","nouns","outside","下雨",941,12.0707035063796,11.5395729664062,3.56560754323637,0.661041562026222,0.143590279792007,0.0904804413086419
"不好","Mandarin (Beijing)","bad","adjectives","descriptive_words","不好",2870,10.9555793372113,10.194616822917,3.30395842802339,0.604943199453493,0.0819501365909709,0.0133692511100406
"不是","Mandarin (Beijing)","no","adjectives","descriptive_words","不是",37873,8.37565290982805,8.1579284316763,3.46659974060219,0.659277959801125,0.0873099744954116,0.0276368537477306
"为什么","Mandarin (Beijing)","why","function_words","question_words","为什么",3195,10.8483042791533,10.3720652022811,3.84970325131183,1.01317874894603,0.238941566847978,0.0971157844096861
"举","Mandarin (Beijing)","lift","verbs","action_words","举",1791,11.4271172439042,10.0936400685702,2.44467974399575,0.401164110385419,0.0879100611145852,0.0498505472652605
"乌鸦","Mandarin (Beijing)","crow","nouns","animals","乌鸦",1663,11.501268166772,10.6619240803445,3.48356431573919,0.75551624591343,0.232477783834297,0.138867885473935
"乌龟","Mandarin (Beijing)","turtle","nouns","animals","乌龟",718,12.3411770769167,11.5815836952401,3.79858985468269,0.825441614911661,0.286218438451676,0.196305493354253
"乐","Mandarin (Beijing)","smile","verbs","action_words","乐（一个）",5890,10.2366353693193,8.28736647864294,2.10007875262484,0.461707509507655,0.189068499716266,0.113527758237193
"乐","Mandarin (Beijing)","full","adjectives","descriptive_words","高兴/乐/开心",5890,10.2366353693193,8.28736647864294,2.10007875262484,0.461707509507655,0.189068499716266,0.113527758237193
"乐","Mandarin (Beijing)","happy","adjectives","descriptive_words","高兴/乐/开心",5890,10.2366353693193,8.28736647864294,2.10007875262484,0.461707509507655,0.189068499716266,0.113527758237193
"也","Mandarin (Beijing)","also","function_words","quantifiers","也",404839,6.00640190977681,6.79052682114189,2.85430328795289,0.616047431786334,0.121884256541585,0.0387971775730831
"书","Mandarin (Beijing)","book","nouns","toys","书",17325,9.15774082190684,7.63832439587772,2.24098682198156,0.465460337373025,0.0928197140211247,0.0301546848990401
"书包","Mandarin (Beijing)","bag","nouns","household","书包",191,13.6653732179183,12.5771926961575,4.29036221341774,0.762165117699438,0.141069904471322,0.0430828203690884
"买","Mandarin (Beijing)","buy","verbs","action_words","买",4884,10.4239268107344,9.66354878205963,3.25359771040766,0.586668923288785,0.123427747798281,0.0471651753560097
"云","Mandarin (Beijing)","cloud","nouns","outside","云",9345,9.77504992607529,7.55048304798276,2.07291999051037,0.537473949109201,0.216760884655626,0.122525993368393
"云彩","Mandarin (Beijing)","cloud","nouns","outside","云彩",153,13.8872087245725,13.5246682152081,3.75630076680734,0.509886294904141,0.0728575485290342,0.0130718954248366
"亲","Mandarin (Beijing)","kiss","verbs","action_words","亲",4923,10.4159732662067,10.0035470134717,3.38655749726715,0.812133398796232,0.238106138630332,0.125545016882317
"什么","Mandarin (Beijing)","what","function_words","question_words","什么",14448,9.33933537030818,8.84904022435234,3.62085385002084,0.718654120025089,0.100951561487907,0.0326957199441446
"他","Mandarin (Beijing)","he","function_words","pronouns","他(她)",457300,5.8845517363188,6.56025569866504,3.1892366381235,0.789272467906343,0.164627267771511,0.0490203925427088
"他 的","Mandarin (Beijing)","his","function_words","pronouns","他的",NA,NA,NA,NA,NA,NA,NA
"他们","Mandarin (Beijing)","them","function_words","pronouns","他们",101026,7.3945134575273,8.35816598948692,3.72709024051584,0.761424351497879,0.126063275240314,0.0301088307052339
"企鹅","Mandarin (Beijing)","penguin","nouns","animals","企鹅",2316,11.1700498072721,9.70675445315065,3.03906174417443,0.704879224184512,0.286857443110825,0.179087610151899
"会","Mandarin (Beijing)","can (auxiliary)","function_words","helping_verbs","会",204610,6.68878563880434,5.88927755745041,2.22889481795935,0.422002947308539,0.0669600934085668,0.0210276828753524
"会","Mandarin (Beijing)","can (auxiliary)","verbs","action_words","会",204610,6.68878563880434,5.88927755745041,2.22889481795935,0.422002947308539,0.0669600934085668,0.0210276828753524
"伞","Mandarin (Beijing)","umbrella","nouns","household","伞",1086,11.9273901454711,7.90994311894101,1.96542168458762,0.413969613940013,0.0983079561595506,0.074025262291529
"伤心","Mandarin (Beijing)","sad","adjectives","descriptive_words","伤心",1958,11.3379678228745,10.3094312023093,3.26649987545605,0.738335220700022,0.222135183628205,0.116852562799398
"你","Mandarin (Beijing)","you","function_words","pronouns","你",90605,7.50338196781869,7.10213240753064,2.37010150660226,0.502796420471917,0.148191499829575,0.0771639579325034
"你 的","Mandarin (Beijing)","your","function_words","pronouns","你的",NA,NA,NA,NA,NA,NA,NA
"你们","Mandarin (Beijing)","you","function_words","pronouns","你们",5083,10.383989728518,10.5009770281354,3.76738821031414,0.686661535251353,0.146518389998814,0.0647765366095667
"你们 的","Mandarin (Beijing)","your","function_words","pronouns","你们的",NA,NA,NA,NA,NA,NA,NA
"倒","Mandarin (Beijing)","dump","verbs","action_words","倒(垃圾)",4019,10.6188582515157,10.6031493988381,3.0108416414494,0.545126295137793,0.127586423410153,0.06941434560779
"假装","Mandarin (Beijing)","pretend","verbs","action_words","假装",1417,11.6613494062743,11.2957003079866,3.7249598587318,0.772384351054159,0.208035288311513,0.0962055416046366
"做 完","Mandarin (Beijing)","finish","verbs","action_words","做完",NA,NA,NA,NA,NA,NA,NA
"停","Mandarin (Beijing)","stop","verbs","action_words","停",2303,11.1756787461443,10.2235843380154,2.9278971832342,0.528462263970017,0.124411954171715,0.0471383981835524
"光","Mandarin (Beijing)","light (object)","nouns","household","光",15693,9.25667661392623,8.51781010850925,2.82211222899171,0.735738624007262,0.288766541543736,0.160351654781672
"兔子","Mandarin (Beijing)","bunny","nouns","animals","兔子",1808,11.4176701050128,10.6278834814056,3.43518150318689,0.693462630276003,0.263457800851357,0.146859472997519
"公共汽车","Mandarin (Beijing)","bus","nouns","vehicles","公共汽车",1852,11.3936252307588,9.77435258631342,3.11797642251695,0.642430038903324,0.202216987036381,0.10783092254827
"公园","Mandarin (Beijing)","park","nouns","outside","公园",45110,8.20078741556251,6.52830661432024,1.71271210760117,0.338953443080605,0.0928366203803521,0.0450013442461178
"公鸡","Mandarin (Beijing)","rooster","nouns","animals","公鸡",277,13.2936291397776,12.3592449593117,3.75976714817719,0.809491490342694,0.306417382799567,0.162588224875163
"关","Mandarin (Beijing)","close","verbs","action_words","关(门)",4954,10.4096960359156,8.90792957589927,2.18594969226343,0.485451248533481,0.196900696593327,0.105824391167381
"其它","Mandarin (Beijing)","other","function_words","pronouns","其它",12480,9.48576400404153,10.7165554466639,4.38699481072375,0.92942997304069,0.224451301985569,0.102718966733993
"写","Mandarin (Beijing)","write","verbs","action_words","写",16985,9.17756076537026,9.59259180005998,3.5867934291558,0.709357041972062,0.106528017302551,0.0281147706453478
"冰淇淋","Mandarin (Beijing)","ice cream","nouns","food_drink","冰淇淋",932,12.0803138312794,10.0484039831529,3.12681849369813,0.77239501210622,0.24383764483442,0.106141947866512
"冰箱","Mandarin (Beijing)","refrigerator","nouns","furniture_rooms","冰箱",711,12.3509742161617,11.5506169460601,3.04856189474767,0.463645218353927,0.119148195833569,0.0650009135900621
"冷","Mandarin (Beijing)","cold","adjectives","descriptive_words","冷",2435,11.1199446104483,10.269850293363,3.3046537742721,0.739550428513008,0.26916469964781,0.180309712702289
"凉鞋","Mandarin (Beijing)","sandals","nouns","clothing","凉鞋",103,14.2829176577353,12.4784693879329,3.01368137933353,0.789741951311718,0.209164958443348,0.0615519417755789
"几点","Mandarin (Beijing)","when (question)","function_words","question_words","几点",211,13.5657885124889,12.2421095130753,4.57513954068492,0.713420385923389,0.107418653635949,0.023696682464455
"刀","Mandarin (Beijing)","knife","nouns","household","刀",5297,10.3427507444204,7.98685594630981,2.19551999508427,0.348810636466,0.088526624354046,0.0477070602455881
"划","Mandarin (Beijing)","row row your boat","verbs","action_words","划(船)",1376,11.6907106274717,10.2085016250944,3.17201516713375,0.526946187399029,0.132094980721051,0.0497110094483537
