"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"a","Spanish (European)","to","function_words","locations","a (a dormir)",NA,NA,NA,NA,NA,NA,NA
"abajo","Spanish (European)","down","function_words","locations","abajo (debajo)",8424,9.96713626039479,8.92421732629018,3.50914743834558,1.26717905437442,0.357945557737161,0.0750146318190121
"abajo","Spanish (European)","below","function_words","locations","debajo/abajo",8424,9.96713626039479,8.92421732629018,3.50914743834558,1.26717905437442,0.357945557737161,0.0750146318190121
"abeja","Spanish (European)","bee","nouns","animals","abeja",616,12.5827293506751,14.2091995223837,7.57654805634062,3.06461938005478,1.40297080353362,0.577489955748568
"abrigo","Spanish (European)","coat","nouns","clothing","abrigo",965,12.1338482128696,13.9719669989283,7.25658721089896,2.68177331576797,0.895251605654312,0.297159021024476
"abrir","Spanish (European)","open (action)","verbs","action_words","abrir",3670,10.79802937316,11.5206983950241,6.23669728556273,2.64250656862486,0.834943930783831,0.181756534607674
"acabar","Spanish (European)","finish","verbs","action_words","terminar/acabar(se)",4125,10.6811550154398,11.249068763239,5.90509839106575,2.56981045692237,0.924718743586117,0.214446080792538
"aceituna","Spanish (European)","olive","nouns","food_drink","aceituna/s",236,13.542144509183,15.8004542204922,9.68812353689986,3.82470486182074,1.57766807859739,0.470927710105178
"aceitunas","Spanish (European)","olive","nouns","food_drink","aceituna/s",324,13.2252327984163,12.9985456968298,6.0489371339749,2.75959373592107,1.04960306585722,0.536545768839989
"adentro","Spanish (European)","inside","function_words","locations","dento/adentro",1608,11.6232298644697,9.85502140267088,3.48228234340758,0.950622259668737,0.265612723777576,0.105613325973693
"afuera","Spanish (European)","out","function_words","locations","fuera/afuera",1633,11.6078022212381,10.986301211198,4.87856302582812,1.66436620320194,0.416297459285562,0.108057647723237
"agua","Spanish (European)","water (beverage)","nouns","food_drink","agua",57689,8.0431545211346,8.99335754796988,4.09536032586696,2.00080951372721,0.676794178045088,0.172456582882487
"ahí","Spanish (European)","there","function_words","locations","ahí",9672,9.82898592191398,11.3670467054532,6.38578612186372,2.68888102325266,0.900828502782633,0.262451720977614
"al","Spanish (European)","to","function_words","locations","al",981868,5.20876415545905,5.35622676606566,3.2638623942019,1.46503151934661,0.542740158956102,0.203945397608584
"al lado","Spanish (European)","beside","function_words","locations","al lado",NA,NA,NA,NA,NA,NA,NA
"algo","Spanish (European)","something","function_words","pronouns","algo",21414,9.03417612149039,10.2969495199607,5.66461768507564,2.26630649333308,0.649077160889898,0.194761699175978
