"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"abajo","Spanish (Mexican)","down","function_words","locations","abajo",8424,9.96713626039479,8.92421732629018,3.50914743834558,1.26717905437442,0.357945557737161,0.0750146318190121
"abeja","Spanish (Mexican)","bee","nouns","animals","abeja",616,12.5827293506751,14.2091995223837,7.57654805634062,3.06461938005478,1.40297080353362,0.577489955748568
"abrir","Spanish (Mexican)","open (action)","verbs","action_words","abrir",3670,10.79802937316,11.5206983950241,6.23669728556273,2.64250656862486,0.834943930783831,0.181756534607674
"acabar","Spanish (Mexican)","finish","verbs","action_words","acabar(se)",4125,10.6811550154398,11.249068763239,5.90509839106575,2.56981045692237,0.924718743586117,0.214446080792538
"acabar","Spanish (Mexican)","finish","verbs","action_words","acabar",4125,10.6811550154398,11.249068763239,5.90509839106575,2.56981045692237,0.924718743586117,0.214446080792538
"adentro","Spanish (Mexican)","inside","function_words","locations","adentro",1608,11.6232298644697,9.85502140267088,3.48228234340758,0.950622259668737,0.265612723777576,0.105613325973693
"afuera","Spanish (Mexican)","out","function_words","locations","afuera",1633,11.6078022212381,10.986301211198,4.87856302582812,1.66436620320194,0.416297459285562,0.108057647723237
"agua","Spanish (Mexican)","water (beverage)","nouns","food_drink","agua",57689,8.0431545211346,8.99335754796988,4.09536032586696,2.00080951372721,0.676794178045088,0.172456582882487
"ahí","Spanish (Mexican)","there","function_words","locations","ahí",9672,9.82898592191398,11.3670467054532,6.38578612186372,2.68888102325266,0.900828502782633,0.262451720977614
"alberca","Spanish (Mexican)","pool","nouns","outside","alberca/piscina",269,13.4112649346068,14.5756782915773,8.99970178240658,3.53624816314678,1.69831048637291,0.43063534858991
"alla","Spanish (Mexican)","there","function_words","locations","alla/allí",774,12.3544044406189,7.02687628876153,2.7622851753497,1.20893017749489,0.637997060239758,0.354211111458372
"allí","Spanish (Mexican)","there","function_words","locations","alla/allí",29956,8.69849139683935,9.8617316787759,5.82979933999504,2.58877073618431,0.968416600117847,0.366470591905391
"almohada","Spanish (Mexican)","pillow","nouns","household","almohada",163,13.9122261134018,15.6907148110947,9.71113947795465,2.84859928245716,0.779924330308664,0.198662153647146
"amarillo","Spanish (Mexican)","yellow","adjectives","descriptive_words","amarillo",7911,10.0299668391872,8.50350711884211,4.81880942282548,2.0815698097822,0.753717699104648,0.288983442445195
