word,info_float,len,cnt,ngm
eilenburg,0.0,9,1,5
ausdrücken,1.127151747209403,10,17,5
marsflugzeug,0.0,12,1,5
尖沙咀,0.8812853965915748,3,3,5
auswinden,0.0,9,2,5
güterzugmodellen,0.0,16,1,5
his,3.2790421674628254,3,70,5
sandpanade,1.0,10,1,5
erlaube,0.7739760316291208,7,3,5
brauen,0.0,6,1,5
tanzbein,0.0,8,1,5
plastikbecher,0.0,13,4,5
合金,1.0,2,1,5
nebengleis,0.0,10,1,5
rumzuzetern,3.1699250014423126,11,1,5
einsam,0.32590568188374147,6,11,5
weißt,5.371742022035757,5,2040,5
zugehört,1.0,8,2,5
margarine,9.089534421262282,9,6,5
alexanderdengroßen,0.0,18,1,5
babumm,18.16157970255985,6,1,5
festgehalten,0.6643856189774724,12,5,5
墊,2.584962500721156,1,2,5
dictionary,0.0,10,1,5
bezweifeln,0.0,10,2,5
salzig,2.2701974628199815,6,8,5
geheimnisse,0.0,11,1,5
ziege,5.495415862756479,5,31,5
rausgehst,0.0,9,1,5
ki,6.463765170626167,2,6,5
parks,0.0,5,3,5
drangeht,0.0,8,1,5
aufdreht,0.0,8,1,5
wasserfest,0.0,10,2,5
berühmtes,2.923535051019108,9,4,5
willst,5.768588289330555,6,1874,5
hingetan,0.6093054839967991,8,35,5
einbahnstraßenschild,4.836212670985748,20,2,5
sicheres,0.0,8,2,5
schwippdiwuppdi,13.898695850984977,15,1,5
volk,0.0,4,3,5
round,2.2297158093186487,5,2,5
reingreifen,0.0,11,2,5
tor,3.9736754918896673,3,30,5
angele,5.321928094887363,6,2,5
fernsehhubschrauber,2.477098155193438,19,2,5
mühselig,0.9169925001442312,8,5,5
kontinente,3.922745025472188,10,2,5
watte,2.7553897125338613,5,10,5
einschmiert,0.0,11,2,5
festsaal,0.0,8,1,5
händebild,0.0,9,1,5
wegschleckern,0.0,13,1,5
itchy,4.416914176350214,5,3,5
jummy,11.944750078561526,5,2,5
hinundherbringen,0.0,16,1,5
scheitern,3.013486872151305,9,5,5
umgeworfen,0.0,10,1,5
bestückt,0.0,8,1,5
satellitenauto,4.805365497154128,14,10,5
bäckereien,0.0,10,3,5
活動場,0.0,3,1,5
legs,0.0,4,8,5
erfrischenden,0.0,13,1,5
vorgegangen,0.0,11,1,5
stieselig,0.0,9,1,5
gedrängte,0.0,9,1,5
offenburg,0.0,9,2,5
lutschi,0.0,7,1,5
rüberbauen,0.5,10,2,5
beobachten,2.592389411555796,10,9,5
teil,1.2056865378034498,4,401,5
上面,1.5031531454139917,2,171,5
helfe,5.214285453678946,5,76,5
zivilisiert,2.777294425838819,11,2,5
klapper,0.0,7,1,5
peterlustig,6.053859900853284,11,3,5
five,4.21704137095324,4,45,5
mühlräder,0.0,9,1,5
niemandem,0.0,9,1,5
wehtun,1.2638637456000832,6,20,5
staubig,2.504591249654714,7,12,5
freimachen,2.8332819623610686,10,3,5
wörtern,0.0,7,1,5
geliehen,0.29874687506009634,8,12,5
muffel,0.0,6,1,5
schulhofsmauer,0.0,14,2,5
schwimmend,0.0,10,1,5
pin2,0.0,4,1,5
müd,18.16157970255985,3,1,5
formuliert,0.5,10,2,5
zurückgedreht,5.044394119358453,13,1,5
untersuchungen,0.0,14,1,5
hingemacht,0.25,10,4,5
hannelore,10.47269083924278,9,1,5
schreibwarengeschäft,1.8515296172258793,20,3,5
准,0.0,1,4,5
mischmasch,7.539158811108031,10,1,5
hingeladen,1.0,10,2,5
ignoriert,3.0,9,1,5
ottern,0.0,6,1,5
zerrt,5.268282667994886,5,6,5
pospa,0.0,5,1,5
kitzelt,7.4205736635112105,7,16,5
abgetreten,0.0,10,1,5
kontraktion,1.0,11,1,5
superkind,1.0,9,1,5
wunderbarste,1.0,12,1,5
schwimme,11.564387696052629,8,2,5
ameischen,0.0,9,1,5
tauchen,2.0036234995490014,7,25,5
versteinerungen,0.0,15,1,5
verteidigungsmauern,0.0,19,1,5
heidnischer,0.0,11,1,5
erinnerste,17.16157970255985,10,2,5
photo,0.2,5,5,5
fünftes,0.0,7,1,5
rüberspringen,0.0,13,1,5
steif,0.7739760316291208,5,3,5
stühle,1.9738592500740089,6,44,5
heffalomp,0.0,9,1,5
angefahren,0.7236069688929629,10,26,5
fühlst,8.980207768485295,6,9,5
trink,9.246975870305263,5,47,5
kapitänshut,0.3333333333333333,11,3,5
maltechnik,0.0,10,1,5
kerlchen,0.1,8,10,5
gestrampelt,0.0,11,1,5
weggekauft,1.5283208335737186,10,3,5
holzperlen,11.45532722030456,10,1,5
kassettenhülle,0.0,14,1,5
中國,2.0,2,2,5
längst,2.4614406801457553,6,8,5
seemänner,2.584962500721156,9,1,5
trinkröhrchen,0.0,13,3,5
tänzelst,12.139231570719355,8,1,5
durchkitzeln,1.0,12,2,5
heideblitzka,18.16157970255985,12,1,5
prachtvolleren,0.0,14,1,5
rowing,1.8198105395457658,6,3,5
allinenstedt,0.0,12,2,5
kunstwerk,3.8323159405119704,9,5,5
runterhole,0.0,10,1,5
supermotor,18.16157970255985,10,1,5
bärenteil,4.459431618637297,9,1,5
bobbycar,2.1782383021716476,8,12,5
suchfixspiel,0.0,12,1,5
hinstreuen,0.0,10,1,5
kohlrabenschwarzen,0.0,18,1,5
flattern,4.998326389210188,8,9,5
körper,1.6157930776637022,6,23,5
anderswo,6.582180734427003,8,3,5
geschwiegen,18.16157970255985,11,1,5
salamander,3.245926548164838,10,2,5
dominoplättchen,4.247927513443586,15,1,5
pfropfen,0.5,8,2,5
hängematte,5.614709844115209,10,1,5
