word,info_float,len,cnt,ngm
胶布,8.039815306328943,2,2,2
喷嚏,6.296345348638731,2,4,2
kiwis,15.12778184658315,5,15,2
nickels,14.504252935158526,7,35,2
peepee,13.142072772897919,6,207,2
flowerfairies,16.778500694703585,13,1,2
ramble,18.71801772699389,6,1,2
last,9.614377043388737,4,6042,2
bloomin,14.34734453943155,7,1,2
yog,16.693691128830512,3,1,2
aiofe,14.487777241063759,5,1,2
teacherll,18.71801772699389,9,1,2
habit,14.582466203459287,5,28,2
barm,18.203878476732843,4,1,2
caribbean,19.72367629517828,9,3,2
knuckle,15.907808670128029,7,12,2
wigs,13.501954874457974,4,5,2
jama,15.764482881306044,4,1,2
pakistanflag,21.483575204401,12,1,2
cooped,13.110972607782895,6,1,2
auntydipsy,15.151877083408094,10,2,2
环境,0.5849625007211563,2,2,2
faintly,18.138360624566133,7,2,2
wacoowacoo,13.948093414791861,10,1,2
closed,11.088555498907912,6,902,2
thepelphelpfish,12.988684686772167,15,1,2
numnumnumnum,11.108024999924071,12,4,2
wahwahwahbwah,21.483575204401,13,1,2
sechcanz,21.483575204401,8,1,2
brittany,13.802563103452263,8,172,2
splosh,8.852621370022222,6,13,2
弹,12.057338675074838,1,15,2
cassiswell,8.566054038171092,10,1,2
kolea,12.988684686772167,5,1,2
dears,12.684995652148109,5,16,2
cashed,18.410338226165536,6,2,2
estados,7.129283016944967,7,1,2
kimberly,14.550948755362333,8,81,2
crescents,14.376668061857668,9,1,2
tra,15.109025042537203,3,8,2
roosting,11.855207483069856,8,2,2
照妖镜,9.596189756144412,3,1,2
crèche,15.128877410013915,6,4,2
cringe,15.987963997808315,6,2,2
nummies,16.005745390110192,7,5,2
晃,8.315090894797228,1,2,2
cyclone,9.129273816025057,7,2,2
felice,17.900662807161254,6,3,2
matthewll,16.00516398511255,9,1,2
hatched,13.000498811706505,7,24,2
agibl,21.483575204401,5,1,2
acted,14.328456720122091,5,3,2
forgit,16.45232168825923,6,1,2
hasty,15.457284679094222,5,1,2
brab,18.71801772699389,4,1,2
landrover,14.931844535766446,9,26,2
wdforty,12.988684686772167,7,1,2
source,13.928514813330043,6,10,2
hint,12.303950068516578,4,94,2
deutsch,7.90086680798075,7,1,2
stromboli,14.068888055211744,9,11,2
jum,14.026395553769712,3,4,2
geography,14.39635920736105,9,4,2
shopkeeper,13.085712834289028,10,92,2
auntcindys,15.32678056760998,10,1,2
masterpiece,13.687535152588604,11,20,2
小小,8.063151227588065,2,5,2
stuart,14.279870840660896,6,162,2
someonell,20.483575204401,9,2,2
cockadoodoodoo,9.083922483545091,14,3,2
braddock,4.672425341971495,8,2,2
wherejou,21.483575204401,8,1,2
rescued,12.895057096837801,7,76,2
drrit,15.463300850616355,5,1,2
yo,10.785910027697563,2,216,2
wynkinblynkinandnod,21.483575204401,19,1,2
laurens,17.640676105407962,7,13,2
childminder,14.179153269881356,11,22,2
maxwell,16.17429459773997,7,8,2
lightninged,18.183494849867433,11,1,2
hully,8.857980995127573,5,1,2
theman,16.89217397479078,6,2,2
buwawbu,21.483575204401,7,1,2
egg,8.769243145606982,3,2550,2
missing,10.097907640306973,7,1353,2
bluetak,15.237289851755069,7,5,2
meme,15.435539624573469,4,7,2
chitlins,16.144200159045127,8,1,2
toxies,14.665446957788724,6,1,2
robinhoods,15.758093058105029,10,1,2
flirty,13.81177605532666,6,1,2
disk,11.98231842709555,4,20,2
pleasie,15.638011596076543,7,1,2
hermit,15.906339675772383,6,14,2
broked,15.662516941586404,6,15,2
仔细,9.788496779015718,2,2,2
trinas,15.064674906412325,6,5,2
swearing,15.55607853619071,8,5,2
squeaksqueak,15.611210526730892,12,6,2
发散性,11.821375392372538,3,1,2
topically,19.169225282798195,9,1,2
compacter,18.71801772699389,9,1,2
好听,7.150174265714312,2,12,2
concern,13.013382150670832,7,9,2
emilyelizabeth,17.730635976019,14,1,2
grateful,12.77123357730829,8,18,2
chillys,12.550073213314946,7,2,2
dein,16.13472711773136,4,1,2
overtired,14.768411360224206,9,2,2
