"","word_clean"
"1","ein"
"2","einer"
"3","eine"
"4","ein bisschen"
"5","über"
"6","Flugzeug"
"7","auch"
"8","Tier"
"9","andere"
"10","anderer"
"11","Ameise"
"12","Apfel"
"13","Arm"
"14","Sessel"
"15","weg"
"16","zurück"
"17","schlecht"
"18","böse"
"19","Ball"
"20","Luftballon"
"21","Banane"
"22","Klo"
"23","Badezimmer"
"24","Badewanne"
"25","jeder"
"26","Bohnen"
"27","Bär"
"28","Bett"
"29","Schlafzimmer"
"30","Biene"
"31","Bauchnabel"
"32","Lätzchen"
"33","Fahrrad"
"34","groß"
"35","Vogel"
"36","beißen"
"37","schwarz"
"38","Decke"
"39","pusten"
"40","blau"
"41","Schiff"
"42","Buch"
"43","Stiefel"
"44","Flasche"
"45","Dose"
"46","Brot"
"47","kaputt machen"
"48","bringen"
"49","kaputt"
"50","Besen"
"51","Bürste"
"52","Eimer"
"53","Käfer"
"54","Brötchen"
"55","Hase"
"56","Bus"
"57","Popo"
"58","Butter"
"59","Schmetterling"
"60","kaufen"
"61","Kakao"
"62","Kuchen"
"63","Kamera"
"64","kann"
"65","können"
"66","Auto"
"67","vorsichtig"
"68","tragen"
"69","Katze"
"70","fangen"
"71","Müsli"
"72","Wange"
"73","Käse"
"74","Küken"
"75","Huhn"
"76","Kinn"
"77","Schokolade"
"78","klatschen"
"79","sauber machen"
"80","aufräumen"
"81","sauber"
"82","klettern"
"83","Uhr"
"84","zumachen"
"85","Wolke"
"86","Mantel"
"87","Kaffee"
"88","kalt"
"89","Kamm"
"90","Keks"
"91","Sofa"
"92","zudecken"
"93","Deckel"
"94","Kuh"
"95","Krokodil"
"96","weinen"
"97","Becher"
"98","Tasse"
"99","niedlich"
"100","tanzen"
"101","dunkel"
"102","Reh"
"103","Windel"
"104","schmutzig"
"105","Hund"
"106","Puppe"
"107","Esel"
"108","Tür"
"109","malen"
"110","zeichnen"
"111","Schublade"
"112","Kleid"
"113","trinken"
"114","fahren"
"115","trocknen"
"116","trocken"
"117","Ente"
"118","Ohr"
"119","essen"
"120","Elefant"
"121","leer"
"122","Auge"
"123","Gesicht"
"124","fallen"
"125","schnell"
"126","füttern"
"127","Füße"
"128","finden"
"129","fein"
"130","Finger"
"131","fertig machen"
"132","Blume"
"133","Fliege"
"134","Essen"
"135","für"
"136","bei"
"137","Gabel"
"138","Fuchs"
"139","Frosch"
"140","voll"
"141","Garage"
"142","Garten"
"143","kriegen"
"144","Giraffe"
"145","geben"
"146","Glas"
"147","Handschuhe"
"148","spazieren gehen"
"149","gut"
"150","Gans"
"151","Weintrauben"
"152","Gras"
"153","grün"
"154","Haare"
"155","Hammer"
"156","Hand"
"157","hart"
"158","Mütze"
"159","haben"
"160","er"
"161","Kopf"
"162","hören"
"163","schwer"
"164","Igel"
"165","helfen"
"166","ihr"
"167","hier"
"168","verstecken"
"169","hoch"
"170","ihm"
"171","Nilpferd"
"172","sein"
"173","stoßen"
"174","hauen"
"175","schlagen"
"176","halten"
"177","Honig"
"178","Pferd"
"179","heiß"
"180","wie"
"181","beeilen"
"182","verletzt"
"183","Eis"
"184","in"
"185","rein"
"186","es"
"187","Jacke"
"188","Marmelade"
"189","Jeans"
"190","Saft"
"191","springen"
"192","Schlüssel"
"193","Schüssel"
"194","treten"
"195","küssen"
"196","Küche"
"197","Knie"
"198","Messer"
"199","Leiter"
"200","Lampe"
"201","lachen"
"202","Bein"
"203","lecken"
"204","aufheben"
"205","Licht"
"206","so"
"207","Löwe"
"208","klein"
"209","Wohnzimmer"
"210","laut"
"211","machen"
"212","viel"
"213","mich"
"214","mir"
"215","Fleisch"
"216","Medizin"
"217","Milch"
"218","meiner"
"219","Affe"
"220","Mond"
"221","mehr"
"222","Motorrad"
"223","Maus"
"224","Mund"
"225","mein"
"226","Nagel"
"227","neu"
"228","nett"
"229","kein"
"230","keiner"
"231","keine"
"232","Nase"
"233","nicht"
"234","nichts"
"235","von"
"236","aus"
"237","alt"
"238","auf"
"239","öffnen"
"240","orange"
"241","Orange"
"242","unser"
"243","Eule"
"244","Schlafanzug"
"245","Pfannkuchen"
"246","Unterhose"
"247","Hose"
"248","Papier"
"249","Nudeln"
"250","Birne"
"251","Stift"
"252","Pinguin"
"253","Penis"
"254","Bild"
"255","Schwein"
"256","Kissen"
"257","Pizza"
"258","Pflanze"
"259","Teller"
"260","spielen"
"261","Pony"
"262","Geschenk"
"263","schön"
"264","Pudding"
"265","ziehen"
"266","drücken"
"267","stellen"
"268","ruhig"
"269","Radio"
"270","Regen"
"271","lesen"
"272","rot"
"273","Kühlschrank"
"274","reiten"
"275","Dach"
"276","Zimmer"
"277","traurig"
"278","dasselbe"
"279","Butterbrot"
"280","Soße"
"281","sagen"
"282","Schal"
"283","Schere"
"284","sehen"
"285","schütteln"
"286","Schaf"
"287","Hemd"
"288","Tshirt"
"289","Schuh"
"290","soll"
"291","sollst"
"292","Schaufel"
"293","zeigen"
"294","Dusche"
"295","krank"
"296","singen"
"297","Spüle"
"298","sitzen"
"299","Himmel"
"300","schlafen"
"301","Rutsche"
"302","langsam"
"303","Schlange"
"304","Schnee"
"305","Schneeanzug"
"306","Seife"
"307","Socken"
"308","weich"
"309","Suppe"
"310","Spaghetti"
"311","Spinne"
"312","kleckern"
"313","Spinat"
"314","spritzen"
"315","Löffel"
"316","Eichhörnchen"
"317","Treppe"
"318","stehen"
"319","Stock"
"320","Stein"
"321","aufhören"
"322","Herd"
"323","Straße"
"324","Zucker"
"325","Sonne"
"326","Pullover"
"327","schwimmen"
"328","schaukeln"
"329","Schaukel"
"330","Tisch"
"331","nehmen"
"332","reden"
"333","Tee"
"334","reißen"
"335","Teddy"
"336","Telefon"
"337","die"
"338","der"
"339","ihnen"
"340","da"
"341","dies"
"342","diese"
"343","schmeißen"
"344","werfen"
"345","kitzeln"
"346","Tiger"
"347","Strumpfhose"
"348","müde"
"349","an"
"350","um"
"351","Toast"
"352","Zeh"
"353","Tomate"
"354","Zunge"
"355","Zahn"
"356","Zahnbürste"
"357","anfassen"
"358","Handtuch"
"359","Spielzeug"
"360","Trecker"
"361","Bahn"
"362","Müll"
"363","wegwerfen"
"364","Baum"
"365","Lastwagen"
"366","Bauch"
"367","Schildkröte"
"368","Fernseher"
"369","unter"
"370","uns"
"371","Staubsauger"
"372","Scheide"
"373","gehen"
"374","laufen"
"375","wollen"
"376","waschen"
"377","Waschmaschine"
"378","zugucken"
"379","gucken"
"380","Wasser"
"381","wir"
"382","nass"
"383","was"
"384","wann"
"385","wo"
"386","welche"
"387","weiß"
"388","wer"
"389","warum"
"390","Wind"
"391","Fenster"
"392","wischen"
"393","mit"
"394","Wolf"
"395","arbeiten"
"396","schreiben"
"397","Hof"
"398","gelb"
"399","Joghurt"
"400","euch"
"401","du"
"402","dein"
"403","Toilette"
"404","Apfelsine"
