language,uni_lemma,lexical_class,category,definition,word_clean
German,a,function_words,quantifiers,ein,ein
German,a,function_words,quantifiers,einer,einer
German,a,function_words,quantifiers,eine,eine
German,a little,function_words,quantifiers,ein bisschen,ein bisschen
German,above,function_words,locations,über,über
German,airplane,nouns,vehicles,Flugzeug,Flugzeug
German,also,function_words,quantifiers,auch,auch
German,animal,nouns,animals,Tier,Tier
German,another,function_words,quantifiers,andere,andere
German,another,function_words,quantifiers,anderer,anderer
German,ant,nouns,animals,Ameise,Ameise
German,apple,nouns,food_drink,Apfel,Apfel
German,arm,nouns,body_parts,Arm,Arm
German,armchair,nouns,furniture_rooms,Sessel,Sessel
German,away,function_words,locations,weg,weg
German,back,function_words,locations,zurück,zurück
German,bad,adjectives,descriptive_words,schlecht,schlecht
German,bad,adjectives,descriptive_words,böse,böse
German,ball,nouns,toys,Ball,Ball
German,balloon,nouns,toys,Luftballon,Luftballon
German,banana,nouns,food_drink,Banane,Banane
German,bathroom,nouns,furniture_rooms,Klo/Toilette,Klo
German,bathroom,nouns,furniture_rooms,Badezimmer,Badezimmer
German,bathtub,nouns,furniture_rooms,Badewanne,Badewanne
German,beach,function_words,quantifiers,jeder,jeder
German,beans,nouns,food_drink,Bohnen,Bohnen
German,bear,nouns,animals,Bär,Bär
German,bed,nouns,furniture_rooms,Bett,Bett
German,bedroom,nouns,furniture_rooms,Schlafzimmer,Schlafzimmer
German,bee,nouns,animals,Biene,Biene
German,belly button,nouns,body_parts,Bauchnabel,Bauchnabel
German,bib,nouns,clothing,Lätzchen,Lätzchen
German,bicycle,nouns,vehicles,Fahrrad,Fahrrad
German,big,adjectives,descriptive_words,groß,groß
German,bird,nouns,animals,Vogel,Vogel
German,bite,verbs,action_words,beißen,beißen
German,black,adjectives,descriptive_words,schwarz,schwarz
German,blanket,nouns,household,Decke,Decke
German,blow,verbs,action_words,pusten,pusten
German,blue,adjectives,descriptive_words,blau,blau
German,boat,nouns,vehicles,Schiff,Schiff
German,book,nouns,toys,Buch,Buch
German,boots,nouns,clothing,Stiefel,Stiefel
German,bottle,nouns,household,Flasche,Flasche
German,box,nouns,household,Dose,Dose
German,bread,nouns,food_drink,Brot,Brot
German,break,verbs,action_words,kaputt machen,kaputt machen
German,bring,verbs,action_words,bringen,bringen
German,broken,adjectives,descriptive_words,kaputt,kaputt
German,broom,nouns,household,Besen,Besen
German,brush (object),nouns,household,Bürste,Bürste
German,bucket,nouns,household,Eimer,Eimer
German,bug,nouns,animals,Käfer,Käfer
German,bun,nouns,food_drink,Brötchen,Brötchen
German,bunny,nouns,animals,Hase,Hase
German,bus,nouns,vehicles,Bus,Bus
German,butt,nouns,body_parts,Popo,Popo
German,butter,nouns,food_drink,Butter,Butter
German,butterfly,nouns,animals,Schmetterling,Schmetterling
German,buy,verbs,action_words,kaufen,kaufen
German,cacao,nouns,food_drink,Kakao,Kakao
German,cake,nouns,food_drink,Kuchen,Kuchen
German,camera,nouns,household,Kamera,Kamera
German,can (auxiliary),function_words,helping_verbs,kann,kann
German,can (auxiliary),function_words,helping_verbs,können,können
German,car,nouns,vehicles,Auto,Auto
German,careful,adjectives,descriptive_words,vorsichtig,vorsichtig
German,carry,verbs,action_words,tragen,tragen
German,cat,nouns,animals,Katze,Katze
German,catch,verbs,action_words,fangen,fangen
German,cereal,nouns,food_drink,Müsli,Müsli
German,cheek,nouns,body_parts,Wange,Wange
