"","word_clean"
"1","a"
"2","an"
"3","a lot"
"4","about"
"5","above"
"6","airplane"
"7","all"
"8","all gone"
"9","alligator"
"10","am"
"11","and"
"12","animal"
"13","ankle"
"14","another"
"15","ant"
"16","any"
"17","apple"
"18","applesauce"
"19","are"
"20","arm"
"21","around"
"22","asleep"
"23","at"
"24","awake"
"25","away"
"26","back"
"27","bad"
"28","ball"
"29","balloon"
"30","banana"
"31","basement"
"32","basket"
"33","bat"
"34","bathroom"
"35","bathtub"
"36","be"
"37","beach"
"38","beads"
"39","beans"
"40","bear"
"41","because"
"42","bed"
"43","bedroom"
"44","bee"
"45","behind"
"46","belly button"
"47","belt"
"48","bench"
"49","beside"
"50","better"
"51","bib"
"52","bicycle"
"53","big"
"54","bird"
"55","bite"
"56","black"
"57","blanket"
"58","block"
"59","blow"
"60","blue"
"61","boat"
"62","book"
"63","boots"
"64","bottle"
"65","bowl"
"66","box"
"67","bread"
"68","break"
"69","bring"
"70","broken"
"71","broom"
"72","brown"
"73","brush"
"74","bubbles"
"75","bucket"
"76","bug"
"77","build"
"78","bump"
"79","bunny"
"80","bus"
"81","but"
"82","buttocks"
"83","butter"
"84","butterfly"
"85","button"
"86","buy"
"87","by"
"88","cake"
"89","camera"
"90","can"
"91","candy"
"92","car"
"93","careful"
"94","carrots"
"95","carry"
"96","cat"
"97","catch"
"98","cereal"
"99","chair"
"100","chalk"
"101","chase"
"102","cheek"
"103","cheerios"
"104","cheese"
"105","chicken"
"106","chin"
"107","potato chip"
"108","chocolate"
"109","church"
"110","clap"
"111","clean"
"112","climb"
"113","clock"
"114","close"
"115","closet"
"116","cloud"
"117","coat"
"118","coffee"
"119","coke"
"120","cold"
"121","comb"
"122","cook"
"123","cookie"
"124","corn"
"125","couch"
"126","could"
"127","cover"
"128","cow"
"129","cracker"
"130","crayon"
"131","crib"
"132","cry"
"133","cup"
"134","cut"
"135","cute"
"136","dance"
"137","dark"
"138","deer"
"139","diaper"
"140","did"
"141","dirty"
"142","dish"
"143","do"
"144","does"
"145","dog"
"146","doll"
"147","dont"
"148","donkey"
"149","donut"
"150","door"
"151","down"
"152","draw"
"153","drawer"
"154","dress"
"155","drink"
"156","drive"
"157","drop"
"158","dry"
"159","dryer"
"160","duck"
"161","dump"
"162","each"
"163","ear"
"164","eat"
"165","egg"
"166","elephant"
"167","empty"
"168","every"
"169","eye"
"170","face"
"171","fall"
"172","fast"
"173","feed"
"174","find"
"175","fine"
"176","finger"
"177","finish"
"178","firetruck"
"179","first"
"180","fish"
"181","fit"
"182","fix"
"183","flag"
"184","flower"
"185","food"
"186","foot"
"187","for"
"188","fork"
"189","french fries"
"190","frog"
"191","full"
"192","game"
"193","garage"
"194","garbage"
"195","garden"
"196","gentle"
"197","get"
"198","giraffe"
"199","give"
"200","glass"
"201","glasses"
"202","gloves"
"203","glue"
"204","go"
"205","gonna"
"206","good"
"207","goose"
"208","gotta"
"209","grapes"
"210","grass"
"211","green"
"212","green beans"
"213","gum"
"214","hafta"
"215","hair"
"216","hamburger"
"217","hammer"
"218","hand"
"219","happy"
"220","hard"
"221","hat"
"222","hate"
"223","have"
"224","he"
"225","head"
"226","hear"
"227","heavy"
"228","helicopter"
"229","help"
"230","hen"
"231","her"
"232","here"
"233","hers"
"234","hide"
"235","high"
"236","high chair"
"237","him"
"238","his"
"239","hit"
"240","hold"
"241","home"
"242","horse"
"243","hose"
"244","hot"
"245","house"
"246","how"
"247","hug"
"248","hungry"
"249","hurry"
"250","hurt"
"251","i"
"252","ice"
"253","ice cream"
"254","if"
"255","in"
"256","inside"
"257","into"
"258","is"
"259","it"
"260","jacket"
"261","jar"
"262","jeans"
"263","jello"
"264","jelly"
"265","juice"
"266","jump"
"267","keys"
"268","kick"
"269","kiss"
"270","kitchen"
"271","kitty"
"272","knee"
"273","knife"
"274","knock"
"275","ladder"
"276","lamb"
"277","lamp"
"278","last"
"279","lawn mower"
"280","leg"
"281","lemme"
"282","lick"
"283","light"
"284","like"
"285","lion"
"286","lips"
"287","listen"
"288","little"
"289","living room"
"290","lollipop"
"291","long"
"292","look"
"293","loud"
"294","love"
"295","mad"
"296","make"
"297","me"
"298","meat"
"299","medicine"
"300","melon"
"301","milk"
"302","mine"
"303","mittens"
"304","money"
"305","monkey"
"306","moon"
"307","moose"
"308","mop"
"309","more"
"310","motorcycle"
"311","mouse"
"312","mouth"
"313","much"
"314","muffin"
"315","my"
"316","myself"
"317","nail"
"318","napkin"
"319","naughty"
"320","necklace"
"321","need"
"322","new"
"323","next to"
"324","nice"
"325","noisy"
"326","none"
"327","nose"
"328","not"
"329","nuts"
"330","of"
"331","off"
"332","old"
"333","on"
"334","on top of"
"335","open"
"336","orange"
"337","other"
"338","our"
"339","out"
"340","outside"
"341","oven"
"342","over"
"343","owie"
"344","owl"
"345","paint"
"346","pajamas"
"347","pancake"
"348","pants"
"349","paper"
"350","park"
"351","party"
"352","noodles"
"353","spaghetti"
"354","peanut butter"
"355","peas"
"356","pen"
"357","pencil"
"358","penguin"
"359","penis"
"360","penny"
"361","pick"
"362","pickle"
"363","picture"
"364","pig"
"365","pillow"
"366","pizza"
"367","plant"
"368","plate"
"369","play"
"370","play dough"
"371","play pen"
"372","pony"
"373","pool"
"374","poor"
"375","popcorn"
"376","popsicle"
"377","porch"
"378","potato"
"379","potty"
"380","pour"
"381","present"
"382","pretend"
"383","pretty"
"384","pretzel"
"385","pudding"
"386","pull"
"387","pumpkin"
"388","puppy"
"389","purse"
"390","push"
"391","put"
"392","puzzle"
"393","quiet"
"394","radio"
"395","rain"
"396","raisin"
"397","read"
"398","red"
"399","refrigerator"
"400","ride"
"401","rip"
"402","rock"
"403","rocking chair"
"404","roof"
"405","room"
"406","rooster"
"407","run"
"408","sad"
"409","salt"
"410","same"
"411","sandbox"
"412","sandwich"
"413","sauce"
"414","say"
"415","scared"
"416","scarf"
"417","school"
"418","scissors"
"419","see"
"420","shake"
"421","share"
"422","she"
"423","sheep"
"424","shirt"
"425","shoe"
"426","shorts"
"427","shoulder"
"428","shovel"
"429","show"
"430","shower"
"431","sick"
"432","sidewalk"
"433","sing"
"434","sink"
"435","sit"
"436","skate"
"437","sky"
"438","sled"
"439","sleep"
"440","sleepy"
"441","slide"
"442","slipper"
"443","slow"
"444","smile"
"445","sneaker"
"446","snow"
"447","snowman"
"448","snowsuit"
"449","so"
"450","soap"
"451","sock"
"452","soda"
"453","sofa"
"454","soft"
"455","some"
"456","soup"
"457","spill"
"458","splash"
"459","spoon"
"460","sprinkler"
"461","squirrel"
"462","stairs"
"463","stand"
"464","star"
"465","stay"
"466","stick"
"467","sticky"
"468","stone"
"469","stop"
"470","store"
"471","story"
"472","stove"
"473","strawberry"
"474","street"
"475","stroller"
"476","stuck"
"477","sun"
"478","sweater"
"479","sweep"
"480","swim"
"481","swing"
"482","table"
"483","take"
"484","talk"
"485","tape"
"486","taste"
"487","tear"
"488","teddybear"
"489","telephone"
"490","that"
"491","the"
"492","their"
"493","them"
"494","then"
"495","there"
"496","these"
"497","they"
"498","think"
"499","thirsty"
"500","this"
"501","those"
"502","throw"
"503","tickle"
"504","tiger"
"505","tights"
"506","tiny"
"507","tired"
"508","tissue"
"509","to"
"510","toast"
"511","toe"
"512","tongue"
"513","too"
"514","tooth"
"515","toothbrush"
"516","touch"
"517","towel"
"518","toy"
"519","tractor"
"520","train"
"521","trash"
"522","tray"
"523","tree"
"524","tricycle"
"525","truck"
"526","try"
"527","tummy"
"528","tuna"
"529","turkey"
"530","turtle"
"531","tv"
"532","under"
"533","underpants"
"534","up"
"535","us"
"536","vacuum"
"537","vagina"
"538","vanilla"
"539","vitamins"
"540","wait"
"541","wake"
"542","walk"
"543","walker"
"544","wanna"
"545","was"
"546","wash"
"547","washing machine"
"548","watch"
"549","water"
"550","we"
"551","were"
"552","wet"
"553","what"
"554","when"
"555","where"
"556","which"
"557","white"
"558","who"
"559","why"
"560","will"
"561","wind"
"562","window"
"563","windy"
"564","wipe"
"565","wish"
"566","with"
"567","wolf"
"568","work"
"569","would"
"570","write"
"571","backyard"
"572","yellow"
"573","yogurt"
"574","you"
"575","your"
"576","yourself"
"577","yucky"
"578","zebra"
"579","zipper"
"580","zoo"
"581","bottom"
"582","did ya"
"583","going to"
"584","got to"
"585","have to"
"586","let me"
"587","need to"
"588","boo boo"
"589","pop"
"590","kleenex"
"591","try to"
"592","want to"
"593","plane"
"594","bath"
"595","bellybutton"
"596","boot"
"597","breasts"
"598","beanie"
"599","carrot"
"600","shut"
"601","computer"
"602","biscuit"
"603","cot"
"604","crocodile"
"605","mug"
"606","nappy"
"607","easy"
"608","fire truck"
"609","jam"
"610","kangaroo"
"611","lolly"
"612","motorbike"
"613","nails"
"614","neck"
"615","pyjamas"
"616","pasta"
"617","photo"
"618","veranda"
"619","fridge"
"620","thongs"
"621","smell"
"622","snake"
"623","spider"
"624","pram"
"625","jumper"
"626","yummy"
"627","teddy bear"
"628","tell"
"629","stomach"
"630","wall"
"631","wardrobe"
"632","yoghurt"
"633","navel"
"634","bike"
"635","brick"
"636","rabbit"
"637","bickie"
"638","lounge"
"639","fire engine"
"640","feet"
"641","roo"
"642","lounge room"
"643","jamies"
"644","wallet"
"645","phone"
"646","teeth"
"647","rubbish"
"648","undies"
"649","again"
"650","aeroplane"
"651","bin"
"652","bubble"
"653","settee"
"654","key"
"655","kitten"
"656","motor-bike"
"657","dummy"
"658","trousers"
"659","spade"
"660","pushchair"
"661","cooker"
"662","tea"
"663","lorry"
"664","hoover"
"665","zip"
"666","tummy button"
"667","specs"
"668","buggy"
"669","television"
