"","word_clean"
"1","un"
"2","plein"
"3","au dessus de"
"4","encore"
"5","avion"
"6","tous"
"7","parti"
"8","aussi"
"9","et"
"10","animal"
"11","un autre"
"12","fourmi"
"13","pomme"
"14","bras"
"15","fauteuil"
"16","endormi"
"17","à"
"18","être réveillé"
"19","sac"
"20","balle"
"21","ballon"
"22","banane"
"23","panier"
"24","baignoire"
"25","salle de bain"
"26","perles"
"27","ours"
"28","beau"
"29","joli"
"30","parce que"
"31","lit"
"32","chambre"
"33","abeille"
"34","derrière"
"35","nombril"
"36","bavoir"
"37","vélo"
"38","grand"
"39","oiseau"
"40","mordre"
"41","noir"
"42","couverture"
"43","souffler"
"44","bleu"
"45","bateau"
"46","livre"
"47","bottes"
"48","biberon"
"49","bouteille"
"50","bol"
"51","boîte"
"52","pain"
"53","casser"
"54","apporter"
"55","cassé"
"56","balai"
"57","marron"
"58","brosse"
"59","bulles"
"60","seau"
"61","construire"
"62","lapin"
"63","bus"
"64","fesses"
"65","beurre"
"66","papillon"
"67","boutons"
"68","acheter"
"69","gâteau"
"70","appareil photo"
"71","bonbons"
"72","voiture"
"73","carotte"
"74","porter"
"75","chat"
"76","attraper"
"77","céréales"
"78","chaise"
"79","craie"
"80","courir après"
"81","joue"
"82","fromage"
"83","poule"
"84","poulet"
"85","menton"
"86","chips"
"87","chocolat"
"88","nettoyer"
"89","propre"
"90","clémentine"
"91","grimper"
"92","horloge"
"93","fermer"
"94","nuage"
"95","manteau"
"96","café"
"97","froid"
"98","peigne"
"99","compote"
"100","cuisiner"
"101","canapé"
"102","couvrir"
"103","vache"
"104","berceau"
"105","crocodile"
"106","pleurer"
"107","tasse"
"108","couper"
"109","mignon"
"110","danser"
"111","sombre"
"112","biche"
"113","couche"
"114","sale"
"115","plat"
"116","fait"
"117","chien"
"118","poupée"
"119","âne"
"120","porte"
"121","en bas"
"122","dessiner"
"123","tiroir"
"124","robe"
"125","boire"
"126","boisson"
"127","conduire"
"128","sécher"
"129","sec"
"130","canard"
"131","jeter"
"132","oreille"
"133","manger"
"134","œuf"
"135","éléphant"
"136","vide"
"137","yeux"
"138","figure"
"139","tomber"
"140","loin"
"141","au loin"
"142","vite"
"143","nourrir"
"144","trouver"
"145","doigt"
"146","finir"
"147","camion de pompier"
"148","premier"
"149","fleur"
"150","nourriture"
"151","pied"
"152","fourchette"
"153","grenouille"
"154","garage"
"155","jardin"
"156","être debout"
"157","girafe"
"158","donner"
"159","verre"
"160","lunettes"
"161","gants"
"162","colle"
"163","aller"
"164","chèvre"
"165","bien"
"166","bon"
"167","oie"
"168","raisin"
"169","herbe"
"170","vert"
"171","cheveux"
"172","marteau"
"173","main"
"174","content"
"175","dur"
"176","chapeau"
"177","avoir"
"178","il"
"179","tête"
"180","entendre"
"181","lourd"
"182","hélicoptère"
"183","aider"
"184","ici"
"185","à elle"
"186","cacher"
"187","haut"
"188","chaise haute"
"189","lui"
"190","à lui"
"191","ses"
"192","taper"
"193","tenir"
"194","cheval"
"195","chaud"
"196","comment"
"197","faim"
"198","blessé"
"199","je"
"200","glace"
"201","si"
"202","dans"
"203","dedans"
"204","à l'intérieur de"
"205","veste"
"206","confiture"
"207","jeans"
"208","jus de fruit"
"209","sauter"
"210","clefs"
"211","donner un coup de pied"
"212","bisou"
"213","cuisine"
"214","bébé chat"
"215","genou"
"216","couteau"
"217","frapper à la porte"
"218","échelle"
"219","agneau"
"220","lampe"
"221","tondeuse à gazon"
"222","jambe"
"223","lécher"
"224","lumière"
"225","lion"
"226","lèvre"
"227","écouter"
"228","un peu"
"229","petit"
"230","minuscule"
"231","salon"
"232","long"
"233","regarder"
"234","bruyant"
"235","aimer"
"236","moi"
"237","viande"
"238","médicaments"
"239","lait"
"240","à moi"
"241","moufles"
"242","argent"
"243","singe"
"244","lune"
"245","moto"
"246","souris"
"247","bouche"
"248","musique"
"249","ma"
"250","moi-même"
"251","clou"
"252","coquin"
"253","collier"
"254","neuf"
"255","gentil"
"256","aucun"
"257","nez"
"258","pas"
"259","ne"
"260","de"
"261","vieux"
"262","sur"
"263","ouvrir"
"264","autre"
"265","notre"
"266","four"
"267","salopette"
"268","aïe"
"269","bobo"
"270","hibou"
"271","faire de la peinture"
"272","pyjama"
"273","pantalon"
"274","feuille"
"275","papier"
"276","pâtes"
"277","spaghetti"
"278","petits pois"
"279","crayon"
"280","stylo"
"281","pingouin"
"282","pénis"
"283","photo"
"284","cochon"
"285","oreiller"
"286","pizza"
"287","plante"
"288","assiette"
"289","jouer"
"290","poney"
"291","piscine"
"292","esquimau"
"293","pomme de terre"
"294","wc"
"295","verser"
"296","cadeau"
"297","faire semblant"
"298","bretzel"
"299","tirer"
"300","bébé chien"
"301","pousser"
"302","mettre"
"303","déposer"
"304","radio"
"305","pluie"
"306","raisins secs"
"307","lire"
"308","rouge"
"309","frigo"
"310","télécommande"
"311","rue"
"312","rocher"
"313","toit"
"314","pièce"
"315","coq"
"316","courir"
"317","triste"
"318","le"
"319","sandwich"
"320","sauce"
"321","dire"
"322","peur"
"323","écharpe"
"324","ciseaux"
"325","voir"
"326","secouer"
"327","partager"
"328","elle"
"329","mouton"
"330","chemise"
"331","chaussure"
"332","short"
"333","pelle"
"334","montrer"
"335","douche"
"336","malade"
"337","chanter"
"338","évier"
"339","lavabo"
"340","asseoir"
"341","ciel"
"342","traîneau"
"343","dormir"
"344","sommeil"
"345","glisser"
"346","toboggan"
"347","chausson"
"348","lent"
"349","sourire"
"350","neige"
"351","bonhomme de neige"
"352","savon"
"353","chaussettes"
"354","doux"
"355","du"
"356","soupe"
"357","renverser"
"358","éclabousser"
"359","cuillère"
"360","écureuil"
"361","escalier"
"362","étoile"
"363","rester"
"364","bâton"
"365","pierre"
"366","caillou"
"367","arrêter"
"368","histoire"
"369","poussette"
"370","sucre"
"371","soleil"
"372","pull"
"373","sweat"
"374","balayer"
"375","nager"
"376","balancer"
"377","balançoire"
"378","tee-shirt"
"379","table"
"380","prendre"
"381","parler"
"382","déchirer"
"383","nounours"
"384","téléphone"
"385","ça"
"386","leur"
"387","eux"
"388","là"
"389","là-bas"
"390","ces"
"391","ils"
"392","on"
"393","penser"
"394","soif"
"395","ceux"
"396","pouce"
"397","chatouiller"
"398","tigre"
"399","collants"
"400","fatigué"
"401","mouchoir"
"402","doigt de pied"
"403","langue"
"404","dent"
"405","brosse à dent"
"406","toucher"
