"","word_clean"
"1","uno"
"2","un"
"3","una"
"4","encima"
"5","asustado"
"6","miedo"
"7","otra vez"
"8","avión"
"9","todo"
"10","todas"
"11","casi"
"12","solo"
"13","también"
"14","ambulancia"
"15","y"
"16","enfadado"
"17","animal"
"18","hormiga"
"19","alguno"
"20","manzana"
"21","potito"
"22","brazos"
"23","detrás"
"24","malo"
"25","balón"
"26","fútbol"
"27","pelota"
"28","globo"
"29","baño"
"30","bañar"
"31","bañera"
"32","pila"
"33","estar"
"34","ser"
"35","Ser"
"36","oso"
"37","barba"
"38","porque"
"39","cama"
"40","abeja"
"41","ombligo"
"42","debajo"
"43","cinturón"
"44","al lado"
"45","entre"
"46","babero"
"47","bici"
"48","grande"
"49","pájaro"
"50","morder"
"51","negro"
"52","batidora"
"53","cubo"
"54","azul"
"55","barco"
"56","cuento"
"57","bota"
"58","biberón"
"59","botella"
"60","caja"
"61","pulsera"
"62","pan"
"63","romper"
"64","desayunar"
"65","teta"
"66","traer"
"67","roto"
"68","escoba"
"69","cepillo"
"70","bicho"
"71","toro"
"72","bollo"
"73","conejo"
"74","quemar"
"75","autobús"
"76","pero"
"77","culo"
"78","mariposa"
"79","botón"
"80","comprar"
"81","por"
"82","bizcocho"
"83","tarta"
"84","llamar"
"85","poder"
"86","caramelo"
"87","coche"
"88","cartas"
"89","cuidar"
"90","zanahoria"
"91","gato"
"92","cd"
"93","móvil"
"94","cereales"
"95","silla"
"96","queso"
"97","pollito"
"98","gallina"
"99","pollo"
"100","barbilla"
"101","gusanitos"
"102","chocolate"
"103","limpio"
"104","subir"
"105","reloj"
"106","cerrar"
"107","ropa"
"108","payaso"
"109","abrigo"
"110","monedas"
"111","frío"
"112","peinar"
"113","peine"
"114","venir"
"115","cocinar"
"116","galleta"
"117","enfriar"
"118","sofá"
"119","toser"
"120","tapar"
"121","vaca"
"122","grúa"
"123","cuna"
"124","cocodrilo"
"125","croqueta"
"126","llorar"
"127","taza"
"128","cojín"
"129","cortar"
"130","guapo"
"131","bailar"
"132","pañal"
"133","difícil"
"134","dinosaurio"
"135","sucio"
"136","hacer"
"137","perro"
"138","muñeca"
"139","burro"
"140","puerta"
"141","paloma"
"142","abajo"
"143","dibujar"
"144","cajón"
"145","sueño"
"146","vestido"
"147","vestir"
"148","beber"
"149","conducir"
"150","tambor"
"151","pato"
"152","oreja"
"153","pendientes"
"154","comer"
"155","cenar"
"156","huevo"
"157","tampoco"
"158","elefante"
"159","vacío"
"160","entrar"
"161","ojos"
"162","cejas"
"163","cara"
"164","caer"
"165","grifo"
"166","dedos"
"167","dedo"
"168","uña"
"169","terminar"
"170","pescado"
"171","pez"
"172","caber"
"173","mojar"
"174","suelo"
"175","flor"
"176","volar"
"177","mosca"
"178","comida"
"179","pie"
"180","para"
"181","para mí"
"182","tenedor"
"183","cuatro"
"184","zorro"
"185","rana"
"186","delante"
"187","fruta"
"188","lleno"
"189","garaje"
"190","regalar"
"191","jirafa"
"192","dar"
"193","vaso"
"194","gafas"
"195","guantes"
"196","ir"
"197","gol"
"198","bueno"
"199","uvas"
"200","verde"
"201","crecer"
"202","guitarra"
"203","tripa"
"204","pasillo"
"205","jamón"
"206","martillo"
"207","mano"
"208","contento"
"209","gorro"
"210","sombrero"
"211","haber"
"212","tener"
"213","él"
"214","cabeza"
"215","oír"
"216","helicóptero"
"217","ella"
"218","aquí"
"219","suyo"
"220","pegar"
"221","caballo"
"222","caliente"
"223","cómo"
"224","cuántos"
"225","hambre"
"226","yo"
"227","helado"
"228","si"
"229","dento"
"230","su"
"231","chaqueta"
"232","zumo"
"233","saltar"
"234","llaves"
"235","cocina"
"236","rodillas"
"237","cuchillo"
"238","saber"
"239","mariquita"
"240","reír"
"241","aprender"
"242","salir"
"243","piernas"
"244","pierna"
"245","limón"
"246","lentejas"
"247","lechuga"
"248","mentiroso"
"249","luz"
"250","mechero"
"251","gustar"
"252","león"
"253","labios"
"254","poco"
"255","pequeño"
"256","salón"
"257","chupa-chups"
"258","piruleta"
"259","mirar"
"260","bajar"
"261","carne"
"262","medicina"
"263","melón"
"264","microondas"
"265","leche"
"266","mío"
"267","míos"
"268","espejo"
"269","perder"
"270","mono"
"271","más"
"272","moto"
"273","ratón"
