language,uni_lemma,lexical_class,category,definition,word_clean
Spanish (Mexican),a,function_words,articles,un,un
Spanish (Mexican),a,function_words,articles,una,una
Spanish (Mexican),a,function_words,articles,unas,unas
Spanish (Mexican),a,function_words,articles,unos,unos
Spanish (Mexican),a lot,function_words,quantifiers,mucho,mucho
Spanish (Mexican),again,function_words,quantifiers,otro/otra vez,otro
Spanish (Mexican),airplane,nouns,vehicles,avión,avión
Spanish (Mexican),all,function_words,quantifiers,todo,todo
Spanish (Mexican),already,function_words,quantifiers,ya,ya
Spanish (Mexican),also,function_words,quantifiers,también,también
Spanish (Mexican),angry,adjectives,descriptive_words,enojado,enojado
Spanish (Mexican),animal,nouns,animals,animal,animal
Spanish (Mexican),ant,nouns,animals,hormiga,hormiga
Spanish (Mexican),apple,nouns,food_drink,manzana,manzana
Spanish (Mexican),arm,nouns,body_parts,brazos,brazos
Spanish (Mexican),arm,nouns,body_parts,brazo,brazo
Spanish (Mexican),atole,nouns,food_drink,atole,atole
Spanish (Mexican),back (location),function_words,locations,atrás,atrás
Spanish (Mexican),bad,adjectives,descriptive_words,malo,malo
Spanish (Mexican),ball,nouns,toys,pelota,pelota
Spanish (Mexican),balloon,nouns,toys,globo/bomba,globo
Spanish (Mexican),banana,nouns,food_drink,plátano/banana,plátano
Spanish (Mexican),bat,nouns,toys,bat,bat
Spanish (Mexican),bathroom,nouns,furniture_rooms,baño,baño
Spanish (Mexican),bathtub,nouns,furniture_rooms,tina,tina
Spanish (Mexican),be,function_words,states,estar,estar
Spanish (Mexican),be,function_words,states,ser,ser
Spanish (Mexican),beach,nouns,outside,playa,playa
Spanish (Mexican),beans,nouns,food_drink,frijoles,frijoles
Spanish (Mexican),bear,nouns,animals,oso,oso
Spanish (Mexican),bed,nouns,furniture_rooms,cama,cama
Spanish (Mexican),bedroom,nouns,furniture_rooms,recámara,recámara
Spanish (Mexican),bee,nouns,animals,abeja,abeja
Spanish (Mexican),belly button,nouns,body_parts,ombligo,ombligo
Spanish (Mexican),bib,nouns,clothing,babero,babero
Spanish (Mexican),bicycle,nouns,vehicles,bicicleta,bicicleta
Spanish (Mexican),big,adjectives,descriptive_words,grande,grande
Spanish (Mexican),bird,nouns,animals,pájaro,pájaro
Spanish (Mexican),bite,verbs,action_words,morder,morder
Spanish (Mexican),blanket,nouns,household,cobija,cobija
Spanish (Mexican),blow,verbs,action_words,soplar,soplar
Spanish (Mexican),blue,adjectives,descriptive_words,azul,azul
Spanish (Mexican),boat,nouns,vehicles,barco,barco
Spanish (Mexican),book,nouns,toys,libro,libro
Spanish (Mexican),boots,nouns,clothing,botas,botas
Spanish (Mexican),bottle,nouns,household,botella/mamila,botella
Spanish (Mexican),box,nouns,household,caja,caja
Spanish (Mexican),bread,nouns,food_drink,pan,pan
Spanish (Mexican),break,verbs,action_words,romper,romper
Spanish (Mexican),breast,nouns,body_parts,chichi/pecho,chichi
Spanish (Mexican),broken,adjectives,descriptive_words,roto,roto
Spanish (Mexican),broom,nouns,household,escoba,escoba
Spanish (Mexican),brush (object),nouns,household,cepillo,cepillo
Spanish (Mexican),bunny,nouns,animals,conejo,conejo
Spanish (Mexican),butterfly,nouns,animals,mariposa,mariposa
Spanish (Mexican),button,nouns,clothing,botón,botón
Spanish (Mexican),cake,nouns,food_drink,pastel,pastel
Spanish (Mexican),can (auxiliary),verbs,action_words,poder,poder
Spanish (Mexican),candle,nouns,household,vela,vela
Spanish (Mexican),candy,nouns,food_drink,dulce,dulce
Spanish (Mexican),car,nouns,vehicles,carro/coche,carro
Spanish (Mexican),careful,adjectives,descriptive_words,cuidado,cuidado
Spanish (Mexican),cat,nouns,animals,gato,gato
Spanish (Mexican),cereal,nouns,food_drink,cereal,cereal
Spanish (Mexican),chair,nouns,furniture_rooms,silla,silla
Spanish (Mexican),cheek,nouns,body_parts,cachete,cachete
Spanish (Mexican),cheese,nouns,food_drink,queso,queso
Spanish (Mexican),chick,nouns,animals,pollito,pollito
Spanish (Mexican),chicken (food),nouns,food_drink,pollo,pollo
Spanish (Mexican),chili,nouns,food_drink,chile,chile
Spanish (Mexican),church,nouns,outside,iglesia/templo,iglesia
Spanish (Mexican),cigarette,nouns,household,cigarros,cigarros
Spanish (Mexican),clean (description),adjectives,descriptive_words,limpio,limpio
Spanish (Mexican),climb,verbs,action_words,subir,subir
Spanish (Mexican),climb,verbs,action_words,subir(se),subir
Spanish (Mexican),close,verbs,action_words,cerrar,cerrar
Spanish (Mexican),closet,nouns,furniture_rooms,ropero/closet,ropero
Spanish (Mexican),cloth,nouns,household,trapo,trapo
Spanish (Mexican),cloud,nouns,outside,nube,nube
Spanish (Mexican),coffee,nouns,food_drink,café,café
Spanish (Mexican),cold,adjectives,descriptive_words,frío,frío
Spanish (Mexican),comb (action),verbs,action_words,peinar(se),peinar
Spanish (Mexican),comb (object),nouns,household,peine,peine
