"","word_clean"
"1","啊"
"2","一个"
"3","一点"
"4","好多"
"5","飞机"
"6","都"
"7","没 了"
"8","也"
"9","救护车"
"10","生气"
"11","动物"
"12","另外"
"13","蚂蚁"
"14","苹果"
"15","胳膊"
"16","睡着"
"17","在"
"18","院子"
"19","坏"
"20","不好"
"21","书包"
"22","包"
"23","皮球"
"24","汽球"
"25","球"
"26","气球"
"27","香蕉"
"28","厕所"
"29","浴室"
"30","澡盆"
"31","浴缸"
"32","电池"
"33","珠子"
"34","豆"
"35","熊"
"36","床"
"37","卧室"
"38","蜜蜂"
"39","铃铛"
"40","肚脐眼"
"41","围嘴"
"42","自行车"
"43","大"
"44","鸟"
"45","咬"
"46","黑色"
"47","黑"
"48","毛巾被"
"49","毯子"
"50","积木"
"51","吹"
"52","刮风"
"53","蓝色"
"54","蓝"
"55","船"
"56","书"
"57","枪"
"58","瓶子"
"59","碗"
"60","盒子"
"61","面包"
"62","拆"
"63","打破"
"64","打碎"
"65","带"
"66","带上"
"67","坏 了"
"68","扫帚"
"69","条帚"
"70","刷"
"71","刷子"
"72","泡泡"
"73","桶"
"74","虫子"
"75","撞"
"76","兔子"
"77","公共汽车"
"78","屁股"
"79","蝴蝶"
"80","钮扣"
"81","扣子"
"82","买"
"83","白菜"
"84","蛋糕"
"85","小腿"
"86","照相机"
"87","会"
"88","能"
"89","罐头"
"90","蜡烛"
"91","套"
"92","小汽车"
"93","车"
"94","委屈"
"95","小心"
"96","胡萝卜"
"97","猫"
"98","抓"
"99","逮"
"100","椅子"
"101","脸蛋"
"102","奶酪"
"103","小鸡"
"104","鸡"
"105","鸡肉"
"106","下巴"
"107","巧克力"
"108","拍"
"109","鼓掌"
"110","拍手"
"111","打扫"
"112","干净"
"113","爬"
"114","钟"
"115","关"
"116","闭"
"117","柜子"
"118","布"
"119","云彩"
"120","云"
"121","大衣"
"122","咖啡"
"123","冷"
"124","梳"
"125","梳子"
"126","来"
"127","电脑"
"128","饼干"
"129","楼道"
"130","沙发"
"131","数数"
"132","盖上"
"133","盖"
"134","牛"
"135","蜡笔"
"136","乌鸦"
"137","哭"
"138","叫"
"139","黄瓜"
"140","杯子"
"141","窗帘"
"142","可爱"
"143","跳舞"
"144","黑乎乎"
"145","天黑"
"146","鹿"
"147","梅花鹿"
"148","脏"
"149","菜"
"150","狗"
"151","娃娃"
"152","布娃娃"
"153","驴"
"154","门"
"155","下"
"156","画画"
"157","抽屉"
"158","衣服"
"159","喝"
"160","饮料"
"161","开车"
"162","掉"
"163","干"
"164","鸭子"
"165","倒"
"166","耳朵"
"167","土"
"168","吃"
"169","鸡蛋"
"170","蛋"
"171","大象"
"172","电梯"
"173","空 的"
"174","进去"
"175","眼睛"
"176","脸"
"177","跌倒"
"178","摔倒"
"179","快"
"180","喂"
"181","找到"
"182","手指头"
"183","做 完"
"184","喜欢"
"185","鱼"
"186","翻"
"187","花"
"188","花盆"
"189","飞"
"190","苍蝇"
"191","饭"
"192","脚"
"193","叉子"
"194","狐狸"
"195","青蛙"
"196","前面"
"197","水果"
"198","饱"
"199","高兴"
"200","满"
"201","花园"
"202","起来"
"203","长颈鹿"
"204","给"
"205","玻璃"
"206","眼镜"
"207","手套"
"208","走"
"209","去"
"210","山羊"
"211","好"
"212","鹅"
"213","葡萄"
"214","草"
"215","绿"
"216","绿色"
"217","头发"
"218","锤子"
"219","手"
"220","硬"
"221","帽子"
"222","有"
"223","他"
"224","头"
"225","听"
"226","听见"
"227","重"
"228","刺猬"
"229","帮助"
"230","帮忙"
"231","帮"
"232","母鸡"
"233","这儿"
"234","这边"
"235","藏"
"236","高"
"237","他 的"
"238","打"
"239","家"
"240","蜂蜜"
"241","蹦"
"242","马"
"243","烫"
"244","热"
"245","房子"
"246","怎么"
"247","抱"
"248","搂"
"249","饿"
"250","赶快"
"251","疼"
"252","我"
"253","冰淇淋"
"254","里面"
"255","夹克"
"256","棉衣"
"257","果酱"
"258","吉普车"
"259","果汁"
"260","跳"
"261","钥匙"
"262","踢"
"263","亲"
"264","厨房"
"265","膝盖"
"266","刀"
"267","梯子"
"268","小羊"
"269","灯"
"270","草地"
"271","叶子"
"272","树叶"
"273","腿"
"274","舔"
"275","举"
"276","轻"
"277","光"
"278","狮子"
"279","少"
"280","小"
"281","客厅"
"282","锁"
"283","棒棒糖"
"284","看"
"285","找"
"286","困了"
"287","爱"
"288","多"
"289","肉"
"290","药"
"291","牛奶"
"292","镜子"
"293","钱"
"294","猴子"
"295","月亮"
"296","蚊子"
"297","摩托车"
"298","老鼠"
"299","嘴"
"300","我 的"
"301","指甲"
"302","钉子"
"303","淘气"
"304","脖子"
"305","项链"
"306","要"
"307","必须"
"308","新"
"309","没"
"310","不是"
"311","面条"
"312","鼻子"
"313","可以"
"314","老"
"315","上"
"316","开"
"317","打开"
"318","桔黄色"
"319","桔子"
"320","橙子"
"321","其它"
"322","别的"
"323","我们 的"
"324","咱们 的"
"325","外面"
"326","猫头鹰"
"327","睡衣"
"328","饼"
"329","裤子"
"330","纸"
"331","公园"
"332","桃"
"333","孔雀"
"334","花生"
"335","梨"
"336","豌豆"
"337","尿"
"338","笔"
"339","企鹅"
"340","辣椒"
"341","画"
"342","猪"
"343","枕头"
"344","盘"
"345","盘子"
"346","玩"
"347","游泳池"
"348","稀饭"
"349","土豆"
"350","尿盆"
"351","礼物"
"352","摁"
"353","假装"
"354","装"
"355","漂亮"
"356","好看"
"357","水池子"
"358","拉"
"359","拖"
"360","钱包"
"361","推"
"362","放"
"363","收音机"
"364","墩布"
"365","下雨"
"366","雨"
"367","葡萄干"
"368","读"
"369","红色"
"370","冰箱"
"371","遥控器"
"372","米"
"373","骑"
"374","路"
"375","摇椅"
"376","房顶"
"377","屋子"
"378","公鸡"
"379","划"
"380","跑"
"381","伤心"
"382","咸"
"383","一样"
"384","沙子"
"385","凉鞋"
"386","三明治"
"387","酱油"
"388","说"
"389","害怕"
"390","围巾"
"391","剪刀"
"392","自己"
"393","握 手"
"394","摇"
"395","羊"
"396","上衣"
"397","鞋"
"398","短裤"
"399","该"
"400","叫唤"
"401","喊"
"402","铲子"
"403","演"
"404","病"
"405","唱"
"406","水池"
"407","坐"
"408","裙子"
"409","天"
"410","天上"
"411","睡觉"
"412","困"
"413","拖鞋"
"414","慢"
"415","聪明"
"416","闻"
"417","笑"
"418","乐"
"419","蛇"
"420","雪"
"421","肥皂"
"422","香皂"
"423","袜子"
"424","汽水"
"425","软"
"426","多点儿"
"427","汤"
"428","撒"
"429","菠菜"
"430","吐"
"431","洒"
"432","勺子"
"433","勺"
"434","松鼠"
"435","楼梯"
"436","茶几"
"437","站"
"438","星星"
"439","贴"
"440","棍子"
"441","棍"
"442","贴画"
"443","石头"
"444","停"
"445","炉子"
"446","街"
"447","街道"
"448","糖"
"449","太阳"
"450","咽"
"451","燕子"
"452","毛衣"
"453","扫"
"454","扫地"
"455","甜"
"456","游泳"
"457","秋千"
"458","桌子"
"459","拿"
"460","拿走"
"461","好吃"
"462","茶"
"463","眼泪"
"464","电话"
"465","告诉"
"466","那个"
"467","他们"
"468","那儿"
"469","那边"
"470","这些"
"471","渴"
"472","这个"
"473","那些"
"474","扔"
"475","大拇指"
"476","挠"
"477","老虎"
"478","累"
"479","脚趾"
"480","西红柿"
"481","舌头"
"482","牙"
"483","牙刷"
"484","摸"
"485","毛巾"
"486","玩具"
"487","火车"
"488","垃圾"
"489","树"
"490","卡车"
"491","拐 （ 弯 ）"
"492","转"
"493","乌龟"
"494","电视"
"495","难看"
"496","伞"
"497","雨伞"
"498","底下"
"499","背心"
"500","等"
"501","醒"
"502","走路"
"503","衣柜"
"504","洗"
"505","洗衣机"
"506","手表"
"507","水"
"508","西瓜"
"509","我们"
"510","戴"
"511","穿"
"512","湿"
"513","可怜"
"514","什么"
"515","几点"
"516","在 哪里"
"517","哪里"
"518","哪儿"
"519","哪个"
"520","白色"
"521","白"
"522","谁"
"523","为什么"
"524","风"
"525","拧"
"526","窗子"
"527","窗户"
"528","擦"
"529","跟"
"530","和"
"531","狼"
"532","大灰狼"
"533","工作"
"534","干活"
"535","写"
"536","黄"
"537","黄色"
"538","是"
"539","酸奶"
"540","你"
"541","你们"
"542","你 的"
"543","你们 的"
"544","拉锁"
"545","拉链"
"546","呀"
"547","表"
"548","外套"
"549","好玩"
"550","美"
"551","拽"
"552","应该"
"553","慢点"
"554","灶"
"555","大街"
"556","饭桌"
"557","哪"
"558","开心"
"559","上面"
"560","冷气"
"561","全部"
"562","鳄鱼"
"563","还"
"564","手臂"
"565","醒 了"
"566","走开"
"567","后面"
"568","背"
"569","坏 的"
"570","袋子"
"571","阳台"
"572","篮子"
"573","球棒"
"574","珠珠"
"575","因为"
"576","肚脐"
"577","下面"
"578","皮带"
"579","围兜"
"580","脚踏车"
"581","小鸟"
