hug,abbracciare,abbraccial,,,,,,,,,,,,,,,,,,,,,
turn on,accendere,accendiamol,,,,,,,,,,,,,,,,,,,,,
airplane,aereo,aereopl,aereoplan,,,,,,,,,,,,,,,,,,,,
high,alto,alti,alta,alte,,,,,,,,,,,,,,,,,,,
other,altro,altre,altri,altr',altra,,,,,,,,,,,,,,,,,,
stand,alzarsi,alzart,alzat,alzarl,alzarm,alzar,alzarc,alzav,alziam,,,,,,,,,,,,,,
go,andare,andand,andass,andat,andav,andavam,andiam,andrem,andrebb,,,,,,,,,,,,,,
animal,animale,animalett,animalettin,animalin,animalon,,,,,,,,,,,,,,,,,,
open,aprire,apran,apre,apri,apri',apriam,apriamol,april,aprim,aprirl,aprit,apriv,apro,apron,,,,,,,,,
angry,arrabbiato,arrab,,,,,,,,,,,,,,,,,,,,,
donkey,asino,asinell,,,,,,,,,,,,,,,,,,,,,
wait,aspettare,aspettam,aspe',,,,,,,,,,,,,,,,,,,,
kiss,baciare,bacin,,,,,,,,,,,,,,,,,,,,,
bath,bagnarsi,bagno,,,,,,,,,,,,,,,,,,,,,
child,bambino,bambin,,,,,,,,,,,,,,,,,,,,,
woof woof,bau bau,bau,baubau,,,,,,,,,,,,,,,,,,,,
glass,bicchiere,,bich,,,,,,,,,,,,,,,,,,,,
mouth,boccia,bocc,,,,,,,,,,,,,,,,,,,,,
vroom,brum,brumbrum,brumbrumbrum,,,,,,,,,,,,,,,,,,,,
dump,buttare,buttal,butt,,,,,,,,,,,,,,,,,,,,
sing,cantare,cantagl,cantal,cantam,cantamel,,,,,,,,,,,,,,,,,,
bad,cattivo,cattiv,,,,,,,,,,,,,,,,,,,,,
seek,cercare,cerchiamol,,,,,,,,,,,,,,,,,,,,,
close,chiudere,chiudiamol,chiud,chius,chiudil,chiudigl,,,,,,,,,,,,,,,,,
tweet tweet,cip,cipcip,cipcipcip,,,,,,,,,,,,,,,,,,,,
cracker,cracker,crackers,,,,,,,,,,,,,,,,,,,,,
give,dare,darl,darmel,darm,dars,dartel,dart,dargl,dargliel,dar,,,,,,,,,,,,,
say,dire,direbb,direm,dirgl,dirgl,dirgliel,dirl,dirm,dirt,,,,,,,,,,,,,,
doctor,dottor,dottoress,,,,,,,,,,,,,,,,,,,,,
make,fare,faccel,facc,facciamogl,facciamol,faccin,facen,faccel,fac,fammel,fammen,fara,farcel,farebb,farebber,farem,farest,fargl,fargliel,farmel,farm,fars,fatt
wash,lavare,lavagl,lavagliel,,,,,,,,,,,,,,,,,,,,
take off,levare,levacel,levagliel,leval,leviamol,,,,,,,,,,,,,,,,,,
eat,mangiare,mangial,mangian,mangiarsel,mangiatel,,,,,,,,,,,,,,,,,,
put,mettere,mettiamoc,mettiamogl,mettiamol,mettigl,mettigl,mettigliel,mettimel,mettim,,,,,,,,,,,,,,
talk,parlare,parlagl,parla',,,,,,,,,,,,,,,,,,,,
police,vigile,polizia,poliziott,,,,,,,,,,,,,,,,,,,,
take,prendere,prendiamol,prendil,prender,prendest,prendim,prendin,prenditel,,,,,,,,,,,,,,,
that,quello,quell,quegl,que,quel,quell',,,,,,,,,,,,,,,,,
greet,salutare,sal,salutal,salutamel,,,,,,,,,,,,,,,,,,,
his,suo,sua,sue,,,,,,,,,,,,,,,,,,,,
touch,toccare,tocca',toccal,,,,,,,,,,,,,,,,,,,,
your,tuo,tua,tue,,,,,,,,,,,,,,,,,,,,
bird,uccellino,uccello,,,,,,,,,,,,,,,,,,,,,
go out,uscire,uscend,usciam,uscit,usciv,,,,,,,,,,,,,,,,,,
come,venire,veng,veniss,,,,,,,,,,,,,,,,,,,,
aunt,zia,zie,,,,,,,,,,,,,,,,,,,,,
uncle,zio,zii,,,,,,,,,,,,,,,,,,,,,
