word,surprisal_value,n_instances
airplane,NA,NA
all,NA,NA
animal,NA,NA
another,NA,NA
apple,NA,NA
arm,NA,NA
asleep,NA,NA
aunt,NA,NA
away,NA,NA
baby,NA,NA
babysitter,NA,NA
back,NA,NA
bad,NA,NA
ball,NA,NA
balloon,NA,NA
banana,NA,NA
bath,NA,NA
bathroom,NA,NA
bathtub,NA,NA
beach,NA,NA
beads,NA,NA
bear,NA,NA
bed,NA,NA
bedroom,NA,NA
bee,NA,NA
bib,NA,NA
bicycle,NA,NA
big,NA,NA
bird,NA,NA
bite,NA,NA
blanket,NA,NA
block,NA,NA
blow,NA,NA
blue,NA,NA
book,NA,NA
boots,NA,NA
bottle,NA,NA
bowl,NA,NA
box,NA,NA
boy,NA,NA
bread,NA,NA
break,NA,NA
breakfast,NA,NA
bring,NA,NA
broken,NA,NA
broom,NA,NA
brother,NA,NA
brush,NA,NA
bubbles,NA,NA
bug,NA,NA
bump,NA,NA
bunny,NA,NA
bus,NA,NA
butter,NA,NA
butterfly,NA,NA
button,NA,NA
bye,NA,NA
cake,NA,NA
candy,NA,NA
car,NA,NA
careful,NA,NA
carrots,NA,NA
cat,NA,NA
cereal,NA,NA
chair,NA,NA
cheek,NA,NA
cheerios,NA,NA
cheese,NA,NA
chicken,NA,NA
child,NA,NA
church,NA,NA
clean,NA,NA
clock,NA,NA
close,NA,NA
coat,NA,NA
cockadoodledoo,NA,NA
coffee,NA,NA
cold,NA,NA
comb,NA,NA
cookie,NA,NA
couch,NA,NA
cow,NA,NA
cracker,NA,NA
crib,NA,NA
cry,NA,NA
cup,NA,NA
cute,NA,NA
daddy,NA,NA
dance,NA,NA
dark,NA,NA
day,NA,NA
deer,NA,NA
diaper,NA,NA
dinner,NA,NA
dirty,NA,NA
dish,NA,NA
dog,NA,NA
doll,NA,NA
dont,NA,NA
donkey,NA,NA
door,NA,NA
down,NA,NA
draw,NA,NA
drawer,NA,NA
dress,NA,NA
drink,NA,NA
drive,NA,NA
dry,NA,NA
duck,NA,NA
ear,NA,NA
eat,NA,NA
egg,NA,NA
elephant,NA,NA
empty,NA,NA
eye,NA,NA
face,NA,NA
fall,NA,NA
fast,NA,NA
feed,NA,NA
fine,NA,NA
finger,NA,NA
finish,NA,NA
firetruck,NA,NA
fish,NA,NA
flower,NA,NA
food,NA,NA
foot,NA,NA
fork,NA,NA
frog,NA,NA
garage,NA,NA
garden,NA,NA
gentle,NA,NA
get,NA,NA
giraffe,NA,NA
girl,NA,NA
give,NA,NA
glass,NA,NA
glasses,NA,NA
go,NA,NA
good,0.0000187156838365,1
goose,NA,NA
grandma,NA,NA
grandpa,NA,NA
grrr,NA,NA
hair,NA,NA
hammer,NA,NA
hand,NA,NA
happy,NA,NA
hard,NA,NA
hat,NA,NA
head,NA,NA
hello,NA,NA
help,NA,NA
her,NA,NA
hi,NA,NA
his,NA,NA
hit,NA,NA
home,NA,NA
horse,NA,NA
hot,NA,NA
house,NA,NA
how,NA,NA
hug,NA,NA
hungry,NA,NA
hurry,NA,NA
hurt,NA,NA
i,NA,NA
in,NA,NA
inside,NA,NA
it,0.0000053644034779,1
jacket,NA,NA
jeans,NA,NA
juice,NA,NA
jump,NA,NA
keys,NA,NA
kick,NA,NA
kiss,NA,NA
kitchen,NA,NA
kitty,NA,NA
knee,NA,NA
lady,NA,NA
lamb,NA,NA
lamp,NA,NA
later,NA,NA
leg,NA,NA
light,NA,NA
lion,NA,NA
little,NA,NA
look,NA,NA
love,NA,NA
lunch,NA,NA
man,NA,NA
me,NA,NA
meat,NA,NA
medicine,NA,NA
meow,NA,NA
milk,NA,NA
mine,NA,NA
mommy,NA,NA
money,NA,NA
monkey,NA,NA
moo,NA,NA
moon,NA,NA
more,NA,NA
morning,NA,NA
motorcycle,NA,NA
mouse,NA,NA
mouth,NA,NA
my,NA,NA
nap,NA,NA
naughty,NA,NA
necklace,NA,NA
nice,NA,NA
night,NA,NA
no,NA,NA
none,NA,NA
nose,NA,NA
not,NA,NA
now,NA,NA
off,NA,NA
old,NA,NA
on,NA,NA
open,NA,NA
orange,NA,NA
other,0.0000299210842059,1
ouch,NA,NA
out,NA,NA
outside,NA,NA
oven,NA,NA
owl,NA,NA
pajamas,NA,NA
pants,NA,NA
paper,NA,NA
park,NA,NA
party,0.0003838994307443,1
pattycake,NA,NA
peas,NA,NA
peekaboo,NA,NA
pen,NA,NA
penguin,NA,NA
penny,NA,NA
people,NA,NA
person,NA,NA
picture,NA,NA
pig,NA,NA
pillow,NA,NA
pizza,NA,NA
plant,NA,NA
