"","X.1","language","X","n_children","forms.1","forms.2","forms.3","forms.4","forms.5","forms.6","forms.7","forms.8"
"1", 1,"Danish",NA, 6112,WG,1,WS,0.48951048951049,0,0,0,0
"2", 2,"English (American)",NA, 7955,WG,0.804878048780488,WS,0.853199498117942,0,0,0,0
"3", 3,"English (Australian)",NA, 1497,WS,0.718152866242038,0,0,0,0,0,0
"4", 4,"English (British)",NA,23129,TEDS Twos,0.699115044247788,TEDS Threes,0.371681415929204,Oxford CDI,0.9688995215311,0,0
"5", 5,"French (French)",NA,  863,WG,0.651572327044025,WS,0.723463687150838,0,0,0,0
"6", 6,"French (Quebecois)",NA, 1364,WG,0.992647058823529,WS,0.830238726790451,0,0,0,0
"7", 7,"German",NA, 1181,WS,0.772108843537415,0,0,0,0,0,0
"8", 8,"Italian",NA, 1400,WG,0.807920792079208,WS,0.573134328358209,0,0,0,0
"9", 9,"Greek (Cypriot)",NA,  176,WS,0.641809290953545,0,0,0,0,0,0
"10",10,"Norwegian",NA,12225,WG,0.807770961145194,WS,0.457373271889401,0,0,0,0
"11",11,"Portuguese (European)",NA, 4326,WG,0,WS,0,0,0,0,0
"12",12,"Russian",NA, 1805,WG,0.938461538461538,WS,1,0,0,0,0
"13",13,"Spanish (European)",NA, 1005,WG,0,WS,0,0,0,0,0
"14",14,"Spanish (Mexican)",NA, 1934,WG,0.815238095238095,WS,0.532797858099063,0,0,0,0
"15",15,"Swedish",NA, 1367,WG,0.997402597402597,WS,0.52112676056338,0,0,0,0
"16",16,"Turkish",NA, 3537,WG,1,WS,0.569620253164557,0,0,0,0
"17",17,"Croatian",NA,  627,WG,1,WS,0.524407252440725,0,0,0,0
"18",18,"Czech",NA,  493,WS,0.864376130198915,0,0,0,0,0,0
"19",19,"Mandarin (Beijing)",NA, 1938,TC,0.702816901408451,WS,0.557416267942584,IC,0.905172413793103,0,0
"20",20,"Mandarin (Taiwanese)",NA, 2654,WG,0,WS,0,0,0,0,0
"21",21,"Cantonese",NA,  987,WS,0.934969325153374,0,0,0,0,0,0
"22",22,"Hebrew",NA,  540,WG,0.815837937384899,WS,0.804075235109718,0,0,0,0
"23",23,"Korean",NA, 1988,WG,0.633720930232558,WS,0.614138438880707,0,0,0,0
"24",24,"0",NA,    0,0,0,0,0,0,0,0,0
"25",25,"0",NA,    0,0,0,0,0,0,0,0,0
"26",26,"0",NA,    0,0,0,0,0,0,0,0,0
"27",27,"0",NA,    0,0,0,0,0,0,0,0,0
"28",28,"0",NA,    0,0,0,0,0,0,0,0,0
"29",29,"0",NA,    0,0,0,0,0,0,0,0,0
"30",30,"0",NA,    0,0,0,0,0,0,0,0,0
"31",31,"0",NA,    0,0,0,0,0,0,0,0,0
"32",32,"0",NA,    0,0,0,0,0,0,0,0,0
"33",33,"0",NA,    0,0,0,0,0,0,0,0,0
"34",34,"0",NA,    0,0,0,0,0,0,0,0,0
"35",35,"0",NA,    0,0,0,0,0,0,0,0,0
"36",36,"0",NA,    0,0,0,0,0,0,0,0,0
"37",37,"Latvian",NA,  683,WG,0,WS,0,0,0,0,0
"38",38,"0",NA,    0,0,0,0,0,0,0,0,0
"39",39,"0",NA,    0,0,0,0,0,0,0,0,0
"40",40,"Slovak",NA, 1715,WG,0.484649122807018,WS,0.557163531114327,0,0,0,0
"41",41,"Kiswahili",NA,  128,WG,0.750853242320819,WS,0.663157894736842,0,0,0,0
"42",42,"0",NA,    0,0,0,0,0,0,0,0,0
"43",43,"0",NA,    0,0,0,0,0,0,0,0,0
"44",44,"American Sign Language",NA,   59,FormA,0.709447415329768,FormBOne,0.685264663805436,FormBTwo,0.702846975088968,FormC,0.701598579040853
"45",45,"0",NA,    0,0,0,0,0,0,0,0,0
"46",46,"0",NA,    0,0,0,0,0,0,0,0,0
"47",47,"British Sign Language",NA,  161,WG,0.736379613356766,0,0,0,0,0,0
"48",48,"0",NA,    0,0,0,0,0,0,0,0,0
"49",49,"0",NA,    0,0,0,0,0,0,0,0,0
"50",50,"0",NA,    0,0,0,0,0,0,0,0,0
"51",51,"0",NA,    0,0,0,0,0,0,0,0,0
"52",52,"0",NA,    0,0,0,0,0,0,0,0,0
"53",53,"Kigiriama",NA,  206,WG,0,WS,0,0,0,0,0
"54",54,"0",NA,    0,0,0,0,0,0,0,0,0
"55",55,"0",NA,    0,0,0,0,0,0,0,0,0
