"","language","X","n_children"
"1","Danish",NA,6112
"2","English (American)",NA,7955
"3","English (Australian)",NA,1497
"4","English (British)",NA,23129
"5","French (French)",NA,863
"6","French (Quebecois)",NA,1364
"7","German",NA,1181
"8","Italian",NA,1400
"9","Greek (Cypriot)",NA,176
"10","Norwegian",NA,12225
"11","Portuguese (European)",NA,4326
"12","Russian",NA,1805
"13","Spanish (European)",NA,1005
"14","Spanish (Mexican)",NA,1934
"15","Swedish",NA,1367
"16","Turkish",NA,3537
"17","Croatian",NA,627
"18","Czech",NA,493
"19","Mandarin (Beijing)",NA,1938
"20","Mandarin (Taiwanese)",NA,2654
"21","Cantonese",NA,987
"22","Hebrew",NA,540
"23","Korean",NA,1988
"24","0",NA,0
"25","0",NA,0
"26","0",NA,0
"27","0",NA,0
"28","0",NA,0
"29","0",NA,0
"30","0",NA,0
"31","0",NA,0
"32","0",NA,0
"33","0",NA,0
"34","0",NA,0
"35","0",NA,0
"36","0",NA,0
"37","Latvian",NA,683
"38","0",NA,0
"39","0",NA,0
"40","Slovak",NA,1715
"41","Kiswahili",NA,128
"42","0",NA,0
"43","0",NA,0
"44","American Sign Language",NA,59
"45","0",NA,0
"46","0",NA,0
"47","British Sign Language",NA,161
"48","0",NA,0
"49","0",NA,0
"50","0",NA,0
"51","0",NA,0
"52","0",NA,0
"53","Kigiriama",NA,206
"54","0",NA,0
"55","0",NA,0
