language,uni_lemma,lexical_class,category,definition,word_clean
English (American),a,function_words,quantifiers,a,a
English (American),a,function_words,quantifiers,an,an
English (American),a lot,function_words,quantifiers,a lot,a lot
English (American),about,function_words,locations,about,about
English (American),above,function_words,locations,above,above
English (American),airplane,nouns,vehicles,airplane,airplane
English (American),all,function_words,quantifiers,all,all
English (American),all gone,adjectives,descriptive_words,all gone,all gone
English (American),alligator,nouns,animals,alligator,alligator
English (American),am,function_words,helping_verbs,am,am
English (American),and,function_words,connecting_words,and,and
English (American),animal,nouns,animals,animal,animal
English (American),ankle,nouns,body_parts,ankle,ankle
English (American),another,function_words,quantifiers,another,another
English (American),ant,nouns,animals,ant,ant
English (American),any,function_words,quantifiers,any,any
English (American),apple,nouns,food_drink,apple,apple
English (American),applesauce,nouns,food_drink,applesauce,applesauce
English (American),are,function_words,helping_verbs,are,are
English (American),arm,nouns,body_parts,arm,arm
English (American),around,function_words,locations,around,around
English (American),asleep,adjectives,descriptive_words,asleep,asleep
English (American),at,function_words,locations,at,at
English (American),awake,adjectives,descriptive_words,awake,awake
English (American),away,function_words,locations,away,away
English (American),back (location),function_words,locations,back,back
English (American),bad,adjectives,descriptive_words,bad,bad
English (American),ball,nouns,toys,ball,ball
English (American),balloon,nouns,toys,balloon,balloon
English (American),banana,nouns,food_drink,banana,banana
English (American),basement,nouns,furniture_rooms,basement,basement
English (American),basket,nouns,household,basket,basket
English (American),bat,nouns,toys,bat,bat
English (American),bathroom,nouns,furniture_rooms,bathroom,bathroom
English (American),bathtub,nouns,furniture_rooms,bathtub,bathtub
English (American),be,function_words,helping_verbs,be,be
English (American),beach,nouns,outside,beach,beach
English (American),beads,nouns,clothing,beads,beads
English (American),beans,nouns,food_drink,beans,beans
English (American),bear,nouns,animals,bear,bear
English (American),because,function_words,connecting_words,because,because
English (American),bed,nouns,furniture_rooms,bed,bed
English (American),bedroom,nouns,furniture_rooms,bedroom,bedroom
English (American),bee,nouns,animals,bee,bee
English (American),behind,function_words,locations,behind,behind
English (American),belly button,nouns,body_parts,belly button,belly button
English (American),belt,nouns,clothing,belt,belt
English (American),bench,nouns,furniture_rooms,bench,bench
English (American),beside,function_words,locations,beside,beside
English (American),better,adjectives,descriptive_words,better,better
English (American),bib,nouns,clothing,bib,bib
English (American),bicycle,nouns,vehicles,bicycle,bicycle
English (American),big,adjectives,descriptive_words,big,big
English (American),bird,nouns,animals,bird,bird
English (American),bite,verbs,action_words,bite,bite
English (American),black,adjectives,descriptive_words,black,black
English (American),blanket,nouns,household,blanket,blanket
