language,uni_lemma,lexical_class,category,definition,word_clean
English (Australian),all gone,adjectives,descriptive_words,all gone,all gone
English (Australian),firetruck,nouns,vehicles,fire truck/engine,fire truck
English (Australian),high chair,nouns,furniture_rooms,high chair,high chair
English (Australian),ice cream,nouns,food_drink,ice cream,ice cream
English (Australian),living room,nouns,furniture_rooms,living/lounge room,living room
English (Australian),play pen,nouns,furniture_rooms,play pen,play pen
English (Australian),rocking chair,nouns,furniture_rooms,rocking chair,rocking chair
English (Australian),teddybear,nouns,toys,teddy bear,teddy bear
English (Australian),washing machine,nouns,furniture_rooms,washing machine,washing machine
English (Australian),firetruck,nouns,vehicles,fire truck/engine,fire engine
English (Australian),living room,nouns,furniture_rooms,living/lounge room,lounge room
