language,uni_lemma,lexical_class,category,definition,word_clean
English (British),all gone,adjectives,descriptive_words,all gone,all gone
English (British),belly button,nouns,body_parts,belly button / tummy button,belly button
English (British),firetruck,nouns,vehicles,fire engine,fire engine
English (British),high chair,nouns,furniture_rooms,high chair,high chair
English (British),ice cream,nouns,food_drink,ice cream,ice cream
English (British),living room,nouns,furniture_rooms,living room,living room
English (British),motorcycle,nouns,vehicles,motor-bike,motor-bike
English (British),play pen,nouns,furniture_rooms,play pen,play pen
English (British),rocking chair,nouns,furniture_rooms,rocking chair,rocking chair
English (British),teddybear,nouns,toys,teddy bear,teddy bear
English (British),belly button,nouns,body_parts,belly button / tummy button,tummy button
