"","language","uni_lemma","lexical_class","category","definition","word_clean"
"1","English (American)","a","function_words","quantifiers","a","a"
"2","English (American)","a","function_words","quantifiers","an","an"
"3","English (American)","a lot","function_words","quantifiers","a lot","a lot"
"4","English (American)","about","function_words","locations","about","about"
"5","English (American)","above","function_words","locations","above","above"
"6","English (American)","airplane","nouns","vehicles","airplane","airplane"
"7","English (American)","all","function_words","quantifiers","all","all"
"8","English (American)","all gone","adjectives","descriptive_words","all gone","all gone"
"9","English (American)","alligator","nouns","animals","alligator","alligator"
"10","English (American)","am","function_words","helping_verbs","am","am"
"11","English (American)","and","function_words","connecting_words","and","and"
"12","English (American)","animal","nouns","animals","animal","animal"
"13","English (American)","ankle","nouns","body_parts","ankle","ankle"
"14","English (American)","another","function_words","quantifiers","another","another"
"15","English (American)","ant","nouns","animals","ant","ant"
"16","English (American)","any","function_words","quantifiers","any","any"
"17","English (American)","apple","nouns","food_drink","apple","apple"
"18","English (American)","applesauce","nouns","food_drink","applesauce","applesauce"
"19","English (American)","are","function_words","helping_verbs","are","are"
"20","English (American)","arm","nouns","body_parts","arm","arm"
"21","English (American)","around","function_words","locations","around","around"
"22","English (American)","asleep","adjectives","descriptive_words","asleep","asleep"
"23","English (American)","at","function_words","locations","at","at"
"24","English (American)","awake","adjectives","descriptive_words","awake","awake"
"25","English (American)","away","function_words","locations","away","away"
"26","English (American)","back (location)","function_words","locations","back","back"
"27","English (American)","bad","adjectives","descriptive_words","bad","bad"
"28","English (American)","ball","nouns","toys","ball","ball"
"29","English (American)","balloon","nouns","toys","balloon","balloon"
"30","English (American)","banana","nouns","food_drink","banana","banana"
"31","English (American)","basement","nouns","furniture_rooms","basement","basement"
"32","English (American)","basket","nouns","household","basket","basket"
"33","English (American)","bat","nouns","toys","bat","bat"
"34","English (American)","bathroom","nouns","furniture_rooms","bathroom","bathroom"
"35","English (American)","bathtub","nouns","furniture_rooms","bathtub","bathtub"
"36","English (American)","be","function_words","helping_verbs","be","be"
"37","English (American)","beach","nouns","outside","beach","beach"
"38","English (American)","beads","nouns","clothing","beads","beads"
"39","English (American)","beans","nouns","food_drink","beans","beans"
"40","English (American)","bear","nouns","animals","bear","bear"
"41","English (American)","because","function_words","connecting_words","because","because"
"42","English (American)","bed","nouns","furniture_rooms","bed","bed"
"43","English (American)","bedroom","nouns","furniture_rooms","bedroom","bedroom"
"44","English (American)","bee","nouns","animals","bee","bee"
"45","English (American)","behind","function_words","locations","behind","behind"
"46","English (American)","belly button","nouns","body_parts","belly button","belly button"
"47","English (American)","belt","nouns","clothing","belt","belt"
"48","English (American)","bench","nouns","furniture_rooms","bench","bench"
"49","English (American)","beside","function_words","locations","beside","beside"
"50","English (American)","better","adjectives","descriptive_words","better","better"
"51","English (American)","bib","nouns","clothing","bib","bib"
"52","English (American)","bicycle","nouns","vehicles","bicycle","bicycle"
"53","English (American)","big","adjectives","descriptive_words","big","big"
"54","English (American)","bird","nouns","animals","bird","bird"
"55","English (American)","bite","verbs","action_words","bite","bite"
"56","English (American)","black","adjectives","descriptive_words","black","black"
"57","English (American)","blanket","nouns","household","blanket","blanket"
"58","English (American)","block","nouns","toys","block","block"
"59","English (American)","blow","verbs","action_words","blow","blow"
"60","English (American)","blue","adjectives","descriptive_words","blue","blue"
"61","English (American)","boat","nouns","vehicles","boat","boat"
"62","English (American)","book","nouns","toys","book","book"
"63","English (American)","boots","nouns","clothing","boots","boots"
"64","English (American)","bottle","nouns","household","bottle","bottle"
"65","English (American)","bowl","nouns","household","bowl","bowl"
"66","English (American)","box","nouns","household","box","box"
"67","English (American)","bread","nouns","food_drink","bread","bread"
"68","English (American)","break","verbs","action_words","break","break"
"69","English (American)","bring","verbs","action_words","bring","bring"
"70","English (American)","broken","adjectives","descriptive_words","broken","broken"
"71","English (American)","broom","nouns","household","broom","broom"
"72","English (American)","brown","adjectives","descriptive_words","brown","brown"
"73","English (American)","brush (object)","nouns","household","brush","brush"
"74","English (American)","bubbles","nouns","toys","bubbles","bubbles"
"75","English (American)","bucket","nouns","household","bucket","bucket"
"76","English (American)","bug","nouns","animals","bug","bug"
"77","English (American)","build","verbs","action_words","build","build"
"78","English (American)","bump","verbs","action_words","bump","bump"
"79","English (American)","bunny","nouns","animals","bunny","bunny"
"80","English (American)","bus","nouns","vehicles","bus","bus"
"81","English (American)","but","function_words","connecting_words","but","but"
"82","English (American)","butt","nouns","body_parts","buttocks/bottom*","buttocks"
"83","English (American)","butter","nouns","food_drink","butter","butter"
"84","English (American)","butterfly","nouns","animals","butterfly","butterfly"
"85","English (American)","button","nouns","clothing","button","button"
"86","English (American)","buy","verbs","action_words","buy","buy"
"87","English (American)","by","function_words","locations","by","by"
"88","English (American)","cake","nouns","food_drink","cake","cake"
"89","English (American)","camera","nouns","household","camera","camera"
"90","English (American)","can (auxiliary)","function_words","helping_verbs","can (auxiliary)","can"
"91","English (American)","can (object)","nouns","household","can (object)","can"
"92","English (American)","candy","nouns","food_drink","candy","candy"
"93","English (American)","car","nouns","vehicles","car","car"
"94","English (American)","careful","adjectives","descriptive_words","careful","careful"
"95","English (American)","carrots","nouns","food_drink","carrots","carrots"
"96","English (American)","carry","verbs","action_words","carry","carry"
"97","English (American)","cat","nouns","animals","cat","cat"
"98","English (American)","catch","verbs","action_words","catch","catch"
"99","English (American)","cereal","nouns","food_drink","cereal","cereal"
"100","English (American)","chair","nouns","furniture_rooms","chair","chair"
"101","English (American)","chalk","nouns","toys","chalk","chalk"
"102","English (American)","chase","verbs","action_words","chase","chase"
"103","English (American)","cheek","nouns","body_parts","cheek","cheek"
"104","English (American)","cheerios","nouns","food_drink","cheerios","cheerios"
"105","English (American)","cheese","nouns","food_drink","cheese","cheese"
"106","English (American)","chicken (animal)","nouns","animals","chicken (animal)","chicken"
"107","English (American)","chicken (food)","nouns","food_drink","chicken (food)","chicken"
"108","English (American)","chin","nouns","body_parts","chin","chin"
"109","English (American)","chips","nouns","food_drink","potato chip","potato chip"
"110","English (American)","chocolate","nouns","food_drink","chocolate","chocolate"
"111","English (American)","church","nouns","outside","church*","church*"
"112","English (American)","clap","verbs","action_words","clap","clap"
"113","English (American)","clean (action)","verbs","action_words","clean (action)","clean"
"114","English (American)","clean (description)","adjectives","descriptive_words","clean (description)","clean"
"115","English (American)","climb","verbs","action_words","climb","climb"
"116","English (American)","clock","nouns","household","clock","clock"
"117","English (American)","close","verbs","action_words","close","close"
"118","English (American)","closet","nouns","furniture_rooms","closet","closet"
"119","English (American)","cloud","nouns","outside","cloud","cloud"
"120","English (American)","coat","nouns","clothing","coat","coat"
"121","English (American)","coffee","nouns","food_drink","coffee","coffee"
"122","English (American)","coke","nouns","food_drink","coke","coke"
"123","English (American)","cold","adjectives","descriptive_words","cold","cold"
"124","English (American)","comb (object)","nouns","household","comb","comb"
"125","English (American)","cook","verbs","action_words","cook","cook"
"126","English (American)","cookie","nouns","food_drink","cookie","cookie"
"127","English (American)","corn","nouns","food_drink","corn","corn"
"128","English (American)","couch","nouns","furniture_rooms","couch","couch"
"129","English (American)","could","function_words","helping_verbs","could","could"
"130","English (American)","cover (action)","verbs","action_words","cover","cover"
"131","English (American)","cow","nouns","animals","cow","cow"
"132","English (American)","cracker","nouns","food_drink","cracker","cracker"
"133","English (American)","crayon","nouns","toys","crayon","crayon"
"134","English (American)","crib","nouns","furniture_rooms","crib","crib"
"135","English (American)","cry","verbs","action_words","cry","cry"
"136","English (American)","cup","nouns","household","cup","cup"
"137","English (American)","cut","verbs","action_words","cut","cut"
"138","English (American)","cute","adjectives","descriptive_words","cute","cute"
"139","English (American)","dance","verbs","action_words","dance","dance"
"140","English (American)","dark","adjectives","descriptive_words","dark","dark"
"141","English (American)","deer","nouns","animals","deer","deer"
"142","English (American)","diaper","nouns","clothing","diaper","diaper"
"143","English (American)","did","function_words","helping_verbs","did/did ya","did"
"144","English (American)","dirty","adjectives","descriptive_words","dirty","dirty"
"145","English (American)","dish","nouns","household","dish","dish"
