language,uni_lemma,lexical_class,category,definition,word_clean
Mandarin (Beijing),a,function_words,final_particles,啊/呀,啊
Mandarin (Beijing),a,function_words,quantifiers,一个,一个
Mandarin (Beijing),a little,function_words,quantifiers,一点,一点
Mandarin (Beijing),a lot,adjectives,descriptive_words,好多,好多
Mandarin (Beijing),airplane,nouns,vehicles,飞机,飞机
Mandarin (Beijing),all,function_words,quantifiers,都,都
Mandarin (Beijing),all gone,adjectives,descriptive_words,(吃)没了,没 了
Mandarin (Beijing),also,function_words,quantifiers,也,也
Mandarin (Beijing),ambulance,nouns,vehicles,救护车,救护车
Mandarin (Beijing),angry,adjectives,descriptive_words,生气,生气
Mandarin (Beijing),animal,nouns,animals,动物,动物
Mandarin (Beijing),another,function_words,quantifiers,另外,另外
Mandarin (Beijing),ant,nouns,animals,蚂蚁,蚂蚁
Mandarin (Beijing),apple,nouns,food_drink,苹果,苹果
Mandarin (Beijing),arm,nouns,body_parts,胳膊,胳膊
Mandarin (Beijing),asleep,adjectives,descriptive_words,睡着,睡着
Mandarin (Beijing),at,function_words,directions,在,在
Mandarin (Beijing),backyard,nouns,outside,院子,院子
Mandarin (Beijing),bad,adjectives,descriptive_words,坏,坏
Mandarin (Beijing),bad,adjectives,descriptive_words,不好,不好
Mandarin (Beijing),bad,adjectives,descriptive_words,坏(人),坏
Mandarin (Beijing),bag,nouns,household,书包,书包
Mandarin (Beijing),bag,nouns,household,包,包
Mandarin (Beijing),ball,nouns,toys,皮球,皮球
Mandarin (Beijing),ball,nouns,toys,汽球,汽球
Mandarin (Beijing),ball,nouns,toys,球,球
Mandarin (Beijing),balloon,nouns,toys,汽球,汽球
Mandarin (Beijing),balloon,nouns,toys,气球,气球
Mandarin (Beijing),banana,nouns,food_drink,香蕉,香蕉
Mandarin (Beijing),bathroom,nouns,furniture_rooms,厕所,厕所
Mandarin (Beijing),bathroom,nouns,furniture_rooms,浴室,浴室
Mandarin (Beijing),bathtub,nouns,furniture_rooms,澡盆,澡盆
Mandarin (Beijing),bathtub,nouns,furniture_rooms,浴缸,浴缸
Mandarin (Beijing),battery,nouns,household,电池,电池
Mandarin (Beijing),beads,nouns,clothing,珠子,珠子
Mandarin (Beijing),beans,nouns,food_drink,豆,豆
Mandarin (Beijing),bear,nouns,animals,熊,熊
Mandarin (Beijing),bed,nouns,furniture_rooms,床,床
Mandarin (Beijing),bedroom,nouns,furniture_rooms,卧室,卧室
Mandarin (Beijing),bee,nouns,animals,蜜蜂,蜜蜂
Mandarin (Beijing),bell,nouns,toys,铃铛,铃铛
Mandarin (Beijing),belly button,nouns,body_parts,肚脐眼儿,肚脐眼
Mandarin (Beijing),bib,nouns,clothing,围嘴,围嘴
Mandarin (Beijing),bicycle,nouns,vehicles,自行车,自行车
Mandarin (Beijing),big,adjectives,descriptive_words,大,大
Mandarin (Beijing),bird,nouns,animals,鸟,鸟
Mandarin (Beijing),bite,verbs,action_words,咬,咬
Mandarin (Beijing),black,adjectives,descriptive_words,黑色,黑色
Mandarin (Beijing),black,adjectives,descriptive_words,黑,黑
Mandarin (Beijing),blanket,nouns,household,毛巾被,毛巾被
Mandarin (Beijing),blanket,nouns,household,毯子,毯子
Mandarin (Beijing),block,nouns,toys,积木,积木
Mandarin (Beijing),blow,verbs,action_words,吹,吹
Mandarin (Beijing),blow,verbs,action_words,刮风,刮风
Mandarin (Beijing),blue,adjectives,descriptive_words,蓝色,蓝色
Mandarin (Beijing),blue,adjectives,descriptive_words,蓝（色）,蓝
Mandarin (Beijing),boat,nouns,vehicles,船,船
Mandarin (Beijing),book,nouns,toys,书,书
Mandarin (Beijing),book,nouns,toys,枪,枪
Mandarin (Beijing),bottle,nouns,household,瓶子,瓶子
Mandarin (Beijing),bowl,nouns,household,碗,碗
Mandarin (Beijing),box,nouns,household,盒子,盒子
Mandarin (Beijing),bread,nouns,food_drink,面包,面包
Mandarin (Beijing),break,verbs,action_words,拆,拆
Mandarin (Beijing),break,verbs,action_words,打破,打破
Mandarin (Beijing),break,verbs,action_words,打碎,打碎
Mandarin (Beijing),bring,verbs,action_words,带,带
Mandarin (Beijing),bring,verbs,action_words,带上,带上
Mandarin (Beijing),broken,adjectives,descriptive_words,坏,坏
Mandarin (Beijing),broken,adjectives,descriptive_words,坏了,坏 了
Mandarin (Beijing),broom,nouns,household,扫帚,扫帚
Mandarin (Beijing),broom,nouns,household,条帚,条帚
Mandarin (Beijing),brush (action),verbs,action_words,刷,刷
Mandarin (Beijing),brush (object),nouns,household,刷子,刷子
Mandarin (Beijing),bubbles,nouns,toys,泡泡,泡泡
Mandarin (Beijing),bucket,nouns,household,桶,桶
Mandarin (Beijing),bug,nouns,animals,虫子,虫子
Mandarin (Beijing),bump,verbs,action_words,撞,撞
Mandarin (Beijing),bunny,nouns,animals,兔子,兔子
Mandarin (Beijing),bus,nouns,vehicles,公共汽车,公共汽车
Mandarin (Beijing),butt,nouns,body_parts,屁股,屁股
Mandarin (Beijing),butterfly,nouns,animals,蝴蝶,蝴蝶
Mandarin (Beijing),button,nouns,clothing,钮扣,钮扣
Mandarin (Beijing),button,nouns,clothing,扣子,扣子
Mandarin (Beijing),buy,verbs,action_words,买,买
Mandarin (Beijing),cabbage,nouns,food_drink,白菜,白菜
Mandarin (Beijing),cake,nouns,food_drink,蛋糕,蛋糕
Mandarin (Beijing),calf,nouns,body_parts,小腿,小腿
Mandarin (Beijing),camera,nouns,household,照相机,照相机
Mandarin (Beijing),can (auxiliary),verbs,action_words,会,会
Mandarin (Beijing),can (auxiliary),function_words,helping_verbs,能,能
Mandarin (Beijing),can (auxiliary),function_words,helping_verbs,会,会
Mandarin (Beijing),can (object),nouns,household,罐头,罐头
Mandarin (Beijing),candle,nouns,household,蜡烛,蜡烛
Mandarin (Beijing),cap,verbs,action_words,套,套
Mandarin (Beijing),car,nouns,vehicles,小汽车,小汽车
Mandarin (Beijing),car,nouns,vehicles,车,车
Mandarin (Beijing),careful,adjectives,descriptive_words,委屈,委屈
Mandarin (Beijing),careful,adjectives,descriptive_words,小心,小心
Mandarin (Beijing),carrots,nouns,food_drink,胡萝卜,胡萝卜
Mandarin (Beijing),cat,nouns,animals,猫,猫
Mandarin (Beijing),catch,verbs,action_words,抓,抓
Mandarin (Beijing),catch,verbs,action_words,逮（坏蛋）,逮
Mandarin (Beijing),chair,nouns,furniture_rooms,椅子,椅子
Mandarin (Beijing),cheek,nouns,body_parts,脸蛋,脸蛋
Mandarin (Beijing),cheese,nouns,food_drink,奶酪,奶酪
Mandarin (Beijing),chick,nouns,animals,小鸡,小鸡
Mandarin (Beijing),chicken (animal),nouns,animals,鸡,鸡
Mandarin (Beijing),chicken (food),nouns,food_drink,鸡肉,鸡肉
Mandarin (Beijing),chin,nouns,body_parts,下巴,下巴
Mandarin (Beijing),chocolate,nouns,food_drink,巧克力,巧克力
Mandarin (Beijing),clap,verbs,action_words,拍,拍
Mandarin (Beijing),clap,verbs,action_words,鼓掌,鼓掌
Mandarin (Beijing),clap,verbs,action_words,拍手,拍手
Mandarin (Beijing),clean (action),verbs,action_words,打扫,打扫
Mandarin (Beijing),clean (description),adjectives,descriptive_words,干净,干净
Mandarin (Beijing),climb,verbs,action_words,爬,爬
Mandarin (Beijing),clock,nouns,household,钟/表,钟
Mandarin (Beijing),close,verbs,action_words,关(门),关
Mandarin (Beijing),close,verbs,action_words,闭（眼、嘴）,闭
Mandarin (Beijing),closet,nouns,furniture_rooms,柜子,柜子
Mandarin (Beijing),cloth,nouns,household,（抹）布,布
Mandarin (Beijing),cloud,nouns,outside,云彩,云彩
Mandarin (Beijing),cloud,nouns,outside,云,云
Mandarin (Beijing),coat,nouns,clothing,大衣/外套,大衣
Mandarin (Beijing),coat,nouns,clothing,大衣,大衣
Mandarin (Beijing),coffee,nouns,food_drink,咖啡,咖啡
Mandarin (Beijing),cold,adjectives,descriptive_words,冷,冷
Mandarin (Beijing),comb (action),verbs,action_words,梳(头),梳
Mandarin (Beijing),comb (object),nouns,household,梳子,梳子
Mandarin (Beijing),come,verbs,action_words,来,来
Mandarin (Beijing),computer,nouns,furniture_rooms,电脑,电脑
Mandarin (Beijing),cookie,nouns,food_drink,饼干,饼干
Mandarin (Beijing),corridor,nouns,outside,楼道,楼道
Mandarin (Beijing),couch,nouns,furniture_rooms,沙发,沙发
Mandarin (Beijing),count,verbs,action_words,数数,数数
Mandarin (Beijing),cover (action),verbs,action_words,盖上,盖上
Mandarin (Beijing),cover (action),verbs,action_words,盖(被子),盖
Mandarin (Beijing),cow,nouns,animals,牛,牛
Mandarin (Beijing),crayon,nouns,toys,蜡笔,蜡笔
Mandarin (Beijing),crow,nouns,animals,乌鸦,乌鸦
Mandarin (Beijing),cry,verbs,action_words,哭,哭
Mandarin (Beijing),cry,verbs,action_words,叫,叫
Mandarin (Beijing),cucumber,nouns,food_drink,黄瓜,黄瓜
Mandarin (Beijing),cup,nouns,household,杯子,杯子
Mandarin (Beijing),curtain,nouns,furniture_rooms,窗帘,窗帘
Mandarin (Beijing),cute,adjectives,descriptive_words,可爱/好玩儿,可爱
Mandarin (Beijing),dance,verbs,action_words,跳舞,跳舞
Mandarin (Beijing),dark,adjectives,descriptive_words,黑乎乎,黑乎乎
Mandarin (Beijing),dark,adjectives,descriptive_words,(天)黑,天黑
Mandarin (Beijing),deer,nouns,animals,鹿,鹿
Mandarin (Beijing),deer,nouns,animals,梅花鹿,梅花鹿
Mandarin (Beijing),dirty,adjectives,descriptive_words,脏,脏
Mandarin (Beijing),dish,nouns,food_drink,菜,菜
Mandarin (Beijing),dog,nouns,animals,狗,狗
Mandarin (Beijing),doll,nouns,toys,娃娃,娃娃
Mandarin (Beijing),doll,nouns,toys,布娃娃,布娃娃
Mandarin (Beijing),donkey,nouns,animals,驴,驴
Mandarin (Beijing),door,nouns,furniture_rooms,门,门
Mandarin (Beijing),down,verbs,action_words,下,下
Mandarin (Beijing),draw,verbs,action_words,画画,画画
Mandarin (Beijing),drawer,nouns,furniture_rooms,抽屉,抽屉
Mandarin (Beijing),dress (object),nouns,clothing,衣服,衣服
Mandarin (Beijing),drink (action),verbs,action_words,喝,喝
Mandarin (Beijing),drink (beverage),nouns,food_drink,饮料,饮料
Mandarin (Beijing),drive,verbs,action_words,开车,开车
Mandarin (Beijing),drop,verbs,action_words,掉,掉
Mandarin (Beijing),dry (description),adjectives,descriptive_words,干,干
Mandarin (Beijing),duck,nouns,animals,鸭子,鸭子
Mandarin (Beijing),dump,verbs,action_words,倒(垃圾),倒
Mandarin (Beijing),ear,nouns,body_parts,耳朵,耳朵
Mandarin (Beijing),earth,nouns,outside,土,土
Mandarin (Beijing),eat,verbs,action_words,吃,吃
Mandarin (Beijing),egg,nouns,food_drink,鸡蛋,鸡蛋
Mandarin (Beijing),egg,nouns,food_drink,蛋,蛋
Mandarin (Beijing),elephant,nouns,animals,大象,大象
Mandarin (Beijing),elevator,nouns,furniture_rooms,电梯,电梯
Mandarin (Beijing),elevator,nouns,outside,电梯,电梯
Mandarin (Beijing),empty,adjectives,descriptive_words,空的,空 的
Mandarin (Beijing),enter,verbs,action_words,进去,进去
Mandarin (Beijing),eye,nouns,body_parts,眼睛,眼睛
Mandarin (Beijing),face,nouns,body_parts,脸,脸
Mandarin (Beijing),fall,verbs,action_words,跌倒,跌倒
Mandarin (Beijing),fall,verbs,action_words,摔倒,摔倒
Mandarin (Beijing),fast,adjectives,descriptive_words,快,快
Mandarin (Beijing),feed,verbs,action_words,喂,喂
Mandarin (Beijing),find,verbs,action_words,找到,找到
Mandarin (Beijing),finger,nouns,body_parts,手指头,手指头
Mandarin (Beijing),finish,verbs,action_words,做完,做 完
Mandarin (Beijing),finished,adjectives,descriptive_words,喜欢,喜欢
Mandarin (Beijing),fish (animal),nouns,animals,鱼,鱼
Mandarin (Beijing),fish (food),nouns,food_drink,鱼,鱼
