language,uni_lemma,lexical_class,category,definition,word_clean
Mandarin (Taiwanese),above,function_words,locations,上面,上面
Mandarin (Taiwanese),air conditioner,nouns,household,冷氣,冷气
Mandarin (Taiwanese),airplane,nouns,vehicles,飛機,飞机
Mandarin (Taiwanese),all,function_words,quantifiers,全部(通通),全部
Mandarin (Taiwanese),alligator,nouns,animals,鱷魚,鳄鱼
Mandarin (Taiwanese),also,function_words,quantifiers,還有,还
Mandarin (Taiwanese),also,function_words,quantifiers,也有、也是,也
Mandarin (Taiwanese),ambulance,nouns,vehicles,救護車,救护车
Mandarin (Taiwanese),and,function_words,connecting_words,和,和
Mandarin (Taiwanese),angry,adjectives,descriptive_words,生氣的,生气
Mandarin (Taiwanese),animal,nouns,animals,動物,动物
Mandarin (Taiwanese),ant,nouns,animals,螞蟻,蚂蚁
Mandarin (Taiwanese),apple,nouns,food_drink,蘋果,苹果
Mandarin (Taiwanese),arm,nouns,body_parts,手臂,手臂
Mandarin (Taiwanese),awake,adjectives,descriptive_words,醒了/醒著,醒 了
Mandarin (Taiwanese),away,function_words,locations,走開,走开
Mandarin (Taiwanese),back,function_words,locations,後面,后面
Mandarin (Taiwanese),back,nouns,body_parts,背,背
Mandarin (Taiwanese),bad,adjectives,descriptive_words,壞的,坏 的
Mandarin (Taiwanese),bag,nouns,household,書包,书包
Mandarin (Taiwanese),bag,nouns,household,袋子,袋子
Mandarin (Taiwanese),balcony,nouns,furniture_rooms,陽台,阳台
Mandarin (Taiwanese),ball,nouns,toys,球,球
Mandarin (Taiwanese),balloon,nouns,toys,氣球,气球
Mandarin (Taiwanese),banana,nouns,food_drink,香蕉,香蕉
Mandarin (Taiwanese),basket,nouns,household,籃子,篮子
Mandarin (Taiwanese),bat,nouns,toys,球棒,球棒
Mandarin (Taiwanese),bathroom,nouns,furniture_rooms,浴室,浴室
Mandarin (Taiwanese),bathtub,nouns,furniture_rooms,浴缸,浴缸
Mandarin (Taiwanese),beads,nouns,clothing,珠珠,珠珠
Mandarin (Taiwanese),because,function_words,connecting_words,因為,因为
Mandarin (Taiwanese),bed,nouns,furniture_rooms,床,床
Mandarin (Taiwanese),bedroom,nouns,furniture_rooms,臥(房)室,卧室
Mandarin (Taiwanese),bee,nouns,animals,蜜蜂(ㄨㄥㄨㄥ),蜜蜂
Mandarin (Taiwanese),belly button,nouns,body_parts,肚臍,肚脐
Mandarin (Taiwanese),below,function_words,locations,下面,下面
Mandarin (Taiwanese),belt,nouns,clothing,皮帶,皮带
Mandarin (Taiwanese),bib,nouns,clothing,圍兜(兜),围兜
Mandarin (Taiwanese),bicycle,nouns,vehicles,腳踏車,脚踏车
Mandarin (Taiwanese),big,adjectives,descriptive_words,大的,大
Mandarin (Taiwanese),bird,nouns,animals,小鳥,小鸟
Mandarin (Taiwanese),bite,verbs,action_words,咬,咬
Mandarin (Taiwanese),bitter,adjectives,descriptive_words,好苦/苦苦的,苦 的
Mandarin (Taiwanese),black,adjectives,descriptive_words,黑色的/黑黑的,黑色
Mandarin (Taiwanese),blanket,nouns,household,毯子(被子),毯子
Mandarin (Taiwanese),block,nouns,toys,積木,积木
Mandarin (Taiwanese),blow,verbs,action_words,吹,吹
Mandarin (Taiwanese),blue,adjectives,descriptive_words,藍藍的/藍色的,蓝色
Mandarin (Taiwanese),boat,nouns,vehicles,船,船
Mandarin (Taiwanese),book,nouns,toys,書,书
Mandarin (Taiwanese),bottle,nouns,household,瓶子,瓶子
Mandarin (Taiwanese),bowl,nouns,household,碗,碗
Mandarin (Taiwanese),box,nouns,household,盒子,盒子
Mandarin (Taiwanese),bread,nouns,food_drink,麵包,面包
Mandarin (Taiwanese),break,verbs,action_words,打破,打破
Mandarin (Taiwanese),breast,nouns,body_parts,胸部(ㄋㄟㄋㄟ),胸部
Mandarin (Taiwanese),bright,adjectives,descriptive_words,亮亮的,亮
Mandarin (Taiwanese),bring,verbs,action_words,帶,带
Mandarin (Taiwanese),broken,adjectives,descriptive_words,破了/破掉了,破 了
Mandarin (Taiwanese),broom,nouns,household,掃把,扫把
Mandarin (Taiwanese),brush,nouns,household,刷子,刷子
Mandarin (Taiwanese),bubbles,nouns,toys,泡泡,泡泡
Mandarin (Taiwanese),bucket,nouns,household,水桶,水桶
Mandarin (Taiwanese),bug,nouns,animals,蟲蟲,虫子
Mandarin (Taiwanese),bun,nouns,food_drink,饅頭,馒头
Mandarin (Taiwanese),bun,nouns,food_drink,包子,包子
Mandarin (Taiwanese),bunny,nouns,animals,兔子,兔子
Mandarin (Taiwanese),bus,nouns,vehicles,公車(巴士),公车
