word,surprisal_value,n_instances
airplane,0.0003146602116969,975
all,0.0000108460975134,39602
animal,0.0006272376522015,1240
another,0.0000401617608571,11475
apple,0.0001883398408629,2994
arm,0.0004457572404666,1221
asleep,0.0006256645922890,1093
aunt,0.1318519590301561,154
away,0.0000893660498315,8746
baby,0.0000298316432912,17593
babysitter,0.0194890316155171,62
back,0.0000195387465546,21315
bad,0.0002823679697876,2049
ball,0.0000558418225595,6760
balloon,0.0003255947418354,1436
banana,0.0005348125505133,1255
bath,0.0003536465966820,2165
bathroom,0.0003845309689832,837
bathtub,0.0045320568534839,326
beach,0.0006649376167208,794
beads,0.0012289394181270,447
bear,0.0050196092600286,4183
bed,0.0021646407486086,6090
bedroom,0.0005146516431171,907
bee,0.0006793366727460,1167
bib,0.0014500558588106,498
bicycle,0.0015308639235998,518
big,0.0005901689469685,20171
bird,0.0001580430350125,2041
bite,0.0002475119843517,2019
blanket,0.0006277510528748,762
block,0.0008812269027346,904
blow,0.0004440757166142,1665
blue,0.0000495201628090,7466
book,0.0000318615670965,12338
boots,0.0025491896560389,652
bottle,0.0001401631965310,2388
bowl,0.0004571019427871,1565
box,0.0000483619988348,6970
boy,0.0000260909184252,11411
bread,0.0001182953506666,2365
break,0.0001688210275493,2303
breakfast,0.0031523719457011,2709
bring,0.0000737212596207,4179
broken,0.0002883480885421,2193
broom,0.0089923259990946,222
brother,0.0006423469807372,997
brush,0.0002186163790614,1720
bubbles,0.0009124864358816,974
bug,0.0082307103827286,504
bump,0.0065621946737203,808
bunny,0.0003460116237057,1917
bus,0.0001339599696866,3036
butter,0.0019796243845593,1105
butterfly,0.0009169386454722,713
button,0.0002975493386178,1292
bye,0.0001518028033956,3845
cake,0.0002975988380826,2789
candy,0.0009194612267133,565
car,0.0000255058695721,10855
careful,0.0001439947798884,4866
carrots,0.0026510418082279,645
cat,0.0000581980296252,4701
cereal,0.0007268559274964,828
chair,0.0011255550902898,5135
cheek,0.0134633145789851,128
cheerios,0.0600630667932492,47
cheese,0.0001418009409322,3365
chicken,0.0003119082784353,2292
child,0.0037527522539730,498
church,0.0020691972469155,447
clean,0.0001606791434567,2943
clock,0.0002889165452047,1377
close,0.0001721776513001,2530
coat,0.0008628831423284,956
cockadoodledoo,0.0051499348461492,216
coffee,0.0002996879628242,1783
cold,0.0001767599802327,3125
comb,0.0009507552932398,509
cookie,0.0001625900489027,2119
couch,0.0028426061580028,407
cow,0.0001278259660129,2785
cracker,0.0054315410675362,385
crib,0.0065664466288670,251
cry,0.0006235635284639,1104
cup,0.0001086552423342,4257
cute,0.0006987111159937,1083
daddy,0.0001102415987362,4317
dance,0.0012860433555906,886
dark,0.0004481010436848,1195
day,0.0001026632134279,5864
deer,0.0049767841789934,309
diaper,0.0008631231788521,850
dinner,0.0001816288611860,2503
dirty,0.0001891543455548,2170
dish,0.0051930190444839,247
dog,0.0001116351693762,4418
doll,0.0002588144251667,1437
dont,0.0000060550557460,71801
donkey,0.0020851989275731,476
door,0.0000935518367487,4988
down,0.0000448163641495,25065
draw,0.0001224162604720,3948
drawer,0.0026671777374415,426
dress,0.0002588411352466,1686
drink,0.0000635974323417,5020
drive,0.0003372374299139,1490
dry,0.0007110974011148,1339
duck,0.0003553953952636,2312
ear,0.0008397925896760,990
eat,0.0000282393934143,14401
egg,0.0003339420209300,2031
elephant,0.0003255265148986,2284
empty,0.0010186192048312,969
eye,0.0006176166260652,1361
face,0.0000950952768446,3507
fall,0.0001186750986462,3614
fast,0.0007261326308305,1418
feed,0.0009089593624740,1353
fine,0.0004664363459341,1412
finger,0.0004602344438719,1726
finish,0.0002050853312920,2228
firetruck,0.0188787402424578,116
fish,0.0000933816230710,3680
flower,0.0007837371404959,1096
food,0.0001016244047921,4997
foot,0.0001484771374148,2810
fork,0.0012456458330882,606
frog,0.0004929536108444,1383
garage,0.0009318885458330,915
garden,0.0003747041268226,1401
gentle,0.0011467594101268,769
get,0.0000146930364205,44497
giraffe,0.0007820239849594,918
girl,0.0001310559005448,8943
give,0.0000391387783718,10901
glass,0.0006236565038323,851
glasses,0.0017435237199655,780
go,0.0000089670026483,66722
good,0.0000114656149873,34230
goose,0.0030701946194965,414
grandma,0.0018012402531947,653
grandpa,0.0019266984085196,286
grrr,0.0234826321987547,85
hair,0.0001028510598938,5062
hammer,0.0013407922721866,696
hand,0.0000959210910354,5101
happy,0.0001933476517030,2796
hard,0.0001488707074301,3654
hat,0.0001237273703097,4554
head,0.0000777881157279,5780
hello,0.0000540479464781,6234
help,0.0000589227348154,7177
her,0.0000156567485191,25947
hi,0.0001191804298031,5027
his,0.0000313181543279,20818
hit,0.0004206071385249,1852
home,0.0000342487971599,7693
horse,0.0001119424196538,3331
hot,0.0001382316061399,3542
house,0.0008385434977219,9705
how,0.0000167536944283,25252
hug,0.0004841593865707,926
hungry,0.0004683889740537,2181
hurry,0.0014868406041341,693
hurt,0.0001135537072922,3685
i,0.0009926029672633,650
in,0.0001853054499855,110210
inside,0.0001586832632323,3137
it,0.0000410844481795,238008
jacket,0.0014541217589811,516
jeans,0.0105159721509728,135
juice,0.0000926980499975,5133
jump,0.0005814521310520,1918
keys,0.0006550381470927,1008
kick,0.0020269985968346,729
kiss,0.0001385187014049,2664
kitchen,0.0001648845945124,1940
kitty,0.0002360123415931,2251
knee,0.0004349248056865,996
lady,0.0002603769037014,2373
lamb,0.0016990575141688,610
lamp,0.0041491553042364,228
later,0.0001609690857066,3202
leg,0.0004855174459519,1375
light,0.0002250683113764,2214
lion,0.0002313661293501,1596
little,0.0000141550310135,31132
look,0.0000068829377485,54919
love,0.0000925516383427,4169
lunch,0.0001908647812866,2362
man,0.0000633879282614,6247
me,0.0000135107732885,46556
meat,0.0012459219547353,766
medicine,0.0008532688875426,758
meow,0.0015297505133929,825
milk,0.0000819551258423,4437
mine,0.0001609877609935,2195
mommy,0.0021129990528621,5003
money,0.0002489019379642,2634
monkey,0.0002354577599772,1846
moo,0.0009295468863167,971
moon,0.0003917921428820,1164
more,0.0000207079379734,18696
morning,0.0003609111184273,4530
motorcycle,0.0025150747962014,301
mouse,0.0004791630520468,1424
mouth,0.0000946539465980,4829
my,0.0000629531446534,24342
nap,0.0015370439330097,718
naughty,0.0001609560599318,2308
necklace,0.0063073150284421,264
nice,0.0000241559881332,16080
night,0.0001003210790393,3954
no,0.0000063208211010,86149
none,0.0032263742834747,404
nose,0.0001136462184471,4475
not,0.0000080804605429,50277
now,0.0000163585324199,46644
off,0.0000274636409894,17209
old,0.0002070715326764,3163
on,0.0000046998450869,103874
open,0.0000588601458368,6596
orange,0.0001562848565945,4042
other,0.0000300555259742,12482
ouch,0.0009916422034926,807
out,0.0003063540417941,27325
outside,0.0001320476165743,4162
oven,0.0025418015971364,561
owl,0.0028547144983197,598
pajamas,0.0018807955178627,630
pants,0.0004099334518848,1606
paper,0.0002521399866008,3711
park,0.0002411522729987,1484
party,0.0003580275779786,2149
pattycake,0.0109483662371836,210
peas,0.0002857543252672,1825
peekaboo,0.0005017253662256,1914
pen,0.0009504992366268,1140
penguin,0.0015231087899330,534
penny,0.0093043166529227,462
people,0.0001035010823268,4982
person,0.0006907732245565,849
picture,0.0001090621818432,5093
pig,0.0004380061051702,1941
pillow,0.0016390451415192,551
pizza,0.0003007882190126,2118
plant,0.0056641469913604,388
plate,0.0002810726497776,2091
play,0.0000168609187605,18557
please,0.0000388625568351,10496
pony,0.0034447257788458,188
pool,0.0009122287872270,690
potty,0.0007583862503512,785
pretty,0.0000821932738380,5168
pull,0.0000878092995979,3850
puppy,0.0007601432289820,1034
purse,0.0051830731049935,376
push,0.0001202965613901,4318
put,0.0000084388324322,54619
radio,0.0106068938262507,292
rain,0.0008556286079884,967
raisin,0.0165483772954240,140
read,0.0000501512111195,7407
red,0.0000603816997145,7985
refrigerator,0.0016702328930420,453
ride,0.0002392942861323,2335
rock,0.0028208961813364,687
run,0.0003202734947415,2002
same,0.0002028946606502,3139
say,0.0000168730859348,23925
scared,0.0010390029574934,802
school,0.0001065981642945,5363
scissors,0.0009834735366231,607
see,0.0000087290000691,57110
sheep,0.0002467171612191,1889
shirt,0.0007181955272760,1907
shoe,0.0003872153772025,1735
shorts,0.0057285195129499,321
shovel,0.0428606541376020,227
show,0.0000473848048180,6865
sick,0.0007891786454255,956
sing,0.0001430098260962,3076
sink,0.0043384951283703,439
sister,0.0008579152338375,1067
sky,0.0008416490566590,1056
sleep,0.0018173447095045,3988
sleepy,0.0008437462167837,652
slide,0.0006512279961026,1422
smile,0.0029599046676578,399
snow,0.0004477833471640,1246
soap,0.0012923653124183,568
sock,0.0013425416506569,680
soft,0.0007023128203884,1088
some,0.0000098293920422,36514
splash,0.0027141591732985,550
spoon,0.0001384205323987,2860
squirrel,0.0020671148908561,409
stairs,0.0007164342426149,850
star,0.0006264230110127,855
stop,0.0000824465371820,4448
store,0.0007573912392283,1349
stove,0.0034957659646515,408
stroller,0.0092726104364498,171
sun,0.0002746312425685,1609
sweater,0.0051480256112631,244
swim,0.0014299174736415,801
swing,0.0006069219574511,876
table,0.0000883637377863,4624
take,0.0000232119335016,16379
teacher,0.0009435146884769,660
teddybear,0.0030342423468648,409
telephone,0.0005140882496889,1018
that,0.0000033021124533,175877
there,0.0000045051198417,85394
thirsty,0.0007409912195466,623
this,0.0000059467453545,89758
throw,0.0001216174488499,4474
tickle,0.0005964389525285,1713
tiger,0.0012332608423840,1859
tired,0.0002026583829324,2847
toast,0.0002233029902673,1672
today,0.0000372398164286,8955
toe,0.0032388894741603,477
tomorrow,0.0004243436445774,1933
tongue,0.0006864720941593,603
tonight,0.0006057085442844,1139
tooth,0.0026154228277887,284
toothbrush,0.0020064038342274,261
touch,0.0001405986837972,2487
towel,0.0007334936572335,751
toy,0.0001929594324018,2200
train,0.0001043864772998,6574
trash,0.0026551583157656,235
tree,0.0002774799126870,3443
truck,0.0000993670325684,3917
tummy,0.0005623443273372,1426
turkey,0.0034512372799220,500
turtle,0.0020609037231482,631
tv,0.0004879685354076,1022
uncle,0.0091056406172873,212
under,0.0001105676712503,3477
up,0.0000086849214844,44162
vacuum,0.0071805209057253,192
vroom,0.0048214866560115,441
wait,0.0000717937786424,6371
walk,0.0031423022649365,2784
wash,0.0001470232175766,2810
watch,0.0000754653923925,6233
water,0.0000579764309328,6947
wet,0.0003707096663958,1992
what,0.0000053279559689,164228
when,0.0000294993329946,22173
where,0.0000113570219548,31053
who,0.0000198907536548,16221
why,0.0000155555475648,17834
window,0.0004639857147065,2138
wipe,0.0004156269122864,1451
work,0.0000680497923567,4799
write,0.0001723106189126,2348
backyard,0.0273388802336579,78
yes,0.0000149605368575,40771
you,0.0000019125830585,472001
your,0.0000061057938857,84867
yucky,0.0015929775877119,572
zipper,0.0029940371808723,342
zoo,0.0003500987004981,1440
shh/shush/hush,NA,NA
