"","word","mean_surprisal","n_instances"
"1","airplane",0.00052180905443734,975
"2","all",1.012527604736e-05,39602
"3","animal",0.0004969495386845,1240
"4","another",4.161977360544e-05,11475
"5","apple",0.0001851426286138,2994
"6","arm",0.00061106215798728,1221
"7","asleep",0.00087180794717846,1093
"8","aunt",0.0475777742365231,154
"9","away",0.00034363530678916,8746
"10","baby",0.00040831278519208,17593
"11","babysitter",0.0266750791019972,62
"12","back",2.472408214382e-05,21315
"13","bad",0.00037582886508062,2049
"14","ball",6.58051423059e-05,6760
"15","balloon",0.00035806145071296,1436
"16","banana",0.0008066834972578,1255
"17","bath",0.0004146576804051,2165
"18","bathroom",0.00069855200112878,837
"19","bathtub",0.00383131226347608,326
"20","beach",0.00097959657733102,794
"21","beads",0.00240977027123272,447
"22","bear",0.0066630783506287,4183
"23","bed",0.00208173537743548,6090
"24","bedroom",0.00092261810170954,907
"25","bee",0.00066004951195282,1167
"26","bib",0.00175463498755188,498
"27","bicycle",0.00274946684800792,518
"28","big",0.00042814443734034,20171
"29","bird",0.00025788123684996,2041
"30","bite",0.00021903612471486,2019
"31","blanket",0.00119730924317888,762
"32","block",0.00155008699747794,904
"33","blow",0.0004740310938316,1665
"34","blue",6.44197852407e-05,7466
"35","book",4.55888314308e-05,12338
"36","boots",0.00187800795238408,652
"37","bottle",0.00020761181378432,2388
"38","bowl",0.00285027122774814,1565
"39","box",5.850751765434e-05,6970
"40","boy",2.793863883042e-05,11411
"41","bread",0.00020782714580262,2365
"42","break",0.0002654562175356,2303
"43","breakfast",0.0019413173502486,2709
"44","bring",0.00010052163799594,4179
"45","broken",0.00028753576503396,2193
"46","broom",0.0109672508357715,222
"47","brother",0.00071148978588436,997
"48","brush",0.00034438813459062,1720
"49","bubbles",0.00080498826806698,974
"50","bug",0.00446568818629868,504
"51","bump",0.0020314882720343,808
"52","bunny",0.00027623049394786,1917
"53","bus",0.00016460192856284,3036
"54","butter",0.00100141097560264,1105
"55","butterfly",0.0013223506579652,713
"56","button",0.00053303011302206,1292
"57","bye",0.00015192413780328,3845
"58","cake",0.00025912825241588,2789
"59","candy",0.00220973928162308,565
"60","car",3.916615598436e-05,10855
"61","careful",0.00011235303703252,4866
"62","carrots",0.00179283466442806,645
"63","cat",8.29943480624e-05,4701
"64","cereal",0.00140070775451396,828
"65","chair",0.00233931204991562,5135
"66","cheek",0.0144518809560397,128
"67","cheerios",0.105490574430912,47
"68","cheese",0.00021533088297146,3365
"69","chicken",0.00027705131644322,2292
"70","child",0.00220942407169486,498
"71","church",0.00266507194508766,447
"72","clean",0.00019781381756916,2943
"73","clock",0.00053530757239982,1377
"74","close",0.00021235498369486,2530
"75","coat",0.00125106084281084,956
"76","cockadoodledoo",0.0057049844452803,216
"77","coffee",0.00034690101924854,1783
"78","cold",0.00018892556750704,3125
"79","comb",0.00136040575177502,509
"80","cookie",0.00022562663634758,2119
"81","couch",0.00291040010918502,407
"82","cow",0.00019440353970016,2785
"83","cracker",0.0034891492180988,385
"84","crib",0.00472539799061598,251
"85","cry",0.00091388187441022,1104
"86","cup",0.00010441577178824,4257
"87","cute",0.00061216600930374,1083
"88","daddy",0.00013193235954316,4317
"89","dance",0.00155838840124986,886
"90","dark",0.00057477475927726,1195
"91","day",7.481445557658e-05,5864
"92","deer",0.003759364856778,309
"93","diaper",0.00096279830010356,850
"94","dinner",0.00021173659807516,2503
"95","dirty",0.00033162343209514,2170
"96","dish",0.00599040220008982,247
"97","dog",0.00013867511960866,4418
"98","doll",0.00043783529895986,1437
"99","dont",7.73504021022e-06,71801
"100","donkey",0.00211014847125402,476
"101","door",9.280244822588e-05,4988
"102","down",2.334360629798e-05,25065
"103","draw",0.0001454289099391,3948
"104","drawer",0.0034827344128296,426
"105","dress",0.00029935879193928,1686
"106","drink",7.019101949568e-05,5020
"107","drive",0.00046235767629328,1490
"108","dry",0.00058091956951444,1339
"109","duck",0.0002506434851251,2312
"110","ear",0.0010535325096908,990
"111","eat",2.956968286534e-05,14401
"112","egg",0.0002545675540451,2031
"113","elephant",0.0002843928952773,2284
"114","empty",0.00098662167027452,969
"115","eye",0.0005645030607996,1361
"116","face",0.00013995544850576,3507
"117","fall",0.0001454436981585,3614
"118","fast",0.00053084625044288,1418
"119","feed",0.00061352169832546,1353
"120","fine",0.00050954781558242,1412
"121","finger",0.0004261536879895,1726
"122","finish",0.00029511894536908,2228
"123","firetruck",0.0159300336742712,116
"124","fish",0.00013971192229156,3680
"125","flower",0.0008558347729784,1096
"126","food",0.0001127737694918,4997
"127","foot",0.00022620582936754,2810
"128","fork",0.0018329892495208,606
"129","frog",0.00056951350104206,1383
"130","garage",0.00080359298151894,915
"131","garden",0.00049572220290878,1401
"132","gentle",0.00145363361026414,769
"133","get",1.21199857609e-05,44497
"134","giraffe",0.0008113287656161,918
"135","girl",0.00038453340637044,8943
"136","give",4.32686157311e-05,10901
"137","glass",0.00098845960808224,851
"138","glasses",0.00118883701914476,780
"139","go",7.66673875622e-06,66722
"140","good",1.214278620892e-05,34230
"141","goose",0.0030076238731091,414
"142","grandma",0.00182023870364384,653
"143","grandpa",0.00563230488654508,286
"144","grrr",0.0340202881987482,85
"145","hair",8.880345611832e-05,5062
"146","hammer",0.0022425278790107,696
"147","hand",9.337307855052e-05,5101
"148","happy",0.0001643993370069,2796
"149","hard",0.00014786424995796,3654
"150","hat",0.00010677305309002,4554
"151","head",8.327826418678e-05,5780
"152","hello",5.998170375012e-05,6234
"153","help",6.416219568852e-05,7177
"154","her",2.08299492544e-05,25947
"155","hi",0.00012695383656488,5027
"156","his",2.189237472242e-05,20818
"157","hit",0.00032654098778606,1852
"158","home",5.428408314654e-05,7693
"159","horse",0.0001398396997413,3331
"160","hot",0.00016184479592628,3542
"161","house",0.00052419463034974,9705
"162","how",1.548258261158e-05,25252
"163","hug",0.0009292051412462,926
