word_in_list_and vocab,surprisal_value
dinner,NA
get,NA
blue,NA
look,NA
bird,NA
how,NA
me,NA
tired,NA
lion,NA
monkey,NA
all,NA
down,NA
girl,NA
good,NA
car,NA
hand,NA
where,NA
when,NA
put,NA
dont,NA
it,5.222810779299055
balloon,NA
there,NA
kitty,NA
yes,NA
wash,NA
pool,NA
what,NA
house,NA
gentle,NA
ball,NA
play,NA
little,NA
table,NA
book,NA
that,4.7523860186338425
boy,NA
hi,NA
giraffe,NA
on,NA
this,4.404652527400425
who,NA
out,NA
now,NA
rock,NA
cry,NA
say,NA
hat,NA
tiger,NA
truck,NA
cookie,NA
not,NA
you,4.292968400319418
baby,NA
bring,NA
eat,NA
go,NA
water,NA
bear,NA
outside,NA
your,NA
jacket,NA
see,NA
up,NA
back,NA
hard,NA
in,NA
no,NA
banana,NA
another,NA
read,NA
touch,NA
chair,NA
