word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
ein,1,0.0002790702109050,1.0002791096749584,21343,German
einer,1,0.0035352315756136,1.0035416569392106,955,German
eine,1,0.0004649945494993,1.0004651052156932,9504,German
über,1,0.0133894888798694,1.0134816159301334,683,German
Flugzeug,1,0.0051660724091799,1.0051797612109850,736,German
auch,1,0.0005325931367164,1.0005327399271196,14201,German
Tier,1,0.0695582583295898,1.0721430092016260,208,German
andere,1,0.0067917807983363,1.0068155154350760,1033,German
anderer,1,0.1873781239444559,1.2065856007683506,55,German
Ameise,1,1.1282443458383733,3.0976896574617103,11,German
Apfel,1,0.0366597276072779,1.0373433920285537,241,German
Arm,1,0.1066904639643905,1.1128068350705609,113,German
Sessel,1,0.4929224654384282,1.6372991783021396,23,German
weg,1,0.0101061057079432,1.0101608739927417,1084,German
zurück,1,0.0271232154356032,1.0275251043722271,302,German
schlecht,1,0.0320196799251085,1.0325592820159319,431,German
böse,1,1.6299437615606520,5.1458420137238612,18,German
Ball,1,0.0621748949213400,1.0641970583108704,263,German
Luftballon,1,0.4205733363504534,1.5262080936145472,77,German
Banane,1,0.0857700402592565,1.0897895526417005,91,German
Klo,1,0.0131554653800210,1.0132426525439076,247,German
Badewanne,1,0.1060335551829715,1.1120037159808120,38,German
jeder,1,0.0879692864861894,1.0919682647751185,94,German
Bohnen,1,0.1813289813305202,1.1988985171236362,19,German
Bär,1,0.0347155958879739,1.0353700347237056,168,German
Bett,1,0.0084895722040978,1.0085267048734572,493,German
Schlafzimmer,1,1.3625846405824025,3.9114968434823840,24,German
Biene,1,1.0387601621689335,2.8296710142188188,31,German
Lätzchen,1,1.1221387651231554,3.0749905498234491,27,German
Fahrrad,1,0.0672684862729042,1.0696268795605248,155,German
groß,1,0.0107060468105215,1.0107715817775755,504,German
Vogel,1,0.1639759177473230,1.1786430488341428,71,German
beißen,1,0.4761022525754842,1.6100658600451887,44,German
schwarz,1,0.0362279625489048,1.0369166448638256,201,German
Decke,1,0.0235071003295576,1.0237902448128777,158,German
pusten,1,0.0644968812558668,1.0666344071748346,141,German
blau,1,0.0310994269991197,1.0315909946562722,367,German
Schiff,1,0.0091350214480013,1.0091819052241613,528,German
Buch,1,0.0100841585311077,1.0101395157570265,577,German
Stiefel,1,0.1770447670145238,1.1942845512104103,47,German
Flasche,1,0.0895840743262517,1.0939539811962071,76,German
Dose,1,0.0750557496133497,1.0780409955696943,59,German
Brot,1,0.0418598407733382,1.0427909754648270,204,German
bringen,1,0.0317423922620761,1.0322589873214310,157,German
kaputt,1,0.0158461660913485,1.0159782817922161,549,German
Eimer,1,0.0570863639889670,1.0587851169778983,121,German
Käfer,1,0.0588092471007258,1.0606663333104225,80,German
