word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
a,1,0.0000190623440984,1.0009787110800870,301773,English (American)
an,1,0.0000022671183144,1.0000022671209985,13508,English (American)
about,1,0.0000016472193935,1.0000016472209305,27478,English (American)
above,1,0.0000819360863157,1.0000819395106106,332,English (American)
airplane,1,0.0000217925599955,1.0000217927980812,1192,English (American)
all,1,0.0000007338538712,1.0000007338541654,49585,English (American)
alligator,1,0.0000756042098705,1.0000756073118198,404,English (American)
am,1,0.0000090513700740,1.0000090514120996,4070,English (American)
and,1,0.0000005133153760,1.0000005133155243,217485,English (American)
animal,1,0.0000199536781897,1.0000199538974155,1523,English (American)
ankle,1,0.0003646830341313,1.0003647518162584,75,English (American)
another,1,0.0000029281919711,1.0000029281965712,14222,English (American)
ant,1,0.0001551950365435,1.0001552072203697,182,English (American)
any,1,0.0000033641536101,1.0000033641594614,12098,English (American)
apple,1,0.0000080167281904,1.0000080167609517,3736,English (American)
applesauce,1,0.0002791322053889,1.0002791740785446,127,English (American)
are,1,0.0000002849700306,1.0000002849701852,106583,English (American)
arm,1,0.0000193163866269,1.0000193165858899,1528,English (American)
around,1,0.0000050202939176,1.0000050203069326,6835,English (American)
asleep,1,0.0000236686476265,1.0000236689388440,1365,English (American)
at,1,0.0000017311418501,1.0000017311434575,52573,English (American)
awake,1,0.0000742744347078,1.0000742772667759,362,English (American)
away,1,0.0000024763224927,1.0000024763256763,11014,English (American)
back,1,0.0000012832478480,1.0000012832487117,26533,English (American)
bad,1,0.0000150674579870,1.0000150675729684,2576,English (American)
ball,1,0.0000030641090840,1.0000030641139346,8382,English (American)
balloon,1,0.0000156558107897,1.0000156559339271,1810,English (American)
banana,1,0.0000154214206578,1.0000154215484707,1615,English (American)
basement,1,0.0002469363186291,1.0002469681503492,121,English (American)
basket,1,0.0000185014669366,1.0000185016392218,1734,English (American)
bat,1,0.0000587110007568,1.0000587127482470,384,English (American)
bathroom,1,0.0000198906412489,1.0000198908408275,1059,English (American)
bathtub,1,0.0000850167218809,1.0000850212283998,410,English (American)
be,1,0.0000010918881577,1.0000010918888682,41097,English (American)
beach,1,0.0000374270418078,1.0000374277474711,991,English (American)
beads,1,0.0000435281250954,1.0000435290755330,546,English (American)
beans,1,0.0000252360607586,1.0000252363870363,1249,English (American)
bear,1,0.0000061912110176,1.0000061912326412,5220,English (American)
because,1,0.0000010229187972,1.0000010229193972,31730,English (American)
bed,1,0.0000048893107471,1.0000048893256301,7584,English (American)
bedroom,1,0.0000266640392065,1.0000266644226325,1119,English (American)
bee,1,0.0000152325530957,1.0000152326842107,1475,English (American)
behind,1,0.0000094007416118,1.0000094007864528,2954,English (American)
belt,1,0.0001013760796899,1.0001013814820219,307,English (American)
bench,1,0.0001350943098392,1.0001351041920590,241,English (American)
beside,1,0.0001117518980592,1.0001117583171595,304,English (American)
better,1,0.0000028279554198,1.0000028279595672,9742,English (American)
bib,1,0.0000505525648704,1.0000505540667510,639,English (American)
