word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
plane,1,0.0000278607393955,1.0000278611534645,853,English (Australian)
mad,1,0.0000414473024811,1.0000414481748672,839,English (Australian)
animal,1,0.0000199536781897,1.0000199538974155,1523,English (Australian)
ant,1,0.0001551950365435,1.0001552072203697,182,English (Australian)
apple,1,0.0000080167281904,1.0000080167609517,3736,English (Australian)
arm,1,0.0000193163866269,1.0000193165858899,1528,English (Australian)
asleep,1,0.0000236686476265,1.0000236689388440,1365,English (Australian)
backyard,1,0.0002883044758900,1.0002883468341128,105,English (Australian)
bad,1,0.0000150674579870,1.0000150675729684,2576,English (Australian)
ball,1,0.0000030641090840,1.0000030641139346,8382,English (Australian)
balloon,1,0.0000156558107897,1.0000156559339271,1810,English (Australian)
banana,1,0.0000154214206578,1.0000154215484707,1615,English (Australian)
bathroom,1,0.0000198906412489,1.0000198908408275,1059,English (Australian)
bath,1,0.0000138060792905,1.0000138061842276,2768,English (Australian)
beans,1,0.0000252360607586,1.0000252363870363,1249,English (Australian)
bear,1,0.0000061912110176,1.0000061912326412,5220,English (Australian)
bed,1,0.0000048893107471,1.0000048893256301,7584,English (Australian)
bedroom,1,0.0000266640392065,1.0000266644226325,1119,English (Australian)
bee,1,0.0000152325530957,1.0000152326842107,1475,English (Australian)
bellybutton,1,0.0007523704300790,1.0007527788479544,90,English (Australian)
bib,1,0.0000505525648704,1.0000505540667510,639,English (Australian)
bicycle,1,0.0000531676192843,1.0000531691494554,660,English (Australian)
big,1,0.0000013498683421,1.0000013498693394,25182,English (Australian)
bird,1,0.0000109115439947,1.0000109116046927,2517,English (Australian)
bite,1,0.0000098765386003,1.0000098765904557,2541,English (Australian)
black,1,0.0000128404096540,1.0000128404942863,2775,English (Australian)
blanket,1,0.0000246108643111,1.0000246111750244,957,English (Australian)
block,1,0.0000243414417686,1.0000243417469952,1117,English (Australian)
blow,1,0.0000127764928237,1.0000127765804963,2110,English (Australian)
blue,1,0.0000028954049449,1.0000028954092455,9232,English (Australian)
boat,1,0.0000097556170592,1.0000097556684300,2544,English (Australian)
book,1,0.0000028323090153,1.0000028323130998,15413,English (Australian)
boot,1,0.0000892882303664,1.0000892923078715,262,English (Australian)
bottle,1,0.0000106484911415,1.0000106485482168,3023,English (Australian)
bowl,1,0.0000194530629256,1.0000194535984450,1967,English (Australian)
box,1,0.0000028576669224,1.0000028576712992,8714,English (Australian)
bread,1,0.0000084044002971,1.0000084044362274,2959,English (Australian)
break,1,0.0000095504421847,1.0000095504887752,2940,English (Australian)
bring,1,0.0000051066642971,1.0000051066775515,5164,English (Australian)
broken,1,0.0000111664404333,1.0000111665038856,2733,English (Australian)
broom,1,0.0001020945156268,1.0001021002206416,282,English (Australian)
brush,1,0.0000125609509184,1.0000125610309416,2162,English (Australian)
bubbles,1,0.0000206324930894,1.0000206327126437,1229,English (Australian)
bucket,1,0.0000275789060851,1.0000275793884585,896,English (Australian)
bug,1,0.0000507072940473,1.0000507086745551,653,English (Australian)
bump,1,0.0000364913874090,1.0000364923524205,1008,English (Australian)
bunny,1,0.0000118924755136,1.0000118925505288,2386,English (Australian)
bus,1,0.0000097875904416,1.0000097876385827,3774,English (Australian)
bottom,1,0.0000140993972315,1.0000140995012401,2253,English (Australian)
butter,1,0.0000268428770441,1.0000268432458062,1358,English (Australian)
butterfly,1,0.0000346677491129,1.0000346684132424,882,English (Australian)
button,1,0.0000142399759845,1.0000142400779841,1602,English (Australian)
buy,1,0.0000085726799600,1.0000085727173029,3593,English (Australian)
