word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
un,1,0.0005364600881038,1.0005366119685599,19010,French (French)
plein,1,0.0157868324321658,1.0159140306617720,837,French (French)
encore,1,0.0026392757978001,1.0026431374664906,3321,French (French)
avion,1,0.0881644683961685,1.0922524118179027,130,French (French)
tous,1,0.0083027348086676,1.0083403901088215,1071,French (French)
parti,1,0.0310001012156991,1.0315186908252940,255,French (French)
aussi,1,0.0033782525361063,1.0033844342150970,2915,French (French)
et,1,0.0013698122184407,1.3620252725634179,18400,French (French)
animal,1,0.1326326355338097,1.1419171252856033,134,French (French)
fourmi,1,1.3326996723810831,3.8131745267240005,30,French (French)
pomme,1,0.1108669236923257,1.1176275164902596,240,French (French)
bras,1,0.0571884232422998,1.0589349978879656,310,French (French)
fauteuil,1,0.2078760417132843,1.2311406432088219,82,French (French)
endormi,1,0.6193252968788147,1.8585760025208404,25,French (French)
à,1,0.0007843772583475,1.0007846945231362,13158,French (French)
sac,1,0.0140662155744200,1.0141727933892435,371,French (French)
balle,1,0.3011407770893790,1.3813667383850723,132,French (French)
ballon,1,0.0123217182942847,1.0124108135755523,402,French (French)
banane,1,0.1358878044006617,1.1478107863246962,138,French (French)
panier,1,0.8736010579501882,2.5038871731310093,68,French (French)
baignoire,1,0.2336226821256181,1.2691080809472339,96,French (French)
perles,1,0.1231699997429238,1.1316313436977736,86,French (French)
ours,1,0.0326974748716506,1.0332783685222047,259,French (French)
beau,1,0.0069848523294205,1.0070105510641760,782,French (French)
joli,1,0.0313282568243075,1.0318551382417784,459,French (French)
lit,1,0.0180605634084307,1.0182355709971282,654,French (French)
chambre,1,0.0367045202590709,1.0386574177737520,406,French (French)
abeille,1,1.9040749073028564,6.7649984335544273,20,French (French)
derrière,1,0.0326822910331568,1.0332361107876931,295,French (French)
nombril,1,1.2704942570792304,3.5826145667877376,45,French (French)
bavoir,1,3.2274313851406702,25.3887806854098947,19,French (French)
vélo,1,0.1384971433925250,1.1610603550982981,189,French (French)
grand,1,0.0052073969718866,1.0052231154066551,1005,French (French)
grand,1,0.0052073969718866,1.0052231154066551,1005,French (French)
oiseau,1,0.0929261497298225,1.0975410535998555,122,French (French)
mordre,1,1.7153085680568920,5.5724009827777312,17,French (French)
noir,1,0.0750076645646583,1.0779240545022315,220,French (French)
couverture,1,0.7531672434373335,2.1282176918912450,55,French (French)
souffler,1,0.4450467058590480,1.5628527825992906,42,French (French)
bleu,1,0.0128219761812914,1.0129082757634253,499,French (French)
bateau,1,0.0203082487740390,1.0205184858826279,544,French (French)
livre,1,0.0068768124988422,1.0069021989229616,812,French (French)
bottes,1,0.1904133356862016,1.2117779348737812,91,French (French)
biberon,1,0.0276143313957411,1.0280275240061933,228,French (French)
bouteille,1,0.0721908943219618,1.0753103711499987,99,French (French)
bol,1,0.3634884368191968,1.5171014010508337,111,French (French)
boîte,1,0.0247618459585694,1.0250743185504889,372,French (French)
pain,1,0.0130119592350148,1.0131475902603047,369,French (French)
casser,1,0.0352178720878092,1.0358574449304307,216,French (French)
apporter,1,1.5071899175643921,4.5250290861322018,30,French (French)
cassé,1,0.0460656580382823,1.0473300227372457,401,French (French)
balai,1,0.3879331076631741,1.4745909260676155,49,French (French)
marron,1,0.3461934352914492,1.4146196169952503,60,French (French)
brosse,1,0.6701157093048096,1.9560848388147754,46,French (French)
bulles,1,0.1559975591953844,1.1691923543399207,128,French (French)
seau,1,0.5744318020971197,1.7764119787932302,38,French (French)
construire,1,0.1812747351679148,1.1990980390813817,51,French (French)
lapin,1,0.0142905719252192,1.0144035172436328,417,French (French)
bus,1,0.6746356468647718,1.9734950464655234,32,French (French)
fesses,1,0.0945959817097840,1.1001355611100834,179,French (French)
beurre,1,0.0576474492421799,1.0593917815295091,114,French (French)
papillon,1,0.1239767645284073,1.1321306788269132,97,French (French)
boutons,1,0.1342183130402719,1.1441362949953611,93,French (French)
acheter,1,0.1044383674743585,1.1101265203194366,128,French (French)
gâteau,1,0.0145672914719709,1.0146957009880890,656,French (French)
bonbons,1,0.1926120949930020,1.2126176897675893,89,French (French)
voiture,1,0.0073013596428854,1.0073310452197457,1013,French (French)
carotte,1,0.1185689533806660,1.1264981534401253,88,French (French)
porter,1,0.1889754617038895,1.2084509483522050,68,French (French)
chat,1,0.0110091562937599,1.0110841217793030,915,French (French)
attraper,1,0.0983998726396000,1.1035007346720895,85,French (French)
céréales,1,0.8146425853757298,2.2657502163162175,34,French (French)
chaise,1,0.0169625190020993,1.0171136076303611,312,French (French)
craie,1,3.6065956079042873,37.7533940865654856,13,French (French)
joue,1,0.0142219315647431,1.0143526524244388,529,French (French)
fromage,1,0.0280132170158381,1.0284286956191913,245,French (French)
poule,1,0.0467897721511476,1.0480083142609373,255,French (French)
poulet,1,0.2509632258055111,1.2858785625084872,96,French (French)
menton,1,0.9543531164526939,2.5993258095247924,24,French (French)
chips,1,3.3267977237701416,27.9627726668271421,20,French (French)
chocolat,1,0.0140525871217870,1.0141590181927522,481,French (French)
nettoyer,1,0.1386956826207184,1.1490703885163007,84,French (French)
