word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
un,1,0.0026543139945777,1.6789191336870657,3773,French (French)
plein,1,0.0155352486615788,1.0156586969633639,158,French (French)
encore,1,0.0037416322883747,1.0037510500885591,687,French (French)
avion,1,0.2221999125821250,1.4360089301276966,28,French (French)
tous,1,0.0199759178075058,1.0206691286995062,207,French (French)
parti,1,0.0516027813240633,1.0560314432031919,59,French (French)
aussi,1,0.0045736107892573,1.0045927199206657,552,French (French)
et,1,0.0073031865518385,4.0801624289346812,3658,French (French)
animal,1,0.1333288097133239,1.1426633156171817,24,French (French)
fourmi,1,1.4092398285865784,4.1220276202560306,6,French (French)
pomme,1,0.3822868686790268,3.4557710289838859,48,French (French)
bras,1,0.0567579455673695,1.0584406359140055,58,French (French)
fauteuil,1,0.2301646145060658,1.2594170134930196,16,French (French)
endormi,1,0.6194910109043122,1.8579873919766738,2,French (French)
à,1,0.0008446970992441,1.0008451363576458,2583,French (French)
sac,1,0.0181511674403540,1.0187070658300073,74,French (French)
balle,1,0.2876674763180993,1.3347347319444240,22,French (French)
ballon,1,0.0140026399473611,1.0142209168529592,76,French (French)
banane,1,0.2766769793013046,1.7213187289671241,29,French (French)
panier,1,1.3205499095576150,52.8077474918702379,14,French (French)
baignoire,1,0.2629721872508526,1.3186434351999639,24,French (French)
perles,1,0.1184975255061598,1.1258389520702554,17,French (French)
ours,1,0.0355887293677639,1.0362518144268125,54,French (French)
beau,1,0.0079853470193815,1.0080290571915329,176,French (French)
joli,1,0.0490706886950077,1.0534889427187468,102,French (French)
lit,1,0.0210550427273439,1.0217713429975426,114,French (French)
chambre,1,0.1509443849532141,5.4478573368557086,90,French (French)
abeille,1,1.8815273046493530,6.5680417823710648,4,French (French)
derrière,1,0.0357753820390555,1.0365465334071748,57,French (French)
nombril,1,1.2456016838550568,3.4758206887367860,8,French (French)
bavoir,1,3.3092163801193237,27.7615228597241419,6,French (French)
vélo,1,0.1459378985370078,1.1580335783567803,41,French (French)
grand,1,0.0491912426666063,17.0970293782789433,187,French (French)
grand,1,0.0491912426666063,17.0970293782789433,187,French (French)
oiseau,1,0.1037874013185501,1.1102620441798292,30,French (French)
mordre,1,1.7171476483345032,5.5720934860688018,4,French (French)
noir,1,0.0826543212796633,1.0867246455098636,52,French (French)
couverture,1,0.8340793577107516,2.3496607481640663,11,French (French)
souffler,1,0.4443761616945267,1.5621085476749190,10,French (French)
bleu,1,0.0409499231518971,1.0443706810082407,90,French (French)
bateau,1,0.0219163634069264,1.0221893322884403,100,French (French)
livre,1,0.0122565797959956,1.0134622539449796,156,French (French)
