word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
啊,1,0.1660138781489685,1.1806864596946296,18295,Mandarin (Beijing)
一点,1,1.9984003912368322,7.3887783756686654,876,Mandarin (Beijing)
好多,1,3.7779509720151632,43.7349195415145005,491,Mandarin (Beijing)
飞机,1,5.7235306002372921,306.0441664071200307,172,Mandarin (Beijing)
都,1,0.6450293177317169,1.9066300461704297,4007,Mandarin (Beijing)
也,1,0.7360466103785389,2.0883592869509000,3891,Mandarin (Beijing)
救护车,1,9.1971753835678101,9870.7755593927213340,8,Mandarin (Beijing)
生气,1,5.4162494412968671,225.5652622022666947,267,Mandarin (Beijing)
动物,1,4.3921961585087566,80.9063093218599221,335,Mandarin (Beijing)
另外,1,6.4266286373138426,621.2170440093162824,100,Mandarin (Beijing)
蚂蚁,1,5.8160835107167559,335.8611822443115784,144,Mandarin (Beijing)
苹果,1,1.5833166714595712,4.8724870955378243,1656,Mandarin (Beijing)
胳膊,1,9.0034142407504003,8137.5061807682477593,11,Mandarin (Beijing)
睡着,1,6.2784553535224852,533.1427954770640554,129,Mandarin (Beijing)
在,1,0.2576152495442227,1.2939205644050840,10846,Mandarin (Beijing)
院子,1,8.6590631348746161,5869.8394192824844140,14,Mandarin (Beijing)
坏,1,2.9388118280683244,18.9035873055954582,525,Mandarin (Beijing)
坏,1,2.9388118280683244,18.9035873055954582,525,Mandarin (Beijing)
书包,1,8.4491739626284001,4674.5870393812438124,27,Mandarin (Beijing)
包,1,6.2245396717940222,505.1987785538985349,101,Mandarin (Beijing)
皮球,1,5.1783771437358084,177.4999257326567204,246,Mandarin (Beijing)
球,1,2.6170925998158658,13.7466153295459179,721,Mandarin (Beijing)
气球,1,6.8625181084093843,957.6724365999872361,92,Mandarin (Beijing)
香蕉,1,5.2386405839392891,188.8200644007548590,199,Mandarin (Beijing)
厕所,1,8.6879004955291741,5933.4383509837725796,20,Mandarin (Beijing)
浴室,1,5.4123676480473701,226.0370898331448757,185,Mandarin (Beijing)
浴缸,1,9.4373781204223626,12560.3736236631939391,5,Mandarin (Beijing)
电池,1,7.7334559045988938,2290.2241115767474184,29,Mandarin (Beijing)
豆,1,8.2641284606036010,3906.1007606775665408,17,Mandarin (Beijing)
熊,1,4.3329590330151229,76.2122759223645971,349,Mandarin (Beijing)
床,1,3.5573999360610880,35.1216516728969168,366,Mandarin (Beijing)
卧室,1,9.9860323270161953,21753.5532808642637974,6,Mandarin (Beijing)
蜜蜂,1,5.4351217033936807,229.4540837620188540,194,Mandarin (Beijing)
自行车,1,8.7637391457190876,7104.5280024988951482,13,Mandarin (Beijing)
大,1,0.3124186109293804,1.3668653389936434,6284,Mandarin (Beijing)
鸟,1,5.1711574160618339,176.1629224943922054,247,Mandarin (Beijing)
咬,1,5.4573665100358735,234.6031559574826133,263,Mandarin (Beijing)
黑色,1,7.5580203162299266,1917.6701428891792602,45,Mandarin (Beijing)
黑,1,4.4728605244027912,87.6877382173477997,398,Mandarin (Beijing)
毯子,1,9.6964553197224941,16270.6375010272167856,6,Mandarin (Beijing)
积木,1,5.8551800194687731,349.2212735765245952,127,Mandarin (Beijing)
吹,1,6.1777597882530904,482.1381138887062434,132,Mandarin (Beijing)
蓝色,1,7.0753479710331666,1184.7459328798790921,54,Mandarin (Beijing)
蓝,1,6.6403080594223161,766.8997850654326385,113,Mandarin (Beijing)
船,1,6.7943489768288350,893.1536590907855953,99,Mandarin (Beijing)
书,1,2.0103917662647017,7.4887307980560776,1477,Mandarin (Beijing)
