word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
ein,1,0.0003432747786479,1.0003433351652644,21343,German
einer,1,0.0077714168169189,1.0078019440589592,955,German
eine,1,0.0008114985398652,1.0008118408502171,9504,German
über,1,0.0120518268829165,1.0121256833878267,683,German
Flugzeug,1,0.0085768832574578,1.0086159556913459,736,German
auch,1,0.0005558994412087,1.0005560636221105,14201,German
Tier,1,0.0390001868542570,1.0397885067019452,208,German
andere,1,0.0047609750943264,1.0047730326308533,1033,German
anderer,1,0.1606906292113391,1.1744958167760022,55,German
Ameise,1,1.2849692322991111,3.6309744473307957,11,German
Apfel,1,0.0185770623354991,1.0187552286914332,241,German
Arm,1,0.0766868731748741,1.0797149973957618,113,German
Sessel,1,0.6795366924741993,1.9740147455252071,23,German
weg,1,0.0048395683084670,1.0048518365659873,1084,German
zurück,1,0.0237679193659827,1.0240678305721922,302,German
schlecht,1,0.0111077116378810,1.0111723936179950,431,German
böse,1,1.3890294896231756,4.0260822776234209,18,German
Ball,1,0.0535365807692814,1.0550789953045165,263,German
Luftballon,1,0.3741493898552734,1.4562938881913055,77,German
Banane,1,0.1360160728077312,1.1459185671996048,91,German
Klo,1,0.0310437099834685,1.0315564652318725,247,German
Badewanne,1,0.2615990027001029,1.2993003561293262,38,German
jeder,1,0.0797554648461494,1.0830518281502632,94,German
Bohnen,1,1.8613068241822093,6.4363146010899230,19,German
Bär,1,0.0669562292861797,1.0693344066453843,168,German
Bett,1,0.0140272586381641,1.0141300840917329,493,German
Schlafzimmer,1,0.6341322784622511,1.8871088886285605,24,German
Biene,1,1.0256785673479880,2.8124678068463300,31,German
Lätzchen,1,0.4393275799574675,1.5527440112748505,27,German
Fahrrad,1,0.0319937348606125,1.0325259478019588,155,German
groß,1,0.0126540555215869,1.0127386311049735,504,German
Vogel,1,0.0689008247474550,1.0713444226917344,71,German
beißen,1,0.3302385217764161,1.3917240401753619,44,German
schwarz,1,0.0438916928954978,1.0448740220725403,201,German
Decke,1,0.0543804934271906,1.0559644968658188,158,German
pusten,1,0.0686669997501035,1.0710994933776383,141,German
blau,1,0.0230504859350520,1.0233198374756840,367,German
Schiff,1,0.0136963603083242,1.0137913696515639,528,German
Buch,1,0.0165851158146428,1.0167300399674297,577,German
Stiefel,1,0.1512824078189566,1.1633528166486276,47,German
Flasche,1,0.1801217708148454,1.1994754918622548,76,German
Dose,1,0.0807615874682443,1.0841692523947362,59,German
Brot,1,0.0381218400491657,1.0388905661443497,204,German
bringen,1,0.0349207928131340,1.0355470058188627,157,German
kaputt,1,0.0102912094248951,1.0103524958438106,549,German
Eimer,1,0.0640944148575471,1.0662373431365906,121,German
Käfer,1,0.1131246596574783,1.1198034431648680,80,German
Brötchen,1,0.3393420681550905,1.4070901975365189,77,German
Hase,1,0.0312785355049951,1.0317915156266211,247,German
Bus,1,0.0099054164651902,1.0099562321649613,647,German
Butter,1,0.1007387271294227,1.1060279152898176,104,German
Schmetterling,1,0.1763502879275216,1.1931841000391485,90,German
kaufen,1,0.0384476299493991,1.0392023488334816,232,German
Kakao,1,0.1344489417359477,1.1439458786289962,61,German
Kuchen,1,0.0220476698073925,1.0222937439775841,330,German
Kamera,1,0.1339510184927629,1.1434586599089476,52,German
kann,1,0.0022353574381277,1.0022378994183034,4611,German
können,1,0.0021013742046793,1.0021036590620942,2422,German
Auto,1,0.0033622249482717,1.0033679773955269,1562,German
vorsichtig,1,0.0243451584207073,1.0246467810469635,438,German
tragen,1,0.1477923238355862,1.1593218220536450,76,German
