word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
plane,1,0.0000299291441564,1.0000299296373500,853,English (Australian)
mad,1,0.0000372911622961,1.0000372919052867,839,English (Australian)
animal,1,0.0000248406024115,1.0000248409302706,1523,English (Australian)
ant,1,0.0001542329196777,1.0001542456850023,182,English (Australian)
apple,1,0.0000099400112632,1.0000099400637010,3736,English (Australian)
arm,1,0.0000174780320110,1.0000174782039493,1528,English (Australian)
asleep,1,0.0000208802591963,1.0000208804894959,1365,English (Australian)
backyard,1,0.0002959167004086,1.0002959694180182,105,English (Australian)
bad,1,0.0000127550306858,1.0000127551163545,2576,English (Australian)
ball,1,0.0000052872900130,1.0000052873060365,8382,English (Australian)
balloon,1,0.0000173492033933,1.0000173493643743,1810,English (Australian)
banana,1,0.0000224431927321,1.0000224434553766,1615,English (Australian)
bathroom,1,0.0000323964731156,1.0000323970099481,1059,English (Australian)
bath,1,0.0000142789998080,1.0000142791023370,2768,English (Australian)
beans,1,0.0000282211803147,1.0000282215823924,1249,English (Australian)
bear,1,0.0000044410135294,1.0000044410256126,5220,English (Australian)
bed,1,0.0000036001168344,1.0000036001236952,7584,English (Australian)
bedroom,1,0.0000338287990383,1.0000338294443605,1119,English (Australian)
bee,1,0.0000170857249519,1.0000170858836495,1475,English (Australian)
bellybutton,1,0.0004008114978205,1.0004008942205067,90,English (Australian)
bib,1,0.0000379507273209,1.0000379514620532,639,English (Australian)
bicycle,1,0.0000620890045012,1.0000620912423457,660,English (Australian)
big,1,0.0000025499395528,1.0000025499436060,25182,English (Australian)
bird,1,0.0000157887716038,1.0000157889081311,2517,English (Australian)
bite,1,0.0000101353171706,1.0000101353699355,2541,English (Australian)
black,1,0.0000117183072061,1.0000117183805106,2775,English (Australian)
blanket,1,0.0000285425781325,1.0000285430885425,957,English (Australian)
block,1,0.0000372595744092,1.0000372604268379,1117,English (Australian)
blow,1,0.0000136944408791,1.0000136945485654,2110,English (Australian)
blue,1,0.0000039712796240,1.0000039712885860,9232,English (Australian)
boat,1,0.0000099015258481,1.0000099015873383,2544,English (Australian)
book,1,0.0000021883106408,1.0000021883137831,15413,English (Australian)
boot,1,0.0001097161632255,1.0001097225958797,262,English (Australian)
bottle,1,0.0000124213078877,1.0000124213871537,3023,English (Australian)
bowl,1,0.0000177580510787,1.0000177582449634,1967,English (Australian)
box,1,0.0000032655672719,1.0000032655739142,8714,English (Australian)
bread,1,0.0000110909927128,1.0000110910566224,2959,English (Australian)
break,1,0.0000127247600171,1.0000127248617892,2940,English (Australian)
bring,1,0.0000081029645430,1.0000081029998600,5164,English (Australian)
broken,1,0.0000122790472826,1.0000122791238246,2733,English (Australian)
broom,1,0.0000771943259227,1.0000771973148386,282,English (Australian)
brush,1,0.0000131502039144,1.0000131502954541,2162,English (Australian)
bubbles,1,0.0000259053193223,1.0000259056625957,1229,English (Australian)
bucket,1,0.0000364071985055,1.0000364079275055,896,English (Australian)
bug,1,0.0000589695294214,1.0000589715393047,653,English (Australian)
bump,1,0.0000298034764011,1.0000298039781057,1008,English (Australian)
bunny,1,0.0000120936727731,1.0000120937475077,2386,English (Australian)
bus,1,0.0000102649417701,1.0000102650127367,3774,English (Australian)
bottom,1,0.0000128329182466,1.0000128330148008,2253,English (Australian)
butter,1,0.0000179297727589,1.0000179299374263,1358,English (Australian)
butterfly,1,0.0000374893692498,1.0000374902404401,882,English (Australian)
button,1,0.0000186775028969,1.0000186776845577,1602,English (Australian)
buy,1,0.0000090610920166,1.0000090611335808,3593,English (Australian)
cake,1,0.0000087768034334,1.0000087768434964,3506,English (Australian)
camera,1,0.0000274923757127,1.0000274927806316,1185,English (Australian)
can,1,0.0000008158873497,1.0000008158877136,87867,English (Australian)
car,1,0.0000027682504594,1.0000027682544850,13476,English (Australian)
careful,1,0.0000036939577520,1.0000036939654036,6107,English (Australian)
carrot,1,0.0000343579550081,1.0000343585987539,711,English (Australian)
carry,1,0.0000243429765377,1.0000243433052800,1148,English (Australian)
cat,1,0.0000059479011783,1.0000059479204557,5835,English (Australian)
catch,1,0.0000132456137869,1.0000132457073903,2813,English (Australian)
cereal,1,0.0000363939002762,1.0000363945731476,1034,English (Australian)
chair,1,0.0000023220003024,1.0000023220034497,6382,English (Australian)
cheek,1,0.0002008356285207,1.0002008579052468,159,English (Australian)
cheese,1,0.0000089204337348,1.0000089204749922,4215,English (Australian)
chicken,1,0.0000105589747268,1.0000105590325834,2818,English (Australian)
chin,1,0.0000644551049321,1.0000644573221988,444,English (Australian)
chocolate,1,0.0000154103645498,1.0000154104924730,2469,English (Australian)
clap,1,0.0000237291417270,1.0000237294389491,1106,English (Australian)
clean,1,0.0000091190277249,1.0000091190720461,3669,English (Australian)
clean,1,0.0000091190277249,1.0000091190720461,3669,English (Australian)
climb,1,0.0000372198864539,1.0000372206632457,1076,English (Australian)
clock,1,0.0000227099775733,1.0000227102415520,1709,English (Australian)
shut,1,0.0000117840586865,1.0000117841302760,1857,English (Australian)
close,1,0.0000094509530805,1.0000094511541229,3138,English (Australian)
cloud,1,0.0001046583918105,1.0001046644461182,273,English (Australian)
coat,1,0.0000267030165047,1.0000267033812142,1191,English (Australian)
coffee,1,0.0000128961453163,1.0000128962295181,2249,English (Australian)
cold,1,0.0000070805653085,1.0000070805906298,3891,English (Australian)
comb,1,0.0000453089403247,1.0000453099769862,639,English (Australian)
computer,1,0.0001139260401914,1.0001139336635567,388,English (Australian)
biscuit,1,0.0000337432289943,1.0000337438048108,834,English (Australian)
couch,1,0.0000804607693474,1.0000804643817989,505,English (Australian)
cover,1,0.0000298442842328,1.0000298447459905,902,English (Australian)
cow,1,0.0000082592213854,1.0000082592669330,3496,English (Australian)
crayon,1,0.0000319240976877,1.0000319247196512,1010,English (Australian)
cot,1,0.0000891119828887,1.0000891167704382,297,English (Australian)
crib,1,0.0000928126049557,1.0000928188465288,306,English (Australian)
crocodile,1,0.0000338307128812,1.0000338312981147,879,English (Australian)
cry,1,0.0000222116999618,1.0000222119586015,1408,English (Australian)
cup,1,0.0000057945833032,1.0000057946032448,5361,English (Australian)
mug,1,0.0003434479155846,1.0003435257297093,111,English (Australian)
cute,1,0.0000269377340919,1.0000269381692266,1371,English (Australian)
dance,1,0.0000275014148069,1.0000275018091327,1107,English (Australian)
dark,1,0.0000176581367974,1.0000176582949785,1494,English (Australian)
deer,1,0.0000755749059216,1.0000755780527952,374,English (Australian)
dirty,1,0.0000107088192720,1.0000107088797012,2706,English (Australian)
dish,1,0.0000890225521102,1.0000890271784146,312,English (Australian)
dog,1,0.0000067024622993,1.0000067024876602,5509,English (Australian)
doll,1,0.0000151667090636,1.0000151668740764,1830,English (Australian)
donkey,1,0.0000614518151206,1.0000614537362746,575,English (Australian)
door,1,0.0000067789482533,1.0000067789720499,6193,English (Australian)
draw,1,0.0000067072388878,1.0000067072620744,4917,English (Australian)
drawer,1,0.0000774041307313,1.0000774071869687,511,English (Australian)
dress,1,0.0000156718703340,1.0000156719946993,2087,English (Australian)
drink,1,0.0000055330203370,1.0000055330365483,6273,English (Australian)
drink,1,0.0000055330203370,1.0000055330365483,6273,English (Australian)
drive,1,0.0000147108706453,1.0000147109834283,1883,English (Australian)
drop,1,0.0000295447675166,1.0000295452403520,1105,English (Australian)
dry,1,0.0000164180209697,1.0000164181605524,1705,English (Australian)
