word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
un,1,2.4470949873208210,16.2873820174624022,4222,Spanish (Mexican)
una,1,2.4954221105538394,13.4380121021475745,2566,Spanish (Mexican)
unas,1,7.4405123023099682,2129.9108307164992766,86,Spanish (Mexican)
unos,1,7.1183698197041663,1236.6465787427052874,121,Spanish (Mexican)
mucho,1,5.6843495661562136,296.2255863337036885,440,Spanish (Mexican)
otro,1,4.7658806004101715,117.9644611728336940,790,Spanish (Mexican)
avión,1,9.4246091842651367,13837.5581257753074169,10,Spanish (Mexican)
todo,1,5.6589374031683413,288.6143167059997268,495,Spanish (Mexican)
ya,1,3.2238923578827605,25.4978833281615209,2615,Spanish (Mexican)
también,1,4.5911538909725156,99.0356437769927140,857,Spanish (Mexican)
enojado,1,10.8768033981323242,52934.1198758554455708,1,Spanish (Mexican)
animal,1,8.4914886156717930,4877.5883530958599295,24,Spanish (Mexican)
manzana,1,9.1815983454386387,9736.6868490829456277,9,Spanish (Mexican)
brazos,1,8.4257833339549872,4569.1911893449123454,27,Spanish (Mexican)
brazo,1,9.2907135009765618,10841.4396669434718206,10,Spanish (Mexican)
atrás,1,7.8394506235380428,2539.8902619308623798,74,Spanish (Mexican)
malo,1,7.2521159873818455,1440.8786422862265226,106,Spanish (Mexican)
pelota,1,6.4912909737432187,661.5383370018191727,191,Spanish (Mexican)
globo,1,8.0999070930480954,3298.0772285539615041,50,Spanish (Mexican)
plátano,1,8.9783643881479893,7954.9376030257017192,12,Spanish (Mexican)
baño,1,7.9277376380621218,2775.4546270325731712,51,Spanish (Mexican)
estar,1,6.5404946114643510,713.6445256632177916,166,Spanish (Mexican)
ser,1,6.6502210458918434,773.7170795601452937,199,Spanish (Mexican)
playa,1,7.9662442525227863,2882.0819782225999006,45,Spanish (Mexican)
oso,1,7.7187733650207520,2260.0916229218755689,52,Spanish (Mexican)
cama,1,4.7626399623472135,117.7753630859910601,708,Spanish (Mexican)
abeja,1,9.4383114406040729,12587.4811213792836497,7,Spanish (Mexican)
ombligo,1,10.1883341471354161,30547.0811494458648667,3,Spanish (Mexican)
babero,1,10.3716297149658203,31946.3626745963774738,2,Spanish (Mexican)
bicicleta,1,8.6779870986938477,5875.1370113449484052,13,Spanish (Mexican)
grande,1,5.0165866966707160,153.0796369053452395,415,Spanish (Mexican)
pájaro,1,8.6322426795959473,5613.5729245306483790,16,Spanish (Mexican)
morder,1,9.6219394207000732,15149.8400455203536694,4,Spanish (Mexican)
soplar,1,8.3883753882514114,4403.6421563982994485,27,Spanish (Mexican)
azul,1,7.8569958569252325,2602.4462013509128155,73,Spanish (Mexican)
barco,1,6.3311799874672525,563.3487907704908366,260,Spanish (Mexican)
libro,1,7.9565860947897269,2856.2386936102457184,43,Spanish (Mexican)
botas,1,8.1091880022093310,3415.7234243725379201,43,Spanish (Mexican)
botella,1,8.9114359617233276,7485.5601761446578166,8,Spanish (Mexican)
caja,1,8.7877920590914211,6575.4338206844777233,26,Spanish (Mexican)
pan,1,9.3950395186742153,16452223.8663078919053078,24,Spanish (Mexican)
