word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
uno,1,6.3324948980185480,562.7489737313004525,379,Spanish (European)
un,1,3.4956878231126289,34.6473648931298897,4222,Spanish (European)
uno,1,6.3324948980185480,562.7489737313004525,379,Spanish (European)
una,1,3.9960378893445641,54.4796208029352087,2566,Spanish (European)
encima,1,7.3777118346673980,1601.6994265226851439,139,Spanish (European)
asustado,1,8.8139031273978095,6739.4454577810047340,14,Spanish (European)
miedo,1,7.7719909840441765,2373.7685694915217027,94,Spanish (European)
avión,1,9.1753958702087406,9670.4095566957439587,10,Spanish (European)
todo,1,5.9821133045235069,397.1893535262948376,495,Spanish (European)
todas,1,7.6311485923704554,2064.0840479712419437,122,Spanish (European)
casi,1,7.8069281850542342,2491.2113415578869535,70,Spanish (European)
solo,1,7.5839190697884771,1969.8169347239929721,111,Spanish (European)
también,1,5.4130390071535057,226.3772720078159466,857,Spanish (European)
ambulancia,1,8.2930148124694831,3996.9346015814899147,30,Spanish (European)
y,1,0.7128595754341716,3.0251579945004066,12472,Spanish (European)
enfadado,1,8.4187686681747440,4544.2969173849742219,40,Spanish (European)
animal,1,8.6178404092788696,5535.8219223412233987,24,Spanish (European)
alguno,1,8.4192350331474746,4542.4504741458104036,34,Spanish (European)
manzana,1,9.4622471067640515,12897.7494122634161613,9,Spanish (European)
potito,1,9.2689635753631592,10614.9275820912971540,4,Spanish (European)
brazos,1,8.4780812086882413,4808.9995033526947736,27,Spanish (European)
detrás,1,7.5776721030946765,1956.3131030141439624,63,Spanish (European)
malo,1,7.5342422926201014,1872.7526100384327492,106,Spanish (European)
balón,1,7.2986575524638022,1479.0394830576672121,127,Spanish (European)
fútbol,1,8.2541549046834302,3845.0584620087893200,45,Spanish (European)
pelota,1,7.0178936064555382,1117.2158994937024090,191,Spanish (European)
globo,1,8.1080512619018563,3357.3412657477451830,50,Spanish (European)
baño,1,7.9629899847741221,2883.7301443488099721,51,Spanish (European)
bañar,1,8.2544143340166869,3845.9165448056578498,34,Spanish (European)
bañera,1,8.3557075818379722,4254.4526999423360394,30,Spanish (European)
estar,1,7.2471103122435423,1404.6783963149323426,166,Spanish (European)
oso,1,8.9837007064085732,766140.3911569393239915,52,Spanish (European)
barba,1,8.8864578100351181,7333.8207006643633576,13,Spanish (European)
porque,1,5.1295140616824364,169.5186273437783200,1271,Spanish (European)
cama,1,5.5516909205980891,258.2794522539602440,708,Spanish (European)
abeja,1,9.1804700578962048,9718.1982276616090530,7,Spanish (European)
ombligo,1,16.6048730214436837,344135334.5846746563911438,3,Spanish (European)
debajo,1,8.3616981813984541,4288.2521442388433570,31,Spanish (European)
entre,1,8.4678452723735091,4771.8613633984296030,37,Spanish (European)
babero,1,10.1479697227478027,25539.9092831887610373,2,Spanish (European)
bici,1,8.8516963322957363,6995.5996345000121437,9,Spanish (European)
grande,1,6.2959322239979203,543.7491055528598736,415,Spanish (European)
pájaro,1,8.6653888225555420,5803.7261442188146248,16,Spanish (European)
morder,1,9.2624247074127197,10577.6495070759483497,4,Spanish (European)
negro,1,8.6087695693969728,5645.1291053953464143,25,Spanish (European)
cubo,1,9.4180560111999512,12462.5364940724848566,6,Spanish (European)
azul,1,7.8399480205692660,2541.7220324724280545,73,Spanish (European)
barco,1,6.7228667222536531,833.0238255518972892,260,Spanish (European)
cuento,1,6.1387113121821439,463.7383660186451380,503,Spanish (European)
bota,1,8.1715779758635030,3588.4637685230982243,42,Spanish (European)
biberón,1,9.4081990718841553,357813.7809740420780145,24,Spanish (European)
botella,1,9.0746679306030273,8897.1803430369345733,8,Spanish (European)
caja,1,8.4151535400977497,4516.0862003485108289,26,Spanish (European)
pan,1,8.6836866935094204,5951.2520228235471222,24,Spanish (European)
romper,1,8.0236692327134147,3057.1107556601104989,47,Spanish (European)
desayunar,1,7.5956167350138042,1990.4806142369131976,133,Spanish (European)
teta,1,10.0806779861450195,23877.8638866986584617,2,Spanish (European)
traer,1,8.1623829248789193,3509.1866336918760680,37,Spanish (European)
roto,1,7.3179703404132583,1507.5254384738875615,133,Spanish (European)
escoba,1,8.5005119111802845,4922.3652906755414733,27,Spanish (European)
cepillo,1,11.0758581161499023,51997855.6591313630342484,5,Spanish (European)
bicho,1,8.9773546854654942,9637.2966525144493062,18,Spanish (European)
toro,1,8.1462802546364923,3450.7979047369667569,28,Spanish (European)
bollo,1,10.9194494883219395,94018.9642316501558525,3,Spanish (European)
conejo,1,8.2926045969912874,4146.6316189870567541,38,Spanish (European)
quemar,1,8.8761167526245117,7160.5228451195407615,10,Spanish (European)
autobús,1,8.5743286132812493,5317.2371578297534143,20,Spanish (European)
autobús,1,8.5743286132812493,5317.2371578297534143,20,Spanish (European)
pero,1,4.0062285572808936,57.1395367533997316,2414,Spanish (European)
culo,1,8.2311876160757880,3756.6387499305387792,28,Spanish (European)
mariposa,1,8.9646583795547485,7848.5044344455527607,8,Spanish (European)
botón,1,8.4437485447636362,4647.4833491952213080,27,Spanish (European)
comprar,1,8.2195370722625221,3713.4042717421739326,59,Spanish (European)
por,1,4.8528579095856648,128.8352446725399716,1531,Spanish (European)
bizcocho,1,8.7658985923318298,6439.7012721661667456,17,Spanish (European)
tarta,1,7.0798555402194756,1189.6894943845975376,170,Spanish (European)
llamar,1,7.8768510678235222,2637.0558242880583748,68,Spanish (European)
poder,1,8.2754381642197110,3931.3789637471450078,33,Spanish (European)
poder,1,8.2754381642197110,3931.3789637471450078,33,Spanish (European)
poder,1,8.2754381642197110,3931.3789637471450078,33,Spanish (European)
caramelo,1,8.8472045551646836,1221918.3334911430720240,22,Spanish (European)
coche,1,5.4997356475874497,245.3061043391516023,687,Spanish (European)
cartas,1,8.8540613055229187,7003.6662433248802699,16,Spanish (European)
cuidar,1,9.0224546194076538,8298.1558891516888252,8,Spanish (European)
zanahoria,1,8.4036035878317694,4513.9054731487276513,28,Spanish (European)
gato,1,6.8575690814426968,952.1564645453364619,224,Spanish (European)
cereales,1,10.2730913162231445,234567.2724741751153488,4,Spanish (European)
silla,1,5.5919988618228897,854.7363785911674086,273,Spanish (European)
queso,1,9.1045258839925136,9239.2695652362472174,12,Spanish (European)
pollito,1,8.5384246926558642,5107.7972491389427887,19,Spanish (European)
gallina,1,8.4461254846482046,4719.2258547936180548,21,Spanish (European)
pollo,1,8.2264084815979004,3762.0714475905865584,38,Spanish (European)
chocolate,1,8.1172365379333495,3736.8955455654026991,50,Spanish (European)
limpio,1,8.7501417160034176,6314.8929030054168834,10,Spanish (European)
subir,1,7.8937759066736977,2680.9418261103769510,86,Spanish (European)
reloj,1,8.3676310988033524,4323.3719313225710721,34,Spanish (European)
cerrar,1,8.0302340507507317,3097.1401105659911082,70,Spanish (European)
ropa,1,8.1087575912475582,3325.4452590235905518,45,Spanish (European)
payaso,1,9.0004621505737301,8107.8013162179777282,10,Spanish (European)
abrigo,1,9.3211606979370121,11199.2484483513635496,5,Spanish (European)
monedas,1,11.4977552890777588,31523305.2788392566144466,4,Spanish (European)
